35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 115 | 16 | Disease | disease | hypersensitivity
33898447 | @GENE_IGF1 | IGF1 | 711 | 5 | Gene | gene | IGF-1
33898447 | @DISEASE_Leukemia | Leukemia | 850 | 8 | Disease | disease | leukemic
33898447 | @GENE_IGF1 | IGF1 | 990 | 5 | Gene | gene | IGF-1
33898447 | @GENE_CCL2 | CCL2 | 999 | 34 | Gene | gene | monocyte chemoattractant protein-1
33898447 | @GENE_IGF1 | IGF1 | 1245 | 5 | Gene | gene | IGF-1
33898447 | @GENE_IGF1 | IGF1 | 1427 | 5 | Gene | gene | IGF-1
33898447 | @GENE_IGF1 | IGF1 | 1807 | 5 | Gene | gene | IGF-1
33898447 | @GENE_ITGAV | ITGAV | 1904 | 20 | Gene | gene | integrin alphavbeta3
35105583 | @DISEASE_Neoplasms | Neoplasms | 41 | 6 | Disease | disease | tumors
35105583 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 51 | 22 | Disease | disease | stage IV breast cancer
35105583 | @DISEASE_Neoplasms | Neoplasms | 173 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 229 | 22 | Disease | disease | stage IV breast cancer
35105583 | @DISEASE_Neoplasms | Neoplasms | 290 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 569 | 22 | Disease | disease | stage IV breast cancer
35105583 | @DISEASE_Neoplasms | Neoplasms | 719 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Neoplasms | Neoplasms | 785 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Neoplasms | Neoplasms | 841 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 983 | 13 | Disease | disease | breast cancer
35105583 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 1292 | 18 | Disease | disease | triple-negative BC
35105583 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 1312 | 4 | Disease | disease | TNBC
35105583 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1322 | 19 | Disease | disease | visceral metastases
35105583 | @DISEASE_Neoplasms | Neoplasms | 1381 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Neoplasms | Neoplasms | 1576 | 6 | Disease | disease | tumour
35105583 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 1638 | 4 | Disease | disease | TNBC
35105583 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1698 | 19 | Disease | disease | visceral metastases
35105583 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1817 | 23 | Disease | disease | stage IV breast cancers
35105583 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 1867 | 4 | Disease | disease | TNBC
35105583 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1876 | 19 | Disease | disease | visceral metastases
35677079 | @DISEASE_COVID_19 | COVID-19 | 189 | 20 | Disease | disease | SARS-CoV-2 infection
35677079 | @DISEASE_COVID_19 | COVID-19 | 351 | 10 | Disease | disease | SARS-Cov-2
35677079 | @GENE_ACE2 | Ace2 | 955 | 4 | Gene | gene | ACE2
35677079 | @GENE_KRT18 | Krt18 | 977 | 3 | Gene | gene | K18
35677079 | @DISEASE_Weight_Loss | Weight Loss | 1119 | 11 | Disease | disease | weight loss
35677079 | @DISEASE_Infections | Infections | 1336 | 9 | Disease | disease | infection
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 0 | 11 | Disease | disease | Thyroiditis
36406870 | @DISEASE_COVID_19 | COVID-19 | 39 | 8 | Disease | disease | COVID-19
36406870 | @GENE_ACE2 | ACE2 | 145 | 5 | Gene | gene | ACE-2
36406870 | @GENE_TMPRSS2 | TMPRSS2 | 155 | 7 | Gene | gene | TMPRSS2
36406870 | @DISEASE_COVID_19 | COVID-19 | 174 | 16 | Disease | disease | COVID-19 vaccine
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 202 | 11 | Disease | disease | thyroiditis
36406870 | @DISEASE_Thyroid_Nodule | Thyroid Nodule | 333 | 21 | Disease | disease | benign thyroid nodule
36406870 | @CHEMICAL_Thyroxine | Thyroxine | 376 | 13 | Chemical | chemical | levothyroxine
36406870 | @DISEASE_Neck_Pain | Neck Pain | 455 | 9 | Disease | disease | neck pain
36406870 | @DISEASE_Heart_Diseases | Heart Diseases | 475 | 12 | Disease | disease | palpitations
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 624 | 7 | Disease | disease | thyroid
36406870 | @DISEASE_Thyroiditis_Subacute | Thyroiditis Subacute | 691 | 20 | Disease | disease | subacute thyroiditis
36406870 | @CHEMICAL_Thyroxine | Thyroxine | 854 | 13 | Chemical | chemical | levothyroxine
36406870 | @DISEASE_Anxiety_Disorders | Anxiety Disorders | 927 | 16 | Disease | disease | anxiety disorder
36406870 | @CHEMICAL_Sertraline | Sertraline | 947 | 10 | Chemical | chemical | Sertraline
36406870 | @DISEASE_Heart_Diseases | Heart Diseases | 996 | 12 | Disease | disease | palpitations
36406870 | @DISEASE_Weight_Loss | Weight Loss | 1041 | 11 | Disease | disease | weight loss
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 1144 | 7 | Disease | disease | thyroid
36406870 | @DISEASE_Myalgia | Myalgia | 1166 | 10 | Disease | disease | tenderness
36406870 | @GENE_TPO | TPO | 1191 | 18 | Gene | gene | thyroid peroxidase
36406870 | @GENE_TG | TG | 1214 | 13 | Gene | gene | thyroglobulin
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 1284 | 7 | Disease | disease | thyroid
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 1338 | 11 | Disease | disease | thyroiditis
36406870 | @DISEASE_Hypothyroidism | Hypothyroidism | 1372 | 11 | Disease | disease | hypothyroid
36406870 | @CHEMICAL_Thyroxine | Thyroxine | 1414 | 13 | Chemical | chemical | levothyroxine
36406870 | @DISEASE_COVID_19 | COVID-19 | 1469 | 16 | Disease | disease | COVID-19 vaccine
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 1517 | 11 | Disease | disease | thyroiditis
36406870 | @DISEASE_Thyroid_Crisis | Thyroid Crisis | 1620 | 10 | Disease | disease | thyrotoxic
36406870 | @DISEASE_Hypothyroidism | Hypothyroidism | 1652 | 11 | Disease | disease | hypothyroid
36406870 | @DISEASE_Inflammation | Inflammation | 1741 | 20 | Disease | disease | thyroid inflammation
36406870 | @DISEASE_COVID_19 | COVID-19 | 1816 | 16 | Disease | disease | COVID-19 vaccine
36406870 | @DISEASE_Thyroiditis | Thyroiditis | 1844 | 11 | Disease | disease | thyroiditis
36406870 | @DISEASE_Hypothyroidism | Hypothyroidism | 1985 | 11 | Disease | disease | hypothyroid
36411391 | @DISEASE_COVID_19 | COVID-19 | 193 | 70 | Disease | disease | severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection
36411391 | @GENE_S | S | 384 | 5 | Gene | gene | spike
36411391 | @GENE_ACE2 | Ace2 | 818 | 31 | Gene | gene | angiotensin-converting enzyme 2
36411391 | @GENE_ACE2 | Ace2 | 851 | 4 | Gene | gene | ACE2
36411391 | @GENE_KRT18 | Krt18 | 874 | 3 | Gene | gene | K18
36411391 | @DISEASE_Weight_Loss | Weight Loss | 985 | 11 | Disease | disease | weight loss
36411391 | @DISEASE_COVID_19 | COVID-19 | 1195 | 23 | Disease | disease | infection by SARS-CoV-2
37546823 | @GENE_IL27 | IL27 | 0 | 14 | Gene | gene | Interleukin-27
37546823 | @GENE_SPTBN1 | SPTBN1 | 112 | 6 | Gene | gene | SPTBN1
37546823 | @GENE_YBX1 | YBX1 | 135 | 4 | Gene | gene | YB-1
37546823 | @GENE_IL27 | IL27 | 160 | 19 | Gene | gene | Interleukin (IL)-27
37546823 | @GENE_IL12B | IL12B | 197 | 5 | Gene | gene | IL-12
37546823 | @GENE_SPTBN1 | SPTBN1 | 373 | 33 | Gene | gene | spectrin beta, non-erythrocytic 1
37546823 | @GENE_SPTBN1 | SPTBN1 | 408 | 6 | Gene | gene | SPTBN1
37546823 | @GENE_YBX1 | YBX1 | 478 | 23 | Gene | gene | Y-box binding protein-1
37546823 | @GENE_YBX1 | YBX1 | 503 | 4 | Gene | gene | YB-1
37546823 | @GENE_IL27 | IL27 | 531 | 5 | Gene | gene | IL-27
37546823 | @GENE_IL27 | IL27 | 702 | 5 | Gene | gene | IL-27
37546823 | @DISEASE_HIV_Infections | HIV Infections | 730 | 13 | Disease | disease | HIV infection
37546823 | @DISEASE_HIV_Infections | HIV Infections | 760 | 13 | Disease | disease | HIV infection
37546823 | @GENE_CD4 | CD4 | 836 | 3 | Gene | gene | CD4
37546823 | @GENE_CCR5 | CCR5 | 841 | 4 | Gene | gene | CCR5
37546823 | @GENE_SPTBN1 | SPTBN1 | 851 | 6 | Gene | gene | SPTBN1
37546823 | @GENE_YBX1 | YBX1 | 909 | 4 | Gene | gene | YB-1
37546823 | @GENE_ANKRD22 | ANKRD22 | 1426 | 24 | Gene | gene | Ankyrin repeat domain 22
37546823 | @GENE_GBP1 | GBP1 | 1452 | 45 | Gene | gene | Guanylate binding protein (GBP)-1, -2, -4, -5
37546823 | @GENE_STAB1 | STAB1 | 1499 | 10 | Gene | gene | Stabilin 1
37546823 | @GENE_SERPING1 | SERPING1 | 1511 | 24 | Gene | gene | Serpin family G member 1
37546823 | @GENE_SERPING1 | SERPING1 | 1537 | 8 | Gene | gene | SERPING1
37546823 | @GENE_IFI6 | IFI6 | 1548 | 36 | Gene | gene | Interferon alpha inducible protein 6
37546823 | @GENE_IFIT3 | IFIT3 | 1590 | 59 | Gene | gene | Interferon-induced protein with tetratricopeptide repeats 3
37546823 | @DISEASE_HIV_Infections | HIV Infections | 1873 | 13 | Disease | disease | HIV infection
37546823 | @GENE_IL27 | IL27 | 1997 | 5 | Gene | gene | IL-27
37546823 | @GENE_IL27 | IL27 | 2093 | 5 | Gene | gene | IL-27
37815505 | @DISEASE_Periodontitis | Periodontitis | 104 | 13 | Disease | disease | periodontitis
37815505 | @GENE_MIR1246 | MIR1246 | 122 | 8 | Gene | gene | miR-1246
37815505 | @DISEASE_Periodontitis | Periodontitis | 194 | 13 | Disease | disease | periodontitis
37815505 | @DISEASE_Inflammation | Inflammation | 444 | 12 | Disease | disease | inflammation
37815505 | @DISEASE_Periodontitis | Periodontitis | 776 | 13 | Disease | disease | periodontitis
37815505 | @GENE_CD4 | CD4 | 881 | 3 | Gene | gene | CD4
37815505 | @DISEASE_Periodontitis | Periodontitis | 899 | 13 | Disease | disease | periodontitis
37815505 | @DISEASE_Periodontitis | Periodontitis | 973 | 13 | Disease | disease | periodontitis
37815505 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1140 | 3 | Chemical | chemical | LPS
37815505 | @GENE_MIR1246 | MIR1246 | 1185 | 8 | Gene | gene | miR-1246
37815505 | @GENE_MIR1246 | MIR1246 | 1285 | 8 | Gene | gene | miR-1246
37815505 | @GENE_ACE2 | ACE2 | 1340 | 31 | Gene | gene | angiotensin-converting enzyme 2
37815505 | @GENE_ACE2 | ACE2 | 1373 | 4 | Gene | gene | ACE2
37815505 | @GENE_YAP1 | YAP1 | 1423 | 3 | Gene | gene | YAP
37815505 | @GENE_YAP1 | YAP1 | 1429 | 4 | Gene | gene | YAP1
37815505 | @GENE_CD4 | CD4 | 1443 | 3 | Gene | gene | CD4
37815505 | @DISEASE_Periodontitis | Periodontitis | 1510 | 13 | Disease | disease | periodontitis
37815505 | @GENE_MIR1246 | MIR1246 | 1528 | 8 | Gene | gene | miR-1246
37815505 | @DISEASE_Periodontitis | Periodontitis | 1657 | 13 | Disease | disease | periodontitis
37854696 | @DISEASE_HIV_Infections | HIV Infections | 63 | 13 | Disease | disease | HIV infection
37854696 | @DISEASE_HIV_Infections | HIV Infections | 254 | 13 | Disease | disease | HIV infection
37854696 | @GENE_CD4 | CD4 | 351 | 3 | Gene | gene | CD4
37854696 | @DISEASE_HIV_Infections | HIV Infections | 501 | 12 | Disease | disease | HIV-infected
37854696 | @DISEASE_Infections | Infections | 637 | 22 | Disease | disease | longstanding infection
37854696 | @DISEASE_Infections | Infections | 850 | 10 | Disease | disease | infections
37854696 | @VARIANT_p.K219Q_CD4_human | p.K219Q | 1005 | 5 | Variant | variant | K219Q
37854696 | @VARIANT_p.V179T_CD4_human | p.V179T | 1012 | 5 | Variant | variant | V179T
37854696 | @VARIANT_p.V179D_CD4_human | p.V179D | 1048 | 5 | Variant | variant | V179D
37854696 | @DISEASE_HIV_Infections | HIV Infections | 1064 | 3 | Disease | disease | HIV
37854696 | @DISEASE_Infections | Infections | 1092 | 10 | Disease | disease | infections
37856551 | @GENE_ACE2 | ACE2 | 114 | 4 | Gene | gene | ACE2
37856551 | @DISEASE_COVID_19 | COVID-19 | 279 | 8 | Disease | disease | COVID-19
37856551 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 306 | 22 | Disease | disease | coronavirus infections
37856551 | @DISEASE_Severe_Acute_Respiratory_Syndrome | Severe Acute Respiratory Syndrome | 472 | 26 | Disease | disease | SARS-related coronaviruses
37856551 | @DISEASE_Infections | Infections | 608 | 9 | Disease | disease | infection
37856551 | @DISEASE_Infections | Infections | 748 | 9 | Disease | disease | infection
37856551 | @DISEASE_Infections | Infections | 889 | 9 | Disease | disease | Infection
37856551 | @GENE_N | N | 970 | 12 | Gene | gene | nucleocapsid
37856551 | @DISEASE_Infections | Infections | 1101 | 9 | Disease | disease | infection
37856551 | @GENE_ACE2 | ACE2 | 1217 | 4 | Gene | gene | ACE2
37856551 | @DISEASE_Respiratory_Tract_Infections | Respiratory Tract Infections | 1279 | 19 | Disease | disease | pulmonary infection
37856551 | @GENE_ACE2 | ACE2 | 1394 | 4 | Gene | gene | ACE2
37856551 | @DISEASE_Weight_Loss | Weight Loss | 1587 | 11 | Disease | disease | weight loss
37856551 | @GENE_CD4 | CD4 | 1773 | 3 | Gene | gene | CD4
37856551 | @GENE_N | N | 1858 | 12 | Gene | gene | nucleocapsid
37856551 | @GENE_IL10 | IL10 | 1961 | 14 | Gene | gene | interleukin-10
37856551 | @GENE_TGFB1 | TGFB1 | 1980 | 31 | Gene | gene | transforming growth factor-beta
37856551 | @DISEASE_Inflammation | Inflammation | 2036 | 12 | Disease | disease | inflammatory
37856551 | @GENE_ACE2 | ACE2 | 2181 | 4 | Gene | gene | ACE2
37856551 | @DISEASE_Infections | Infections | 2217 | 9 | Disease | disease | infection
37856551 | @DISEASE_Inflammation | Inflammation | 2362 | 12 | Disease | disease | inflammation
37896850 | @GENE_ACE2 | ACE2 | 174 | 4 | Gene | gene | ACE2
37896850 | @GENE_ACE2 | ACE2 | 685 | 4 | Gene | gene | ACE2
37896850 | @GENE_ACE2 | ACE2 | 1083 | 4 | Gene | gene | ACE2
37896850 | @GENE_ACE2 | ACE2 | 1555 | 4 | Gene | gene | ACE2
37896850 | @GENE_ACE2 | ACE2 | 1660 | 4 | Gene | gene | ACE2
37896850 | @GENE_ACE2 | ACE2 | 2040 | 4 | Gene | gene | ACE2
37904941 | @DISEASE_COVID_19 | COVID-19 | 50 | 10 | Disease | disease | SARS-CoV-2
37904941 | @DISEASE_Infections | Infections | 74 | 9 | Disease | disease | Infection
37904941 | @CHEMICAL_tebuthiuron | tebuthiuron | 87 | 5 | Chemical | chemical | Spike
37904941 | @GENE_ACE2 | Ace2 | 104 | 4 | Gene | gene | ACE2
37904941 | @DISEASE_COVID_19 | COVID-19 | 199 | 8 | Disease | disease | COVID-19
37904941 | @DISEASE_Respiratory_Tract_Diseases | Respiratory Tract Diseases | 265 | 20 | Disease | disease | respiratory diseases
37904941 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 287 | 5 | Disease | disease | VAERD
37904941 | @DISEASE_Infections | Infections | 317 | 10 | Disease | disease | infections
37904941 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 395 | 5 | Disease | disease | VAERD
37904941 | @CHEMICAL_Aluminum | Aluminum | 420 | 8 | Chemical | chemical | aluminum
37904941 | @DISEASE_Pneumonia | Pneumonia | 498 | 29 | Disease | disease | type 2 pulmonary inflammation
37904941 | @DISEASE_Infections | Infections | 557 | 10 | Disease | disease | infections
37904941 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 656 | 5 | Disease | disease | VAERD
37904941 | @GENE_ACE2 | Ace2 | 676 | 4 | Gene | gene | ACE2
37904941 | @CHEMICAL_Aluminum | Aluminum | 742 | 8 | Chemical | chemical | aluminum
37904941 | @CHEMICAL_CPG_oligonucleotide | CPG-oligonucleotide | 755 | 7 | Chemical | chemical | CpG-ODN
37904941 | @DISEASE_Infections | Infections | 856 | 9 | Disease | disease | infection
37904941 | @DISEASE_Infections | Infections | 1012 | 9 | Disease | disease | infection
37904941 | @DISEASE_Lung_Diseases | Lung Diseases | 1059 | 9 | Disease | disease | pulmonary
37904941 | @GENE_CD4 | Cd4 | 1162 | 3 | Gene | gene | CD4
37904941 | @DISEASE_Inflammation | Inflammation | 1296 | 12 | Disease | disease | inflammatory
37904941 | @CHEMICAL_Aluminum | Aluminum | 1383 | 8 | Chemical | chemical | aluminum
37904941 | @DISEASE_COVID_19 | COVID-19 | 1465 | 8 | Disease | disease | COVID-19
37904941 | @DISEASE_Inflammation | Inflammation | 1507 | 12 | Disease | disease | inflammatory
37904941 | @DISEASE_Lung_Diseases | Lung Diseases | 1589 | 9 | Disease | disease | pulmonary
37904941 | @DISEASE_Infections | Infections | 1640 | 9 | Disease | disease | infection
37904941 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 1743 | 5 | Disease | disease | VAERD
37904941 | @DISEASE_COVID_19 | COVID-19 | 1752 | 8 | Disease | disease | COVID-19
37904941 | @GENE_ACE2 | Ace2 | 1983 | 4 | Gene | gene | ACE2
37904941 | @DISEASE_COVID_19 | COVID-19 | 2022 | 10 | Disease | disease | SARS-CoV-2
37904941 | @DISEASE_Infections | Infections | 2046 | 10 | Disease | disease | infections
37904941 | @DISEASE_COVID_19 | COVID-19 | 2122 | 8 | Disease | disease | COVID-19
37904941 | @DISEASE_Lung_Diseases | Lung Diseases | 2168 | 9 | Disease | disease | pulmonary
37904941 | @DISEASE_Eosinophilia | Eosinophilia | 2205 | 12 | Disease | disease | eosinophilia
37904941 | @DISEASE_Infections | Infections | 2277 | 10 | Disease | disease | infections
37904941 | @DISEASE_Inflammation | Inflammation | 2355 | 12 | Disease | disease | inflammatory
37904941 | @DISEASE_COVID_19 | COVID-19 | 2462 | 8 | Disease | disease | COVID-19
37904941 | @DISEASE_Infections | Infections | 2492 | 10 | Disease | disease | infections
37904941 | @DISEASE_COVID_19 | COVID-19 | 2737 | 8 | Disease | disease | COVID-19
37910521 | @GENE_IL27 | IL27 | 0 | 14 | Gene | gene | Interleukin-27
37910521 | @GENE_SPTBN1 | SPTBN1 | 112 | 6 | Gene | gene | SPTBN1
37910521 | @GENE_YBX1 | YBX1 | 135 | 4 | Gene | gene | YB-1
37910521 | @GENE_IL27 | IL27 | 160 | 19 | Gene | gene | Interleukin (IL)-27
37910521 | @GENE_IL12B | IL12B | 197 | 5 | Gene | gene | IL-12
37910521 | @GENE_SPTBN1 | SPTBN1 | 373 | 33 | Gene | gene | spectrin beta, non-erythrocytic 1
37910521 | @GENE_SPTBN1 | SPTBN1 | 408 | 6 | Gene | gene | SPTBN1
37910521 | @GENE_YBX1 | YBX1 | 478 | 23 | Gene | gene | Y-box binding protein-1
37910521 | @GENE_YBX1 | YBX1 | 503 | 4 | Gene | gene | YB-1
37910521 | @GENE_IL27 | IL27 | 531 | 5 | Gene | gene | IL-27
37910521 | @GENE_IL27 | IL27 | 702 | 5 | Gene | gene | IL-27
37910521 | @DISEASE_HIV_Infections | HIV Infections | 730 | 13 | Disease | disease | HIV infection
37910521 | @DISEASE_HIV_Infections | HIV Infections | 760 | 13 | Disease | disease | HIV infection
37910521 | @GENE_CD4 | CD4 | 835 | 3 | Gene | gene | CD4
37910521 | @GENE_CCR5 | CCR5 | 840 | 4 | Gene | gene | CCR5
37910521 | @GENE_SPTBN1 | SPTBN1 | 850 | 6 | Gene | gene | SPTBN1
37910521 | @GENE_YBX1 | YBX1 | 908 | 4 | Gene | gene | YB-1
37910521 | @GENE_ANKRD22 | ANKRD22 | 1425 | 24 | Gene | gene | Ankyrin repeat domain 22
37910521 | @GENE_GBP1 | GBP1 | 1451 | 45 | Gene | gene | Guanylate binding protein (GBP)-1, -2, -4, -5
37910521 | @GENE_STAB1 | STAB1 | 1498 | 10 | Gene | gene | Stabilin 1
37910521 | @GENE_SERPING1 | SERPING1 | 1510 | 24 | Gene | gene | Serpin family G member 1
37910521 | @GENE_SERPING1 | SERPING1 | 1536 | 8 | Gene | gene | SERPING1
37910521 | @GENE_IFI6 | IFI6 | 1547 | 36 | Gene | gene | Interferon alpha inducible protein 6
37910521 | @GENE_IFIT3 | IFIT3 | 1589 | 59 | Gene | gene | Interferon-induced protein with tetratricopeptide repeats 3
37910521 | @DISEASE_HIV_Infections | HIV Infections | 1872 | 13 | Disease | disease | HIV infection
37910521 | @GENE_IL27 | IL27 | 1996 | 5 | Gene | gene | IL-27
37910521 | @GENE_IL27 | IL27 | 2092 | 5 | Gene | gene | IL-27
38155835 | @DISEASE_COVID_19 | COVID-19 | 136 | 21 | Disease | disease | SARS-CoV-2 infections
38155835 | @GENE_CD34 | CD34 | 871 | 4 | Gene | gene | CD34
38155835 | @GENE_PROM1 | PROM1 | 902 | 5 | Gene | gene | CD133
38155835 | @GENE_CD4 | CD4 | 1351 | 3 | Gene | gene | CD4
38155835 | @GENE_CD34 | CD34 | 1427 | 4 | Gene | gene | CD34
38155835 | @GENE_PROM1 | PROM1 | 1471 | 5 | Gene | gene | CD133
38155835 | @GENE_CD4 | CD4 | 1532 | 3 | Gene | gene | CD4
38155835 | @DISEASE_Infections | Infections | 1703 | 8 | Disease | disease | infected
38258331 | @DISEASE_Infections | Infections | 74 | 9 | Disease | disease | infection
38258331 | @GENE_ACE2 | Ace2 | 104 | 4 | Gene | gene | ACE2
38258331 | @DISEASE_COVID_19 | COVID-19 | 199 | 8 | Disease | disease | COVID-19
38258331 | @DISEASE_Respiratory_Tract_Diseases | Respiratory Tract Diseases | 265 | 20 | Disease | disease | respiratory diseases
38258331 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 287 | 5 | Disease | disease | VAERD
38258331 | @DISEASE_Infections | Infections | 317 | 10 | Disease | disease | infections
38258331 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 395 | 5 | Disease | disease | VAERD
38258331 | @CHEMICAL_Aluminum | Aluminum | 420 | 8 | Chemical | chemical | aluminum
38258331 | @DISEASE_Pneumonia | Pneumonia | 498 | 29 | Disease | disease | type 2 pulmonary inflammation
38258331 | @DISEASE_Infections | Infections | 557 | 10 | Disease | disease | infections
38258331 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 656 | 5 | Disease | disease | VAERD
38258331 | @GENE_ACE2 | Ace2 | 676 | 4 | Gene | gene | ACE2
38258331 | @CHEMICAL_Aluminum | Aluminum | 742 | 8 | Chemical | chemical | aluminum
38258331 | @CHEMICAL_CPG_oligonucleotide | CPG-oligonucleotide | 755 | 7 | Chemical | chemical | CpG-ODN
38258331 | @DISEASE_Infections | Infections | 856 | 9 | Disease | disease | infection
38258331 | @DISEASE_Infections | Infections | 1012 | 9 | Disease | disease | infection
38258331 | @GENE_CD4 | Cd4 | 1162 | 3 | Gene | gene | CD4
38258331 | @DISEASE_Inflammation | Inflammation | 1295 | 12 | Disease | disease | inflammatory
38258331 | @CHEMICAL_Aluminum | Aluminum | 1382 | 8 | Chemical | chemical | aluminum
38258331 | @DISEASE_COVID_19 | COVID-19 | 1464 | 8 | Disease | disease | COVID-19
38258331 | @DISEASE_Inflammation | Inflammation | 1506 | 12 | Disease | disease | inflammatory
38258331 | @DISEASE_Infections | Infections | 1639 | 9 | Disease | disease | infection
38258331 | @DISEASE_Middle_East_respiratory_syndrome_vaccine | Middle East respiratory syndrome vaccine | 1742 | 5 | Disease | disease | VAERD
38258331 | @DISEASE_COVID_19 | COVID-19 | 1751 | 8 | Disease | disease | COVID-19
38317404 | @GENE_IFNG | IFNG | 23 | 16 | Gene | gene | interferon-gamma
38317404 | @GENE_CD4 | CD4 | 50 | 3 | Gene | gene | CD4
38317404 | @DISEASE_COVID_19 | COVID-19 | 98 | 8 | Disease | disease | COVID-19
38317404 | @GENE_ACE2 | ACE2 | 792 | 5 | Gene | gene | ACE-2
38317404 | @GENE_IFNG | IFNG | 1176 | 16 | Gene | gene | interferon-gamma
38317404 | @GENE_IFNG | IFNG | 1194 | 8 | Gene | gene | IFNgamma
38317404 | @GENE_CD4 | CD4 | 1214 | 3 | Gene | gene | CD4
38317404 | @GENE_IFNG | IFNG | 1463 | 8 | Gene | gene | IFNgamma
38317404 | @GENE_CD4 | CD4 | 1482 | 3 | Gene | gene | CD4
38317404 | @DISEASE_COVID_19 | COVID-19 | 1532 | 8 | Disease | disease | COVID-19
38317404 | @DISEASE_Infections | Infections | 1692 | 9 | Disease | disease | infection
38373700 | @DISEASE_COVID_19 | COVID-19 | 108 | 10 | Disease | disease | SARS-CoV-2
38373700 | @GENE_ACE2 | ACE2 | 154 | 4 | Gene | gene | ACE2
38373700 | @GENE_ACE2 | ACE2 | 877 | 4 | Gene | gene | ACE2
38373700 | @GENE_ACE2 | ACE2 | 1219 | 4 | Gene | gene | ACE2
38373700 | @GENE_ACE2 | ACE2 | 1764 | 4 | Gene | gene | ACE2
38373700 | @VARIANT_p.R403K_ACE2_human | p.R403K | 1910 | 5 | Variant | variant | R403K
38373700 | @VARIANT_p.F486P_ACE2_human | p.F486P | 1917 | 5 | Variant | variant | F486P
38373700 | @VARIANT_p.R493Q_ACE2_human | p.R493Q | 1928 | 5 | Variant | variant | R493Q
38373700 | @GENE_ACE2 | ACE2 | 2469 | 4 | Gene | gene | ACE2
38373700 | @VARIANT_p.R493Q_ACE2_human | p.R493Q | 2511 | 5 | Variant | variant | R493Q
38373700 | @VARIANT_p.F486P_ACE2_human | p.F486P | 2521 | 5 | Variant | variant | F486P
38570605 | @DISEASE_COVID_19 | COVID-19 | 55 | 20 | Disease | disease | SARS-CoV-2 infection
38570605 | @DISEASE_COVID_19 | COVID-19 | 135 | 8 | Disease | disease | COVID-19
38570605 | @DISEASE_Signs_and_Symptoms_Respiratory | Signs and Symptoms Respiratory | 870 | 26 | Disease | disease | respiratory tissue lesions
38570605 | @CHEMICAL_aluminum_sulfate | aluminum sulfate | 1018 | 4 | Chemical | chemical | alum
38570605 | @GENE_TLR9 | TLR9 | 1031 | 4 | Gene | gene | TLR9
38570605 | @GENE_CD4 | Cd4 | 1266 | 3 | Gene | gene | CD4
38570605 | @DISEASE_COVID_19 | COVID-19 | 1358 | 20 | Disease | disease | SARS-CoV-2 infection
38570605 | @DISEASE_Lung_Injury | Lung Injury | 1736 | 11 | Disease | disease | lung tissue
38570605 | @DISEASE_Inflammation | Inflammation | 1748 | 12 | Disease | disease | inflammation
38570605 | @DISEASE_COVID_19 | COVID-19 | 1934 | 8 | Disease | disease | COVID-19
38617634 | @CHEMICAL_Carbon | Carbon | 51 | 6 | Chemical | chemical | Carbon
38617634 | @GENE_ACE2 | ACE2 | 104 | 4 | Gene | gene | ACE2
