38449806 | @GENE_CCR5 | Ccr5 | 0 | 4 | Gene | gene | CCR5
37327120 | @CHEMICAL_plerixafor | plerixafor | 311 | 10 | Chemical | chemical | plerixafor
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 458 | 13 | Chemical | chemical | motixafortide
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 473 | 7 | Chemical | chemical | BL-8040
37327120 | @GENE_CXCR4 | CXCR4 | 512 | 5 | Gene | gene | CXCR4
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 735 | 13 | Chemical | chemical | motixafortide
37327120 | @GENE_CD34 | CD34 | 795 | 4 | Gene | gene | CD34
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 873 | 13 | Chemical | chemical | Motixafortide
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 1003 | 13 | Chemical | chemical | motixafortide
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 1094 | 13 | Chemical | chemical | Motixafortide
37327120 | @GENE_CD34 | CD34 | 1196 | 4 | Gene | gene | CD34
37327120 | @GENE_IL3RA | IL3RA | 1251 | 5 | Gene | gene | CD123
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 1269 | 13 | Chemical | chemical | Motixafortide
37327120 | @CHEMICAL_4_fluorobenzoyl_TN_14003 | 4-fluorobenzoyl-TN-14003 | 1516 | 13 | Chemical | chemical | motixafortide
37457445 | @GENE_CXCR4 | Cxcr4 | 0 | 5 | Gene | gene | CXCR4
37457445 | @DISEASE_Necrosis | Necrosis | 15 | 8 | Disease | disease | Necrosis
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 61 | 13 | Disease | disease | Breast Cancer
37457445 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 76 | 29 | Disease | disease | Triple-negative breast cancer
37457445 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 174 | 10 | Disease | disease | metastasis
37457445 | @GENE_CXCR4 | Cxcr4 | 232 | 5 | Gene | gene | CXCR4
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 274 | 13 | Disease | disease | breast cancer
37457445 | @GENE_CXCR4 | Cxcr4 | 323 | 5 | Gene | gene | CXCR4
37457445 | @CHEMICAL_CTCE_9908 | CTCE-9908 | 433 | 9 | Chemical | chemical | CTCE-9908
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 515 | 13 | Disease | disease | breast cancer
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 614 | 13 | Disease | disease | breast cancer
37457445 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 709 | 12 | Disease | disease | cytotoxicity
37457445 | @DISEASE_Necrosis | Necrosis | 740 | 8 | Disease | disease | necrotic
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 763 | 13 | Disease | disease | breast cancer
37457445 | @CHEMICAL_CTCE_9908 | CTCE-9908 | 880 | 9 | Chemical | chemical | CTCE-9908
37457445 | @DISEASE_Neoplasms | Neoplasms | 945 | 5 | Disease | disease | tumor
37457445 | @DISEASE_Neoplasms | Neoplasms | 1035 | 5 | Disease | disease | tumor
37457445 | @GENE_CASP3 | Casp3 | 1073 | 9 | Gene | gene | caspase-3
37457445 | @GENE_CASP7 | Casp7 | 1084 | 9 | Gene | gene | caspase-7
37457445 | @GENE_PARP1 | Parp1 | 1098 | 5 | Gene | gene | PARP1
37457445 | @CHEMICAL_benzyloxycarbonylvalyl_alanyl_aspartyl_fluoromethyl_ketone | benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone | 1190 | 9 | Chemical | chemical | z-VAD-fmk
37457445 | @CHEMICAL_Cisplatin | Cisplatin | 1239 | 9 | Chemical | chemical | cisplatin
37457445 | @DISEASE_Necrosis | Necrosis | 1349 | 8 | Disease | disease | necrosis
37457445 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1457 | 13 | Disease | disease | breast cancer
37457445 | @DISEASE_Neoplasms | Neoplasms | 1542 | 5 | Disease | disease | tumor
37457445 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1559 | 15 | Disease | disease | lung metastasis
37457445 | @DISEASE_Necrosis | Necrosis | 1618 | 8 | Disease | disease | necrosis
37457445 | @GENE_CXCR4 | Cxcr4 | 1676 | 5 | Gene | gene | CXCR4
37457445 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 1710 | 29 | Disease | disease | triple-negative breast cancer
37523265 | @GENE_CXCR4 | CXCR4 | 18 | 5 | Gene | gene | CXCR4
37523265 | @GENE_CCR2 | CCR2 | 28 | 4 | Gene | gene | CCR2
37523265 | @DISEASE_Inflammation | Inflammation | 415 | 12 | Disease | disease | inflammation
37523265 | @GENE_CXCR4 | CXCR4 | 537 | 5 | Gene | gene | CXCR4
37523265 | @GENE_CCR2 | CCR2 | 779 | 4 | Gene | gene | CCR2
37523265 | @GENE_CCR2 | CCR2 | 793 | 4 | Gene | gene | CCR2
37523265 | @DISEASE_Infections | Infections | 889 | 9 | Disease | disease | infection
37735875 | @GENE_CXCR4 | Cxcr4 | 11 | 5 | Gene | gene | CXCR4
37735875 | @GENE_STAT3 | Stat3 | 65 | 5 | Gene | gene | STAT3
37735875 | @GENE_NFKB1 | Nfkb1 | 71 | 9 | Gene | gene | NF-kappaB
37735875 | @DISEASE_Neoplasms | Neoplasms | 113 | 5 | Disease | disease | tumor
37735875 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 136 | 17 | Disease | disease | Pancreatic Cancer
37735875 | @DISEASE_Carcinoma_Pancreatic_Ductal | Carcinoma Pancreatic Ductal | 275 | 32 | Disease | disease | pancreatic ductal adenocarcinoma
37735875 | @DISEASE_Carcinoma_Pancreatic_Ductal | Carcinoma Pancreatic Ductal | 309 | 4 | Disease | disease | PDAC
37735875 | @DISEASE_Carcinoma_Pancreatic_Ductal | Carcinoma Pancreatic Ductal | 408 | 4 | Disease | disease | PDAC
37735875 | @DISEASE_Neoplasms | Neoplasms | 469 | 6 | Disease | disease | cancer
37735875 | @GENE_CXCR4 | Cxcr4 | 591 | 5 | Gene | gene | CXCR4
37735875 | @GENE_CXCR4 | Cxcr4 | 666 | 5 | Gene | gene | CXCR4
37735875 | @DISEASE_Carcinoma_Pancreatic_Ductal | Carcinoma Pancreatic Ductal | 730 | 4 | Disease | disease | PDAC
37735875 | @GENE_CXCR4 | Cxcr4 | 763 | 5 | Gene | gene | CXCR4
37735875 | @GENE_STAT3 | Stat3 | 886 | 50 | Gene | gene | signal transducer and activator of transcription 3
37735875 | @GENE_STAT3 | Stat3 | 937 | 5 | Gene | gene | STAT3
37735875 | @GENE_CXCR4 | Cxcr4 | 970 | 5 | Gene | gene | CXCR4
37735875 | @DISEASE_Inflammation | Inflammation | 1020 | 12 | Disease | disease | inflammatory
37735875 | @GENE_TNF | Tnf | 1050 | 9 | Gene | gene | TNF-alpha
37735875 | @GENE_IL6 | Il6 | 1061 | 4 | Gene | gene | IL-6
37735875 | @GENE_IL17A | Il17a | 1070 | 7 | Gene | gene | IL-17A.
37735875 | @DISEASE_Inflammation | Inflammation | 1104 | 12 | Disease | disease | inflammatory
37735875 | @GENE_NFKB1 | Nfkb1 | 1169 | 9 | Gene | gene | NF-kappaB
37735875 | @DISEASE_Neoplasms | Neoplasms | 1320 | 5 | Disease | disease | tumor
37735875 | @GENE_CXCR4 | Cxcr4 | 1370 | 5 | Gene | gene | CXCR4
37735875 | @DISEASE_Neoplasms | Neoplasms | 1412 | 5 | Disease | disease | tumor
37735875 | @GENE_STAT3 | Stat3 | 1467 | 5 | Gene | gene | STAT3
37735875 | @GENE_NFKB1 | Nfkb1 | 1473 | 9 | Gene | gene | NF-kappaB
37735875 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 1549 | 17 | Disease | disease | pancreatic cancer
37735875 | @GENE_CXCR4 | Cxcr4 | 1617 | 5 | Gene | gene | CXCR4
37735875 | @DISEASE_Carcinoma_Pancreatic_Ductal | Carcinoma Pancreatic Ductal | 1645 | 4 | Disease | disease | PDAC
37767160 | @CHEMICAL_Sesquiterpenes | Sesquiterpenes | 60 | 15 | Chemical | chemical | sesquiterpenoid
37767160 | @DISEASE_Neoplasms | Neoplasms | 94 | 6 | Disease | disease | cancer
37767160 | @DISEASE_Leukemia | Leukemia | 511 | 8 | Disease | disease | leukemia
37767160 | @GENE_PGK1 | PGK1 | 754 | 25 | Gene | gene | phosphoglycerate kinase 1
37767160 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 978 | 14 | Disease | disease | gastric cancer
37767160 | @GENE_CTNNB1 | CTNNB1 | 1059 | 12 | Gene | gene | beta-catenin
37767160 | @GENE_PGK1 | PGK1 | 1156 | 25 | Gene | gene | phosphoglycerate kinase 1
37940118 | @GENE_CXCR4 | CXCR4 | 53 | 5 | Gene | gene | CXCR4
37940118 | @GENE_CXCR4 | CXCR4 | 144 | 5 | Gene | gene | CXCR4
37940118 | @DISEASE_Inflammation | Inflammation | 191 | 12 | Disease | disease | inflammation
37940118 | @DISEASE_Neoplasms | Neoplasms | 208 | 6 | Disease | disease | cancer
37940118 | @GENE_CXCR4 | CXCR4 | 362 | 5 | Gene | gene | CXCR4
37940118 | @GENE_CXCR4 | CXCR4 | 632 | 5 | Gene | gene | CXCR4
37940118 | @GENE_CXCR4 | CXCR4 | 795 | 5 | Gene | gene | CXCR4
37940118 | @CHEMICAL_Polymers | Polymers | 925 | 8 | Chemical | chemical | polymers
37940118 | @GENE_ALB | ALB | 938 | 7 | Gene | gene | albumin
37940118 | @GENE_CXCR4 | CXCR4 | 1041 | 5 | Gene | gene | CXCR4
38095299 | @GENE_CXCL12 | Cxcl12 | 0 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCL12 | Cxcl12 | 432 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCL12 | Cxcl12 | 440 | 4 | Gene | gene | SDF1
38095299 | @GENE_CXCL12 | Cxcl12 | 500 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCR4 | Cxcr4 | 569 | 5 | Gene | gene | CXCR4
38095299 | @GENE_CXCL12 | Cxcl12 | 634 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCL12 | Cxcl12 | 846 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCR4 | Cxcr4 | 869 | 5 | Gene | gene | CXCR4
38095299 | @GENE_CXCL12 | Cxcl12 | 1027 | 6 | Gene | gene | CXCL12
38095299 | @GENE_ACKR3 | Ackr3 | 1043 | 5 | Gene | gene | ACKR3
38095299 | @GENE_ACKR3 | Ackr3 | 1102 | 5 | Gene | gene | ACKR3
38095299 | @GENE_CXCL12 | Cxcl12 | 1160 | 6 | Gene | gene | CXCL12
38095299 | @GENE_CXCR4 | Cxcr4 | 1196 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 38 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 112 | 18 | Gene | gene | chemokine receptor
38131305 | @GENE_CXCR4 | CXCR4 | 131 | 5 | Gene | gene | CXCR4
38131305 | @DISEASE_Neoplasms | Neoplasms | 244 | 17 | Disease | disease | cancer metastasis
38131305 | @GENE_CXCR4 | CXCR4 | 306 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 451 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 654 | 5 | Gene | gene | CXCR4
38131305 | @GENE_IFT81 | IFT81 | 715 | 3 | Gene | gene | DV1
38131305 | @GENE_IFT81 | IFT81 | 720 | 3 | Gene | gene | DV1
38131305 | @CHEMICAL_LY2510924 | LY2510924 | 751 | 9 | Chemical | chemical | LY2510924
38131305 | @GENE_HAUS3 | HAUS3 | 762 | 3 | Gene | gene | IT1
38131305 | @CHEMICAL_plerixafor | plerixafor | 768 | 7 | Chemical | chemical | AMD3100
38131305 | @CHEMICAL_mavorixafor | mavorixafor | 781 | 8 | Chemical | chemical | AMD11070
38131305 | @CHEMICAL_Peptides | Peptides | 899 | 8 | Chemical | chemical | peptides
38131305 | @GENE_CXCR4 | CXCR4 | 985 | 5 | Gene | gene | CXCR4
38131305 | @CHEMICAL_Arginine | Arginine | 1354 | 3 | Chemical | chemical | Arg
38131305 | @GENE_CXCR4 | CXCR4 | 1508 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 1577 | 5 | Gene | gene | CXCR4
38131305 | @GENE_CXCR4 | CXCR4 | 1842 | 5 | Gene | gene | CXCR4
38146903 | @DISEASE_COVID_19 | COVID-19 | 92 | 20 | Disease | disease | SARS-CoV-2 infection
38146903 | @DISEASE_COVID_19 | COVID-19 | 153 | 70 | Disease | disease | severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection
38146903 | @DISEASE_Infections | Infections | 354 | 9 | Disease | disease | infection
38146903 | @DISEASE_COVID_19 | COVID-19 | 461 | 24 | Disease | disease | coronavirus disease 2019
38146903 | @DISEASE_COVID_19 | COVID-19 | 487 | 8 | Disease | disease | COVID-19
38146903 | @DISEASE_COVID_19 | COVID-19 | 622 | 8 | Disease | disease | COVID-19
38146903 | @DISEASE_COVID_19 | COVID-19 | 774 | 8 | Disease | disease | COVID-19
38146903 | @GENE_CXCR4 | CXCR4 | 1121 | 5 | Gene | gene | CXCR4
38146903 | @DISEASE_Inflammation | Inflammation | 1207 | 12 | Disease | disease | inflammatory
38146903 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 1277 | 23 | Chemical | chemical | reactive oxygen species
38146903 | @CHEMICAL_Reactive_Nitrogen_Species | Reactive Nitrogen Species | 1305 | 25 | Chemical | chemical | reactive nitrogen species
38146903 | @DISEASE_COVID_19 | COVID-19 | 1463 | 8 | Disease | disease | COVID-19
38146903 | @DISEASE_COVID_19 | COVID-19 | 1549 | 8 | Disease | disease | COVID-19
38146903 | @DISEASE_Influenza_Human | Influenza Human | 1628 | 9 | Disease | disease | influenza
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 48 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 64 | 9 | Chemical | chemical | ibrutinib
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 91 | 29 | Disease | disease | Waldenstrom Macroglobulinemia
38315878 | @GENE_IBTK | IBTK | 169 | 33 | Gene | gene | Bruton tyrosine kinase inhibitors
38315878 | @GENE_IBTK | IBTK | 204 | 4 | Gene | gene | BTKi
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 211 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 228 | 9 | Chemical | chemical | ibrutinib
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 256 | 29 | Disease | disease | Waldenstrom macroglobulinemia
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 287 | 2 | Disease | disease | WM
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 411 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 439 | 9 | Chemical | chemical | ibrutinib
38315878 | @GENE_MYD88 | MYD88 | 485 | 5 | Gene | gene | MYD88
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 498 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_MYD88 | MYD88 | 548 | 5 | Gene | gene | MYD88
38315878 | @GENE_CXCR4 | CXCR4 | 598 | 5 | Gene | gene | CXCR4
38315878 | @GENE_TP53 | TP53 | 613 | 4 | Gene | gene | TP53
38315878 | @GENE_ARID1A | ARID1A | 627 | 6 | Gene | gene | ARID1A
38315878 | @GENE_TERT | TERT | 647 | 4 | Gene | gene | TERT
38315878 | @GENE_TP53 | TP53 | 677 | 7 | Gene | gene | TP53MUT
38315878 | @GENE_IBTK | IBTK | 995 | 4 | Gene | gene | BTKi
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1108 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1135 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1271 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1282 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_TP53 | TP53 | 1436 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1485 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1529 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_TP53 | TP53 | 1589 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1610 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1621 | 12 | Chemical | chemical | zanubrutinib
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 1823 | 2 | Disease | disease | WM
38315878 | @GENE_TP53 | TP53 | 1852 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1921 | 12 | Chemical | chemical | zanubrutinib
38332341 | @GENE_CXCR4 | CXCR4 | 35 | 5 | Gene | gene | CXCR4
38332341 | @DISEASE_Carcinoma_Neuroendocrine | Carcinoma Neuroendocrine | 90 | 42 | Disease | disease | Gastrointestinal Neuroendocrine Carcinomas
38332341 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 146 | 50 | Disease | disease | Gastro-entero-pancreatic neuroendocrine carcinomas
38332341 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 198 | 8 | Disease | disease | GEP-NECs
38332341 | @DISEASE_Neoplasms | Neoplasms | 238 | 24 | Disease | disease | neuroendocrine neoplasms
38332341 | @DISEASE_Neoplasms | Neoplasms | 264 | 4 | Disease | disease | NENs
38332341 | @GENE_CXCR4 | CXCR4 | 385 | 5 | Gene | gene | CXCR4
38332341 | @GENE_CXCR4 | CXCR4 | 528 | 5 | Gene | gene | CXCR4
38332341 | @DISEASE_Gastro_enteropancreatic_neuroendocrine_tumor | Gastro-enteropancreatic neuroendocrine tumor | 584 | 7 | Disease | disease | GEP-NEC
38332341 | @DISEASE_Gastro_enteropancreatic_neuroendocrine_tumor | Gastro-enteropancreatic neuroendocrine tumor | 694 | 7 | Disease | disease | GEP-NEC
38332341 | @GENE_CXCR4 | CXCR4 | 717 | 5 | Gene | gene | CXCR4
38332341 | @DISEASE_Neoplasms | Neoplasms | 858 | 5 | Disease | disease | tumor
38332341 | @GENE_CXCR4 | CXCR4 | 2001 | 5 | Gene | gene | CXCR4
38332341 | @DISEASE_Gastro_enteropancreatic_neuroendocrine_tumor | Gastro-enteropancreatic neuroendocrine tumor | 2084 | 7 | Disease | disease | GEP-NEC
38346795 | @GENE_ACKR3 | ACKR3 | 139 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 146 | 29 | Gene | gene | Atypical chemokine receptor 3
38346795 | @GENE_ACKR3 | ACKR3 | 177 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 429 | 5 | Gene | gene | ACKR3
38346795 | @GENE_CXCL12 | CXCL12 | 457 | 6 | Gene | gene | CXCL12
38346795 | @GENE_ACKR3 | ACKR3 | 568 | 5 | Gene | gene | ACKR3
38346795 | @GENE_CXCL12 | CXCL12 | 676 | 6 | Gene | gene | CXCL12
38346795 | @GENE_ACKR3 | ACKR3 | 724 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 767 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 897 | 5 | Gene | gene | ACKR3
38346795 | @CHEMICAL_Tritium | Tritium | 943 | 7 | Chemical | chemical | tritium
38346795 | @GENE_ACKR3 | ACKR3 | 1091 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 1226 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 1324 | 5 | Gene | gene | ACKR3
38346795 | @GENE_CXCR3 | CXCR3 | 1348 | 5 | Gene | gene | CXCR3
38346795 | @GENE_CXCR4 | CXCR4 | 1355 | 5 | Gene | gene | CXCR4
38346795 | @GENE_ACKR3 | ACKR3 | 1364 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 1407 | 5 | Gene | gene | ACKR3
38346795 | @GENE_CXCL11 | CXCL11 | 1492 | 6 | Gene | gene | CXCL11
38346795 | @GENE_CXCL12 | CXCL12 | 1503 | 6 | Gene | gene | CXCL12
38346795 | @GENE_ACKR3 | ACKR3 | 1566 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 1811 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 1873 | 5 | Gene | gene | ACKR3
38346795 | @DISEASE_Neoplasms | Neoplasms | 1940 | 6 | Disease | disease | cancer
38346795 | @GENE_ACKR3 | ACKR3 | 2000 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 2067 | 5 | Gene | gene | ACKR3
38346795 | @GENE_ACKR3 | ACKR3 | 2155 | 5 | Gene | gene | ACKR3
38346795 | @GENE_GPR166P | GPR166P | 2178 | 4 | Gene | gene | GPCR
11477070 | @GENE_PARK7 | PARK7 | 0 | 4 | Gene | gene | DJ-1
11477070 | @GENE_AR | AR | 30 | 17 | Gene | gene | androgen receptor
11477070 | @GENE_PIAS2 | PIAS2 | 76 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PARK7 | Park7 | 105 | 4 | Gene | gene | DJ-1
11477070 | @GENE_PARK7 | Park7 | 256 | 4 | Gene | gene | DJ-1
11477070 | @DISEASE_Infertility | Infertility | 285 | 11 | Disease | disease | infertility
11477070 | @DISEASE_Infertility | Infertility | 383 | 11 | Disease | disease | infertility
11477070 | @GENE_PARK7 | PARK7 | 434 | 4 | Gene | gene | DJ-1
11477070 | @GENE_PARK7 | PARK7 | 455 | 4 | Gene | gene | DJ-1
11477070 | @GENE_PIAS2 | PIAS2 | 555 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PIAS2 | PIAS2 | 567 | 5 | Gene | gene | ARIP3
11477070 | @GENE_AR | AR | 589 | 17 | Gene | gene | androgen receptor
11477070 | @GENE_AR | AR | 608 | 2 | Gene | gene | AR
11477070 | @GENE_EFCAB6 | EFCAB6 | 644 | 20 | Gene | gene | DJ-1-binding protein
11477070 | @GENE_PARK7 | PARK7 | 680 | 4 | Gene | gene | DJ-1
11477070 | @GENE_AR | AR | 707 | 2 | Gene | gene | AR
11477070 | @GENE_PIAS2 | PIAS2 | 728 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PIAS2 | PIAS2 | 801 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PIAS2 | PIAS2 | 881 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PARK7 | PARK7 | 1067 | 4 | Gene | gene | DJ-1
11477070 | @GENE_PIAS2 | PIAS2 | 1130 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PIAS2 | PIAS2 | 1190 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_AR | AR | 1211 | 2 | Gene | gene | AR
11477070 | @GENE_PIAS2 | PIAS2 | 1214 | 11 | Gene | gene | PIASx alpha
11477070 | @GENE_PARK7 | PARK7 | 1243 | 4 | Gene | gene | DJ-1
11477070 | @VARIANT_p.K130R_EFCAB6_human | p.K130R | 1302 | 27 | Variant | variant | 130 from lysine to arginine
11477070 | @GENE_PARK7 | PARK7 | 1378 | 4 | Gene | gene | DJ-1
11477070 | @GENE_AR | AR | 1414 | 17 | Gene | gene | androgen receptor
11893729 | @GENE_PIAS2 | PIAS2 | 0 | 39 | Gene | gene | Androgen receptor-interacting protein 3
11893729 | @GENE_GRIP1 | GRIP1 | 79 | 45 | Gene | gene | glucocorticoid receptor-interacting protein 1
11893729 | @GENE_PIAS2 | PIAS2 | 212 | 5 | Gene | gene | ARIP3
11893729 | @GENE_PIAS2 | PIAS2 | 218 | 10 | Gene | gene | PIASxalpha
11893729 | @GENE_PIAS2 | PIAS2 | 368 | 5 | Gene | gene | ARIP3
11893729 | @GENE_GRIP1 | GRIP1 | 411 | 50 | Gene | gene | glucocorticoid receptor (GR)-interacting protein 1
11893729 | @GENE_GRIP1 | GRIP1 | 463 | 5 | Gene | gene | GRIP1
11893729 | @GENE_PIAS2 | PIAS2 | 534 | 5 | Gene | gene | ARIP3
11893729 | @VARIANT_c.347_418del_PIAS2_human | c.347_418del | 574 | 31 | Variant | variant | deletion of amino acids 347-418
11893729 | @GENE_PIAS2 | PIAS2 | 681 | 5 | Gene | gene | ARIP3
11893729 | @GENE_PIAS2 | PIAS2 | 846 | 5 | Gene | gene | ARIP3
11893729 | @GENE_PIAS2 | PIAS2 | 928 | 5 | Gene | gene | ARIP3
11893729 | @GENE_GRIP1 | GRIP1 | 980 | 5 | Gene | gene | GRIP1
11893729 | @GENE_GRIP1 | GRIP1 | 1083 | 5 | Gene | gene | GRIP1
11893729 | @GENE_PIAS2 | PIAS2 | 1109 | 5 | Gene | gene | ARIP3
11893729 | @GENE_GRIP1 | GRIP1 | 1131 | 5 | Gene | gene | GRIP1
11893729 | @GENE_GRIP1 | GRIP1 | 1159 | 5 | Gene | gene | GRIP1
11893729 | @GENE_PIAS2 | PIAS2 | 1184 | 5 | Gene | gene | ARIP3
11893729 | @GENE_GRIP1 | GRIP1 | 1208 | 5 | Gene | gene | GRIP1
11893729 | @GENE_PIAS2 | PIAS2 | 1290 | 5 | Gene | gene | ARIP3
11893729 | @GENE_GRIP1 | GRIP1 | 1357 | 5 | Gene | gene | GRIP1
11893729 | @GENE_PIAS2 | PIAS2 | 1398 | 4 | Gene | gene | Miz1
11893729 | @GENE_PIAS1 | PIAS1 | 1407 | 5 | Gene | gene | PIAS1
11893729 | @GENE_GRIP1 | GRIP1 | 1473 | 5 | Gene | gene | GRIP1
17623776 | @GENE_PIAS2 | Pias2 | 0 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_SP7 | Sp7 | 32 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 286 | 9 | Gene | gene | PIASxbeta
17623776 | @GENE_PIAS2 | Pias2 | 317 | 5 | Gene | gene | Pias2
17623776 | @GENE_SP7 | Sp7 | 546 | 7 | Gene | gene | osterix
17623776 | @GENE_RUNX2 | Runx2 | 577 | 5 | Gene | gene | Runx2
17623776 | @GENE_RUNX2 | Runx2 | 599 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 609 | 7 | Gene | gene | osterix
17623776 | @GENE_RUNX2 | Runx2 | 690 | 5 | Gene | gene | Runx2
17623776 | @GENE_SP7 | Sp7 | 714 | 7 | Gene | gene | osterix
17623776 | @GENE_PIAS2 | Pias2 | 745 | 9 | Gene | gene | PIASxbeta
