36232721 | @DISEASE_Liver_Failure | Liver Failure | 9 | 21 | Disease | disease | and Liver Homeostasis
38198970 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1801 | 3 | Chemical | chemical | LPS
38198970 | @DISEASE_Liver_Diseases | Liver Diseases | 1813 | 26 | Disease | disease | inflammatory liver disease
38198970 | @GENE_CCL3 | Ccl3 | 1844 | 10 | Gene | gene | MIP-1alpha
38198970 | @GENE_PLA2G6 | PLA2G6 | 1932 | 6 | Gene | gene | PLA2G6
38198970 | @DISEASE_Bacterial_Infections | Bacterial Infections | 1961 | 19 | Disease | disease | bacterial infection
38198970 | @DISEASE_Sepsis | Sepsis | 1985 | 6 | Disease | disease | sepsis
38257177 | @DISEASE_Obesity | Obesity | 64 | 7 | Disease | disease | Obesity
38257177 | @DISEASE_Developmental_Disabilities | Developmental Disabilities | 136 | 26 | Disease | disease | developmental disabilities
38257177 | @DISEASE_Weight_Gain | Weight Gain | 217 | 11 | Disease | disease | weight gain
38257177 | @DISEASE_Fragile_X_Syndrome | Fragile X Syndrome | 382 | 18 | Disease | disease | fragile X syndrome
38257177 | @GENE_FMR1 | Fmr1 | 402 | 6 | Gene | gene | Fmr1KO
38257177 | @CHEMICAL_Glucose | Glucose | 576 | 7 | Chemical | chemical | glucose
38257177 | @GENE_FMR1 | Fmr1 | 694 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 777 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 822 | 7 | Gene | gene | Fmr1HET
38257177 | @GENE_FMR1 | Fmr1 | 939 | 7 | Gene | gene | Fmr1HET
38257177 | @GENE_FMR1 | Fmr1 | 951 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 1241 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 1348 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 1475 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 1532 | 6 | Gene | gene | Fmr1KO
38257177 | @GENE_FMR1 | Fmr1 | 1799 | 6 | Gene | gene | Fmr1KO
38283796 | @CHEMICAL_monobenzone | monobenzone | 43 | 11 | Chemical | chemical | Monobenzone
38283796 | @GENE_MIF | Mif | 100 | 38 | Gene | gene | Macrophage Migration Inhibitory Factor
38283796 | @CHEMICAL_8_Hydroxy_2'_Deoxyguanosine | 8-Hydroxy-2'-Deoxyguanosine | 143 | 26 | Chemical | chemical | 8-Hydroxy-2-Deoxyguanosine
38283796 | @DISEASE_Vitiligo | Vitiligo | 180 | 8 | Disease | disease | Vitiligo
38283796 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 195 | 18 | Disease | disease | autoimmune disease
38283796 | @DISEASE_Vitiligo | Vitiligo | 298 | 8 | Disease | disease | vitiligo
38283796 | @DISEASE_Vitiligo | Vitiligo | 537 | 8 | Disease | disease | vitiligo
38283796 | @DISEASE_Vitiligo | Vitiligo | 581 | 8 | Disease | disease | vitiligo
38283796 | @CHEMICAL_monobenzone | monobenzone | 640 | 11 | Chemical | chemical | monobenzone
38283796 | @DISEASE_Disease | Disease | 782 | 26 | Disease | disease | Cutaneous oxidative damage
38283796 | @DISEASE_Inflammation | Inflammation | 813 | 12 | Disease | disease | inflammation
38283796 | @DISEASE_Inflammation | Inflammation | 954 | 12 | Disease | disease | inflammatory
38283796 | @GENE_CD8A | Cd8a | 994 | 8 | Gene | gene | CD8alpha
38283796 | @CHEMICAL_Melanins | Melanins | 1057 | 7 | Chemical | chemical | melanin
38283796 | @CHEMICAL_8_Hydroxy_2'_Deoxyguanosine | 8-Hydroxy-2'-Deoxyguanosine | 1198 | 26 | Chemical | chemical | 8-hydroxy-2-deoxyguanosine
38283796 | @CHEMICAL_8_Hydroxy_2'_Deoxyguanosine | 8-Hydroxy-2'-Deoxyguanosine | 1226 | 6 | Chemical | chemical | 8-OHdG
38283796 | @GENE_MIF | Mif | 1328 | 38 | Gene | gene | macrophage migration inhibitory factor
38283796 | @GENE_MIF | Mif | 1368 | 3 | Gene | gene | MIF
38283796 | @GENE_CD74 | Cd74 | 1373 | 4 | Gene | gene | CD74
38283796 | @GENE_NFKB1 | Nfkb1 | 1378 | 9 | Gene | gene | NF-kappaB
38283796 | @DISEASE_Vitiligo | Vitiligo | 1529 | 8 | Disease | disease | vitiligo
38283796 | @CHEMICAL_nuezhenide | nuezhenide | 1602 | 14 | Chemical | chemical | specnuezhenide
38283796 | @CHEMICAL_monobenzone | monobenzone | 1636 | 11 | Chemical | chemical | monobenzone
38283796 | @GENE_MIF | MIF | 1652 | 3 | Gene | gene | MIF
38283796 | @CHEMICAL_monobenzone | monobenzone | 1750 | 11 | Chemical | chemical | monobenzone
38283796 | @GENE_MIF | Mif | 1807 | 3 | Gene | gene | MIF
38283796 | @CHEMICAL_8_Hydroxy_2'_Deoxyguanosine | 8-Hydroxy-2'-Deoxyguanosine | 1815 | 6 | Chemical | chemical | 8-OHdG
38283796 | @DISEASE_Vitiligo | Vitiligo | 1895 | 8 | Disease | disease | vitiligo
38348045 | @DISEASE_Sepsis | Sepsis | 74 | 6 | Disease | disease | sepsis
38348045 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 89 | 17 | Disease | disease | acute lung injury
38348045 | @DISEASE_Sepsis | Sepsis | 120 | 6 | Disease | disease | Sepsis
38348045 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 135 | 17 | Disease | disease | acute lung injury
38348045 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 154 | 3 | Disease | disease | ALI
38348045 | @DISEASE_Sepsis | Sepsis | 289 | 6 | Disease | disease | sepsis
38348045 | @DISEASE_Sepsis | Sepsis | 424 | 6 | Disease | disease | sepsis
38348045 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 439 | 3 | Disease | disease | ALI
38348045 | @DISEASE_Endotoxemia | Endotoxemia | 1238 | 11 | Disease | disease | endotoxemia
38348045 | @DISEASE_Cecal_Diseases | Cecal Diseases | 1468 | 6 | Disease | disease | CLP.24
38348045 | @DISEASE_Cecal_Diseases | Cecal Diseases | 1514 | 6 | Disease | disease | CLP.24
38348045 | @DISEASE_Cecal_Diseases | Cecal Diseases | 1573 | 6 | Disease | disease | CLP.48
38348045 | @GENE_CD74 | Cd74 | 1614 | 4 | Gene | gene | Cd74
38348045 | @GENE_PLAT | Plat | 1682 | 4 | Gene | gene | Plat
38348045 | @GENE_CLEC1A | CLEC1A | 1704 | 6 | Gene | gene | Clec1a
38348045 | @GENE_PLAT | PLAT | 1807 | 4 | Gene | gene | Plat
38348045 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 1901 | 3 | Disease | disease | ALI
38348045 | @GENE_CD74 | CD74 | 1906 | 4 | Gene | gene | Cd74
38348045 | @GENE_HLA_C | HLA-C | 1954 | 32 | Gene | gene | major histocompatibility complex
38348045 | @GENE_HLA_C | HLA-C | 1988 | 3 | Gene | gene | MHC
38348045 | @GENE_CD8A | CD8A | 2020 | 4 | Gene | gene | Cd8a
38348045 | @GENE_PLAT | PLAT | 2065 | 4 | Gene | gene | Plat
38348045 | @GENE_ICAM1 | ICAM1 | 2173 | 6 | Gene | gene | ICAM-1
38348045 | @DISEASE_Endotoxemia | Endotoxemia | 2196 | 11 | Disease | disease | endotoxemia
38348045 | @GENE_CD74 | CD74 | 2215 | 4 | Gene | gene | Cd74
38348045 | @GENE_CD74 | CD74 | 2402 | 4 | Gene | gene | Cd74
38351322 | @GENE_CDK1 | Cdk1 | 38 | 4 | Gene | gene | cDC2
38351322 | @GENE_KLF4 | Klf4 | 260 | 4 | Gene | gene | KLF4
38351322 | @GENE_TBX21 | Tbx21 | 282 | 5 | Gene | gene | T-bet
38351322 | @GENE_TBX21 | Tbx21 | 300 | 5 | Gene | gene | T-bet
38351322 | @GENE_CDK1 | Cdk1 | 608 | 4 | Gene | gene | cDC2
38351322 | @GENE_SIGLECH | Siglech | 679 | 8 | Gene | gene | Siglec-H
38351322 | @GENE_CDK1 | Cdk1 | 693 | 5 | Gene | gene | cDC2A
38351322 | @GENE_SIGLECH | Siglech | 757 | 8 | Gene | gene | Siglec-H
38351322 | @GENE_CD8A | Cd8a | 767 | 8 | Gene | gene | CD8alpha
38351322 | @GENE_TBX21 | Tbx21 | 826 | 5 | Gene | gene | T-bet
38351322 | @GENE_SIGLECH | Siglech | 856 | 8 | Gene | gene | Siglec-H
38351322 | @GENE_TBX21 | Tbx21 | 937 | 5 | Gene | gene | T-bet
38351322 | @GENE_LYZ2 | Lyz2 | 990 | 5 | Gene | gene | LysM.
38351322 | @GENE_CDK1 | Cdk1 | 1020 | 5 | Gene | gene | cDC2A
38351322 | @GENE_CDC2B | Cdc2b | 1033 | 5 | Gene | gene | cDC2B
38351322 | @GENE_CDK1 | Cdk1 | 1101 | 4 | Gene | gene | cDC2
38395884 | @GENE_KDR | Kdr | 102 | 7 | Gene | gene | VEGFR-2
38395884 | @GENE_PDCD1 | Pdcd1 | 114 | 4 | Gene | gene | PD-1
38395884 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 133 | 12 | Disease | disease | colon cancer
38395884 | @DISEASE_Corneal_Neovascularization | Corneal Neovascularization | 165 | 12 | Disease | disease | Angiogenesis
38395884 | @DISEASE_Neoplasms | Neoplasms | 634 | 5 | Disease | disease | tumor
38395884 | @DISEASE_Corneal_Neovascularization | Corneal Neovascularization | 730 | 12 | Disease | disease | angiogenesis
38395884 | @DISEASE_Neoplasms | Neoplasms | 756 | 5 | Disease | disease | tumor
38395884 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 862 | 12 | Disease | disease | colon cancer
38395884 | @GENE_PDCD1 | Pdcd1 | 942 | 4 | Gene | gene | PD-1
38395884 | @GENE_KDR | Kdr | 993 | 7 | Gene | gene | VEGFR-2
38395884 | @GENE_PDCD1 | Pdcd1 | 1030 | 4 | Gene | gene | PD-1
38395884 | @DISEASE_Neoplasms | Neoplasms | 1278 | 5 | Disease | disease | tumor
38395884 | @DISEASE_Neoplasms | Neoplasms | 1326 | 5 | Disease | disease | tumor
38395884 | @GENE_PDCD1 | Pdcd1 | 1379 | 4 | Gene | gene | PD-1
38395884 | @DISEASE_Neoplasms | Neoplasms | 1470 | 5 | Disease | disease | tumor
38395884 | @DISEASE_Corneal_Neovascularization | Corneal Neovascularization | 1476 | 12 | Disease | disease | angiogenesis
38395884 | @GENE_PECAM1 | Pecam1 | 1539 | 4 | Gene | gene | CD31
38395884 | @GENE_HIF1A | Hif1a | 1742 | 10 | Gene | gene | Hif-1alpha
38395884 | @DISEASE_Hypoxia | Hypoxia | 1826 | 13 | Disease | disease | tumor hypoxia
38395884 | @DISEASE_Neoplasms | Neoplasms | 1900 | 5 | Disease | disease | tumor
38395884 | @GENE_MKI67 | Mki67 | 2009 | 5 | Gene | gene | Ki-67
38395884 | @GENE_CD8A | Cd8a | 2074 | 4 | Gene | gene | CD8a
38395884 | @GENE_KDR | Kdr | 2135 | 7 | Gene | gene | VEGFR-2
38395884 | @GENE_PDCD1 | Pdcd1 | 2159 | 4 | Gene | gene | PD-1
38395884 | @DISEASE_Neoplasms | Neoplasms | 2203 | 5 | Disease | disease | tumor
38395884 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 2229 | 12 | Disease | disease | colon cancer
38395884 | @DISEASE_Neoplasms | Neoplasms | 2360 | 5 | Disease | disease | tumor
38475814 | @GENE_CD19 | Cd19 | 0 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 5 | 4 | Gene | gene | CD20
38475814 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 120 | 28 | Disease | disease | acute lymphoblastic leukemia
38475814 | @GENE_CXADRP1 | CXADRP1 | 204 | 3 | Gene | gene | CAR
38475814 | @GENE_CXADRP1 | CXADRP1 | 255 | 3 | Gene | gene | CAR
38475814 | @GENE_CXADRP1 | CXADRP1 | 308 | 3 | Gene | gene | CAR
38475814 | @GENE_CXADRP1 | CXADRP1 | 376 | 3 | Gene | gene | CAR
38475814 | @GENE_CD19 | CD19 | 399 | 4 | Gene | gene | CD19
38475814 | @GENE_CD19 | CD19 | 442 | 4 | Gene | gene | CD19
38475814 | @DISEASE_Neoplasms | Neoplasms | 466 | 5 | Disease | disease | tumor
38475814 | @GENE_CD19 | CD19 | 520 | 4 | Gene | gene | CD19
38475814 | @DISEASE_Neoplasms | Neoplasms | 655 | 5 | Disease | disease | tumor
38475814 | @GENE_CD19 | CD19 | 715 | 4 | Gene | gene | CD19
38475814 | @GENE_MS4A1 | Ms4a1 | 724 | 4 | Gene | gene | CD20
38475814 | @GENE_CD19 | Cd19 | 730 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 735 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 755 | 3 | Gene | gene | CAR
38475814 | @GENE_CD19 | Cd19 | 808 | 4 | Gene | gene | CD19
38475814 | @GENE_CD247 | CD247 | 845 | 7 | Gene | gene | CD3zeta
38475814 | @GENE_KRT20 | KRT20 | 863 | 4 | Gene | gene | CD20
38475814 | @GENE_CD247 | CD247 | 900 | 7 | Gene | gene | CD3zeta
38475814 | @GENE_CD19 | Cd19 | 967 | 4 | Gene | gene | CD19
38475814 | @GENE_MS4A1 | Ms4a1 | 972 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 991 | 3 | Gene | gene | CAR
38475814 | @GENE_CD19 | Cd19 | 1063 | 4 | Gene | gene | CD19
38475814 | @GENE_MS4A1 | Ms4a1 | 1068 | 4 | Gene | gene | CD20
38475814 | @GENE_NR1I3 | Nr1i3 | 1073 | 3 | Gene | gene | CAR
38475814 | @GENE_CXADRP1 | CXADRP1 | 1197 | 3 | Gene | gene | CAR
38475814 | @GENE_CXADRP1 | CXADRP1 | 1277 | 3 | Gene | gene | CAR
38475814 | @GENE_CD19 | Cd19 | 1387 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1392 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 1411 | 3 | Gene | gene | CAR
38475814 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 1474 | 28 | Disease | disease | acute lymphoblastic leukemia
38475814 | @GENE_CD19 | CD19 | 1529 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1534 | 4 | Gene | gene | CD20
38475814 | @GENE_CD19 | CD19 | 1546 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1551 | 4 | Gene | gene | CD20
38475814 | @GENE_CD19 | CD19 | 1566 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1571 | 4 | Gene | gene | CD20
38475814 | @GENE_KRT20 | KRT20 | 1615 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 1620 | 3 | Gene | gene | CAR
38475814 | @GENE_CD19 | Cd19 | 1644 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1649 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 1668 | 3 | Gene | gene | CAR
38475814 | @GENE_IFNG | IFNG | 1719 | 9 | Gene | gene | IFN-gamma
38475814 | @GENE_IL15 | IL15 | 1734 | 5 | Gene | gene | IL-15
38475814 | @GENE_CD69 | CD69 | 1777 | 4 | Gene | gene | CD69
38475814 | @GENE_CD19 | CD19 | 1859 | 4 | Gene | gene | CD19
38475814 | @GENE_KRT20 | KRT20 | 1864 | 4 | Gene | gene | CD20
38475814 | @GENE_CXADRP1 | CXADRP1 | 1883 | 3 | Gene | gene | CAR
38475814 | @DISEASE_Neoplasms | Neoplasms | 1918 | 5 | Disease | disease | tumor
38475814 | @GENE_KRT20 | KRT20 | 2073 | 4 | Gene | gene | CD20
38475814 | @GENE_CD19 | CD19 | 2085 | 4 | Gene | gene | CD19
38605414 | @DISEASE_Neoplasms | Neoplasms | 60 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Lymphatic_Metastasis | Lymphatic Metastasis | 94 | 20 | Disease | disease | lymphatic metastasis
38605414 | @GENE_PDCD1 | Pdcd1 | 133 | 4 | Gene | gene | PD-1
38605414 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 164 | 4 | Disease | disease | TNBC
38605414 | @DISEASE_Inflammation | Inflammation | 263 | 12 | Disease | disease | inflammatory
38605414 | @DISEASE_Neoplasms | Neoplasms | 295 | 6 | Disease | disease | cancer
38605414 | @GENE_HAPLN1 | Hapln1 | 424 | 3 | Gene | gene | CLP
38605414 | @CHEMICAL_Chitin | Chitin | 486 | 6 | Chemical | chemical | chitin
38605414 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 521 | 29 | Disease | disease | triple-negative breast cancer
38605414 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 552 | 4 | Disease | disease | TNBC
38605414 | @GENE_HAPLN1 | Hapln1 | 724 | 3 | Gene | gene | CLP
38605414 | @GENE_HAPLN1 | Hapln1 | 762 | 3 | Gene | gene | CLP
38605414 | @GENE_CHIL1 | Chil1 | 772 | 18 | Gene | gene | chitinase 3-like 1
38605414 | @GENE_CHIL1 | Chil1 | 792 | 6 | Gene | gene | CHI3L1
38605414 | @CHEMICAL_Chitin | Chitin | 933 | 6 | Chemical | chemical | chitin
38605414 | @GENE_HAPLN1 | Hapln1 | 1016 | 3 | Gene | gene | CLP
38605414 | @DISEASE_Neoplasms | Neoplasms | 1030 | 5 | Disease | disease | tumor
38605414 | @GENE_CHIL1 | Chil1 | 1072 | 6 | Gene | gene | CHI3L1
38605414 | @DISEASE_Calcinosis_Cutis | Calcinosis Cutis | 1091 | 10 | Disease | disease | Metastatic
38605414 | @DISEASE_Neoplasms | Neoplasms | 1192 | 6 | Disease | disease | tumors
38605414 | @GENE_CHIL1 | Chil1 | 1361 | 6 | Gene | gene | CHI3L1
38605414 | @CHEMICAL_Chitin | Chitin | 1566 | 6 | Chemical | chemical | Chitin
38605414 | @DISEASE_Neoplasms | Neoplasms | 1603 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Neoplasms | Neoplasms | 1706 | 5 | Disease | disease | tumor
38605414 | @GENE_STAT3 | Stat3 | 1746 | 5 | Gene | gene | Stat3
38605414 | @GENE_CHIL1 | Chil1 | 1789 | 6 | Gene | gene | CHI3L1
38605414 | @GENE_CHIL3 | Chil3 | 1800 | 6 | Gene | gene | CHI3L3
38605414 | @DISEASE_Neoplasms | Neoplasms | 1815 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Neoplasms | Neoplasms | 1919 | 6 | Disease | disease | tumors
38605414 | @GENE_CHIL3 | Chil3 | 1993 | 6 | Gene | gene | CHI3L3
38605414 | @DISEASE_Neoplasms | Neoplasms | 2008 | 5 | Disease | disease | tumor
38605414 | @GENE_CHIL1 | Chil1 | 2086 | 6 | Gene | gene | CHI3L1
38605414 | @CHEMICAL_Chitin | Chitin | 2094 | 6 | Chemical | chemical | chitin
38605414 | @DISEASE_Neoplasms | Neoplasms | 2118 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Neoplasms | Neoplasms | 2279 | 5 | Disease | disease | tumor
38605414 | @CHEMICAL_Chitin | Chitin | 2331 | 6 | Chemical | chemical | chitin
38605414 | @GENE_PDCD1 | Pdcd1 | 2354 | 4 | Gene | gene | PD-1
38605414 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 2378 | 4 | Disease | disease | TNBC
38605414 | @DISEASE_Neoplasms | Neoplasms | 2443 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Calcinosis_Cutis | Calcinosis Cutis | 2458 | 10 | Disease | disease | metastatic
38605414 | @CHEMICAL_Chitin | Chitin | 2488 | 6 | Chemical | chemical | chitin
38605414 | @GENE_CD8A | Cd8a | 2569 | 8 | Gene | gene | CD8alpha
38605414 | @DISEASE_Neoplasms | Neoplasms | 2625 | 5 | Disease | disease | tumor
38605414 | @CHEMICAL_Chitin | Chitin | 2665 | 6 | Chemical | chemical | Chitin
38605414 | @GENE_HAPLN1 | Hapln1 | 2686 | 3 | Gene | gene | CLP
38605414 | @GENE_HAPLN1 | Hapln1 | 2707 | 3 | Gene | gene | CLP
38605414 | @DISEASE_Neoplasms | Neoplasms | 2737 | 5 | Disease | disease | tumor
38605414 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 2842 | 4 | Disease | disease | TNBC
1901941 | @GENE_HLA_DRA | HLA-DRA | 664 | 7 | Gene | gene | HLA-DRA
3115247 | @GENE_C1QBP | C1QBP | 650 | 3 | Gene | gene | p32
3115247 | @CHEMICAL_N_Acetylneuraminic_Acid | N-Acetylneuraminic Acid | 720 | 11 | Chemical | chemical | sialic acid
3115247 | @GENE_IL12A | IL12A | 884 | 3 | Gene | gene | p35
9348308 | @GENE_CASP3 | CASP3 | 45 | 5 | Gene | gene | CPP32
9348308 | @GENE_IFT43 | IFT43 | 133 | 5 | Gene | gene | CED-3
9348308 | @GENE_CASP3 | CASP3 | 287 | 5 | Gene | gene | CPP32
9348308 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 502 | 3 | Gene | gene | TcR
9348308 | @GENE_HLA_C | HLA-C | 542 | 3 | Gene | gene | MHC
9348308 | @GENE_CASP3 | CASP3 | 615 | 5 | Gene | gene | CPP32
9348308 | @GENE_CD247 | Cd247 | 693 | 3 | Gene | gene | CD3
9348308 | @GENE_CD247 | Cd247 | 730 | 3 | Gene | gene | CD3
9348308 | @CHEMICAL_Dexamethasone | Dexamethasone | 744 | 13 | Chemical | chemical | dexamethasone
9348308 | @GENE_CD247 | Cd247 | 844 | 3 | Gene | gene | CD3
9348308 | @GENE_CASP3 | Casp3 | 876 | 5 | Gene | gene | CPP32
9348308 | @GENE_C1QBP | C1qbp | 940 | 3 | Gene | gene | p32
9348308 | @CHEMICAL_Dexamethasone | Dexamethasone | 1041 | 13 | Chemical | chemical | dexamethasone
9348308 | @CHEMICAL_Phosphatidylserines | Phosphatidylserines | 1150 | 19 | Chemical | chemical | phosphatidyl serine
9348308 | @GENE_CD247 | Cd247 | 1241 | 3 | Gene | gene | CD3
9348308 | @CHEMICAL_Dexamethasone | Dexamethasone | 1250 | 13 | Chemical | chemical | dexamethasone
9348308 | @GENE_TRAV6_3 | Trav6-3 | 1354 | 3 | Gene | gene | TcR
9348308 | @GENE_CASP3 | Casp3 | 1428 | 5 | Gene | gene | CPP32
9348308 | @GENE_HLA_C | HLA-C | 1530 | 3 | Gene | gene | MHC
9348308 | @GENE_CASP3 | CASP3 | 1720 | 5 | Gene | gene | CPP32
9348308 | @GENE_PARP1 | Parp1 | 1781 | 27 | Gene | gene | poly(ADP-ribose) polymerase
9348308 | @GENE_PARP1 | Parp1 | 1810 | 4 | Gene | gene | PARP
9348308 | @CHEMICAL_benzyloxycarbonyl_valyl_alanyl_aspartyl_fluoromethane | benzyloxycarbonyl-valyl-alanyl-aspartyl-fluoromethane | 1868 | 10 | Chemical | chemical | zVAD-CH2F.
9348308 | @GENE_CASP3 | CASP3 | 1934 | 5 | Gene | gene | CPP32
19853635 | @CHEMICAL_Paraffin | Paraffin | 36 | 12 | Chemical | chemical | paraffin wax
19853635 | @DISEASE_Inflammation | Inflammation | 217 | 12 | Disease | disease | inflammatory
19853635 | @DISEASE_Inflammation | Inflammation | 668 | 12 | Disease | disease | inflammatory
19853635 | @DISEASE_Chemical_and_Drug_Induced_Liver_Injury | Chemical and Drug Induced Liver Injury | 690 | 23 | Disease | disease | hepatic microgranulomas
19853635 | @DISEASE_Inflammation | Inflammation | 910 | 12 | Disease | disease | inflammation
19853635 | @GENE_CD8A | Cd8a | 1052 | 4 | Gene | gene | CD8a
19853635 | @GENE_CD4 | Cd4 | 1092 | 3 | Gene | gene | CD4
19853635 | @DISEASE_Chemical_and_Drug_Induced_Liver_Injury | Chemical and Drug Induced Liver Injury | 1231 | 23 | Disease | disease | hepatic microgranulomas
19853635 | @DISEASE_Hypertrophy | Hypertrophy | 1409 | 11 | Disease | disease | hypertrophy
19853635 | @DISEASE_Hyperplasia | Hyperplasia | 1425 | 11 | Disease | disease | hyperplasia
19853635 | @DISEASE_Granuloma | Granuloma | 1564 | 9 | Disease | disease | granuloma
19853635 | @DISEASE_Inflammation | Inflammation | 1685 | 12 | Disease | disease | Inflammatory
19853635 | @DISEASE_Inflammation | Inflammation | 2241 | 12 | Disease | disease | inflammatory
21963575 | @DISEASE_Neuroinflammatory_Diseases | Neuroinflammatory Diseases | 156 | 17 | Disease | disease | neuroinflammation
21963575 | @DISEASE_Central_Nervous_System_Diseases | Central Nervous System Diseases | 215 | 39 | Disease | disease | disorders of the central nervous system
21963575 | @DISEASE_Inflammation | Inflammation | 380 | 12 | Disease | disease | inflammatory
21963575 | @DISEASE_Inflammation | Inflammation | 1422 | 12 | Disease | disease | inflammatory
21963575 | @DISEASE_Neuroinflammatory_Diseases | Neuroinflammatory Diseases | 1614 | 17 | Disease | disease | neuroinflammation
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 25 | 18 | Chemical | chemical | lipopolysaccharide
24921432 | @DISEASE_Periodontitis | Periodontitis | 151 | 13 | Disease | disease | periodontitis
24921432 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 169 | 8 | Disease | disease | diabetes
24921432 | @DISEASE_Periodontitis | Periodontitis | 268 | 13 | Disease | disease | periodontitis
24921432 | @DISEASE_Prediabetic_State | Prediabetic State | 286 | 11 | Disease | disease | prediabetes
24921432 | @DISEASE_Hyperinsulinism | Hyperinsulinism | 397 | 16 | Disease | disease | hyperinsulinemia
24921432 | @DISEASE_Periodontitis | Periodontitis | 437 | 13 | Disease | disease | periodontitis
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 550 | 18 | Chemical | chemical | lipopolysaccharide
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 570 | 3 | Chemical | chemical | LPS
24921432 | @DISEASE_Periodontitis | Periodontitis | 622 | 13 | Disease | disease | periodontitis
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 658 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 870 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 943 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Glucose | Glucose | 1059 | 7 | Chemical | chemical | glucose
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1111 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1298 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1536 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1655 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1663 | 3 | Chemical | chemical | LPS
24921432 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1799 | 3 | Chemical | chemical | LPS
24921432 | @GENE_CD8A | Cd8a | 1898 | 4 | Gene | gene | Cd8a
