35408447 | Association | Signs and Symptoms Digestive | ACE2
3180000 | Association | c.+del | Adenocarcinoma
9141512 | Association | Dehydroepiandrosterone Sulfate | Acquired Immunodeficiency Syndrome
9141512 | Association | Estradiol | Testosterone
9141512 | Association | Estradiol | Amenorrhea
9141512 | Association | Dehydroepiandrosterone Sulfate | Amenorrhea
9141512 | Association | Estradiol | Dehydroepiandrosterone Sulfate
9141512 | Association | Testosterone | Dehydroepiandrosterone Sulfate
9141512 | Association | Testosterone | Amenorrhea
9652995 | Negative_Correlation | testosterone enanthate | Weight Loss
9652995 | Negative_Correlation | testosterone enanthate | Immunologic Deficiency Syndromes
9652995 | Negative_Correlation | Testosterone | Hypogonadism
9652995 | Negative_Correlation | testosterone enanthate | Wasting Syndrome
9709937 | Negative_Correlation | Testosterone | Weight Loss
9709937 | Association | Lipids | Weight Gain
9709937 | Association | Lipids | Hirsutism
9709937 | Association | Lipids | Pain
9709937 | Negative_Correlation | Testosterone | Hirsutism
9709937 | Negative_Correlation | Testosterone | Acquired Immunodeficiency Syndrome
10504409 | Association | Urea | POLE4
10504409 | Association | CDKN1C | LRRC59
10504409 | Association | Sodium Dodecyl Sulfate | POLE4
10504409 | Association | CDKN1C | NUP37
10504409 | Association | CDKN1C | POLE4
10504409 | Association | Water | POLE4
10979879 | Negative_Correlation | Testosterone | HIV Wasting Syndrome
11222733 | Association | Cd4 | Ifng
11222733 | Association | Demyelinating Diseases | Ifng
11222733 | Association | Coronavirus Infections | Cd4
11401089 | Association | Lymphoma | NCAM1
11401089 | Association | Leukemia Large Granular Lymphocytic | NCAM1
11401089 | Association | Neoplasms | NCAM1
11401089 | Association | Lymphoma | CD4
11401089 | Association | Leukemia Large Granular Lymphocytic | CD4
11401089 | Association | Neoplasms | CD4
11495812 | Association | Demyelinating Diseases | Cd4
15576786 | Association | MAPK14 | NUP37
20432760 | Association | Leukemic Infiltration | CD8A
20432760 | Association | Leukemic Infiltration | CD4
25593026 | Association | Optic Neuritis | CD4
25593026 | Association | Optic Neuritis | CD19
25593026 | Association | Optic Neuritis | CD14
25928883 | Association | Choline | Neoplasm Invasiveness
26115946 | Association | Progeria | LMNA
26115946 | Association | Resveratrol | Metformin
26115946 | Association | Progeroid syndrome neonatal | PRKAA1
26115946 | Association | Metformin | Progeroid syndrome neonatal
26115946 | Association | LMNA | SRSF1
26115946 | Association | Progeria | PRKAA1
26115946 | Negative_Correlation | SRSF1 | C1QBP
26115946 | Association | LMNA | SRSF6
26115946 | Association | LMNA | PRKAA1
26115946 | Association | PRKAA1 | SRSF6
26115946 | Association | Resveratrol | Progeroid syndrome neonatal
27068393 | Association | vpr | RPA2
27068393 | Association | UNG | CD8A
27068393 | Association | vpr | CD8A
31681580 | Association | Mesothelioma Malignant | C1QBP
31681580 | Negative_Correlation | Neoplasms | C1QBP
31681580 | Association | Adenocarcinoma | C1QBP
36584296 | Positive_Correlation | ING2 | RBM8A
36584296 | Positive_Correlation | tat | ING2
36584296 | Positive_Correlation | ING2 | TAT
36584296 | Bind | tat | RBM8A
36584296 | Bind | TAT | RBM8A
36584296 | Association | HIV Infections | ING2
37189345 | Association | INS | GHR
37189345 | Association | CD8A | GHR
37189345 | Association | Laron Syndrome | GHR
37189345 | Association | Fatty Acids | GHR
37189345 | Association | Hypoglycemia | GHR
37189345 | Association | IFN-ALPHA-14 | GHR
37189345 | Association | GHR | CD4
37189345 | Negative_Correlation | Laron Syndrome | IGF1
37535041 | Association | tat | C1QBP
37535041 | Association | SMYD5 | tat
37535041 | Association | SMYD5 | TAT
37535041 | Association | TAT | C1QBP
37651685 | Association | Metals | Peroxides
37651685 | Negative_Correlation | Metals | Neoplasms
37651685 | Association | Neoplasms | HSPA4
37651685 | Negative_Correlation | Peroxides | Neoplasms
37744374 | Positive_Correlation | Infections | TGFB1
37744374 | Association | Marek Disease | TGFB1
37744374 | Association | Marek Disease | IL2RA
37744374 | Association | Marek Disease | CD4
37961145 | Association | CD8A | NR1I3
37961145 | Association | CD4 | NR1I3
37961145 | Association | CD4 | CD8A
38164397 | Association | Clostridium Infections | CD4
38201217 | Association | Cdk1 | Ifng
38201217 | Association | Ectromelia Infectious | Cdk1
38201217 | Positive_Correlation | Cd4 | Cdk1
38327516 | Association | Inflammation | Cd4
38327516 | Positive_Correlation | Cd4 | Cd8a
38327516 | Negative_Correlation | Cd28 | Cd4
38327516 | Positive_Correlation | Inflammation | Ifng
38327516 | Association | Neoplasms | Cd8a
38327516 | Association | Neoplasms | Trav6-3
38405082 | Association | Inflammatory Bowel Diseases | Cd4
38405082 | Association | Inflammation | Cd8b1
38405082 | Association | Intestinal Diseases | Cd8b1
38405082 | Association | Intestinal Diseases | Cd4
38455042 | Positive_Correlation | Cleft Palate | CD8A
38455042 | Positive_Correlation | Cleft Palate | Cd4
38455042 | Association | Enteritis | IFNG
38455042 | Association | Clostridium Infections | SPP1
38455042 | Association | Enteritis | CD4
38455042 | Association | Enteritis | IL1B
38482010 | Positive_Correlation | Cd4 | Tlr5
38482010 | Association | Diabetes Mellitus Type 1 | Tlr5
38482010 | Positive_Correlation | Itgax | Tlr5
38482010 | Association | Obesity | TLR5
38512979 | Association | c.1858C>T | Autoimmune Diseases
38512979 | Association | Autoimmune Diseases | PTPN22
38512979 | Association | Virus Diseases | PTPN22
791948 | Positive_Correlation | Rifampin | CD8A
6281260 | Association | Lysine | C1QBP
6281260 | Association | Poly T | C1QBP
7768329 | Association | N-bromoacetyl-3 3' 5-triiodothyronine | Cdkn1b
8243653 | Association | Triiodothyronine | DIO3
9263597 | Negative_Correlation | Methimazole | Mbp
9263597 | Association | Methimazole | Triiodothyronine
9263597 | Association | Triiodothyronine | Mbp
9263597 | Negative_Correlation | Iodine | Mbp
9263597 | Negative_Correlation | Iodine | Thyroxine
9263597 | Negative_Correlation | Iodine | Triiodothyronine
13242767 | Negative_Correlation | Phosphorus-32 | Mysophobia
13242767 | Negative_Correlation | Phosphorus-32 | Infections
23385756 | Association | Sterols | UPC2
23385756 | Association | Ergosterol | UPC2
37724058 | Association | Fatty Liver | SPP1
37724058 | Association | Neoplasms Adipose Tissue | CD8A
37724058 | Association | Fatty Liver | Spp1
37724058 | Association | Obesity | SPP1
37724058 | Negative_Correlation | Weight Loss | CD8A
37724058 | Association | Cd4 | Spp1
37724058 | Association | Insulin Resistance | SPP1
37724058 | Negative_Correlation | Weight Loss | SPP1
37724058 | Association | Insulin Resistance | Spp1
37724058 | Association | Inflammation | Spp1
37724058 | Association | Neoplasms Adipose Tissue | SPP1
37724058 | Association | Neoplasms Adipose Tissue | CD4
37724058 | Association | Obesity | Spp1
37724058 | Association | Inflammation | CD8A
37724058 | Association | Diabetes Mellitus Type 2 | SPP1
37736497 | Association | Intervertebral Disc Degeneration | CD8A
37736497 | Association | Intervertebral Disc Degeneration | PCBP1
37736497 | Association | Intervertebral Disc Degeneration | NCOA4
37736497 | Positive_Correlation | IL1B | NCOA4
37736497 | Association | Intervertebral Disc Degeneration | GZMB
37736497 | Association | Intervertebral Disc Degeneration | CD4
37736497 | Positive_Correlation | IL1B | PCBP1
37736497 | Association | Intervertebral Disc Degeneration | CD163
37736497 | Negative_Correlation | GPX4 | IL1B
37736497 | Association | Intervertebral Disc Degeneration | PTPRC
37736497 | Association | Intervertebral Disc Degeneration | CCR7
37770796 | Negative_Correlation | Aspartic Acid | Birth Weight
37770796 | Association | Birth Weight | CXCR4
37770796 | Association | Birth Weight | JAK3
37770796 | Association | Birth Weight | RAC2
37770796 | Association | Sphingolipids | Birth Weight
37770796 | Association | Birth Weight | ITGB3
37770796 | Association | Birth Weight | IL6
37770796 | Association | Birth Weight | CD8A
37770796 | Association | Birth Weight | ITGB2
37770796 | Negative_Correlation | Arginine | Birth Weight
37770796 | Negative_Correlation | Isoleucine | Birth Weight
37770796 | Association | Birth Weight | LCK
37770796 | Association | Birth Weight | TYROBP
37991414 | Association | Carcinoma Renal Cell | CD4
37991414 | Association | IFI30 | CD4
37991414 | Association | Carcinoma Renal Cell | IL10
37991414 | Association | IFI30 | CD8A
37991414 | Association | Carcinoma Renal Cell | CD3E
37991414 | Association | IFI30 | IL10
37991414 | Association | IFI30 | TGFB1
37991414 | Association | IFI30 | CD3E
37991414 | Association | Carcinoma Renal Cell | TGFB2
37991414 | Positive_Correlation | Carcinoma Renal Cell | IFI30
37991414 | Association | Carcinoma Renal Cell | CD8A
37991414 | Association | IFI30 | TGFB2
38169648 | Positive_Correlation | Acute Disease | Il2
38169648 | Positive_Correlation | Acute Disease | Cd3e
38169648 | Association | Acute Disease | Rhd
38169648 | Positive_Correlation | Acute Disease | Ifng
38169648 | Association | Acute Disease | Cd8a
38179731 | Negative_Correlation | Quercetin | Il6
38179731 | Negative_Correlation | Quercetin | Tnf
38179731 | Association | Carcinoma Hepatocellular | Pdcd1
38179731 | Association | Quercetin | Carcinoma Hepatocellular
38179731 | Positive_Correlation | Quercetin | Mmp9
38179731 | Positive_Correlation | Quercetin | Arg1
38203757 | Association | Sarcoma Ewing | Nr1i3
38203757 | Association | Nr1i3 | Cd28
38203757 | Negative_Correlation | Neoplasms | Cartpt
38203757 | Negative_Correlation | Lag3 | Cartpt
38203757 | Association | Sarcoma Ewing | Steap1
38203757 | Negative_Correlation | Tigit | Cartpt
38203757 | Association | Prostatic Neoplasms | Nr1i3
38203757 | Bind | Nr1i3 | Steap1
38203757 | Negative_Correlation | Il2ra | Cartpt
38203757 | Negative_Correlation | Pdcd1 | Cartpt
38203757 | Association | Neoplasms | Nr1i3
38203757 | Association | Prostatic Neoplasms | Steap1
38203757 | Negative_Correlation | Havcr2 | Cartpt
38203757 | Association | Neoplasms | Steap1
38234717 | Association | Neoplasms | IKZF1
38234717 | Association | Hereditary Autoinflammatory Diseases | CTLA4
38234717 | Association | Neoplasms | LAT
38234717 | Association | LAT | ITGAM
38234717 | Association | Neoplasms | CD200
38234717 | Association | Neoplasms | IRF1
38234717 | Association | Neoplasms | ITGAM
38234717 | Association | Neoplasms | SPI1
38234717 | Association | Neoplasms | PTPRC
38234717 | Association | Neoplasms | CD4
38234717 | Association | Neoplasms | CTLA4
38234717 | Association | LAT | PTPRC
38234717 | Association | Hereditary Autoinflammatory Diseases | CD200
38234717 | Association | LAT | CD8A
38234717 | Association | Neoplasms | SH2B3
38234717 | Association | Neoplasms | CD8A
38261850 | Negative_Correlation | Paclitaxel | Lung Neoplasms
38261850 | Negative_Correlation | Paclitaxel | Neoplasms
38348038 | Association | Neoplasms | CD4
38348038 | Association | Carcinoma Hepatocellular | KLRB1
38348038 | Positive_Correlation | Neoplasms | VEGFA
38348038 | Association | Neoplasms | CD5
38348038 | Association | Carcinoma Hepatocellular | CD5
38544333 | Association | Mouth Diseases | Cd8a
38544333 | Association | PDCD1 | STAT1
38544333 | Negative_Correlation | CCNB1 | CD8A
38544333 | Positive_Correlation | STAT1 | CD8A
38544333 | Positive_Correlation | PDCD1 | CD8A
38544333 | Positive_Correlation | Inflammation | CD8A
38544333 | Negative_Correlation | Mouth Diseases | CD8A
38544333 | Association | Endometriosis | STAT1
38544333 | Association | Endometriosis | PDCD1
38544333 | Negative_Correlation | CD8A | CDK1
38544333 | Association | Endometriosis | CD8A
38545102 | Association | Heart Arrest | Nt5e
38545102 | Positive_Correlation | Cd19 | Entpd1
38545102 | Association | Post-Cardiac Arrest Syndrome | Cd19
38545102 | Association | Reperfusion Injury | Entpd1
38545102 | Positive_Correlation | Entpd1 | Itgam
38545102 | Association | Reperfusion Injury | Nt5e
38545102 | Association | Post-Cardiac Arrest Syndrome | Cd8a
38545102 | Positive_Correlation | Post-Cardiac Arrest Syndrome | Cd247
38545102 | Positive_Correlation | Post-Cardiac Arrest Syndrome | Cd4
38545102 | Positive_Correlation | Heart Arrest | Cd4
38545102 | Association | Heart Arrest | Entpd1
1914770 | Association | Colitis Ulcerative | CD4
1914770 | Association | Inflammatory Bowel Diseases | SELL
1914770 | Negative_Correlation | Colitis Ulcerative | NCAM1
1914770 | Positive_Correlation | Crohn Disease | CD8A
1914770 | Negative_Correlation | Colitis Ulcerative | FCGR3A
1914770 | Association | Inflammatory Bowel Diseases | PTPRC
1914770 | Association | Crohn Disease | CD4
1914770 | Association | Inflammatory Bowel Diseases | CD4
2104186 | Positive_Correlation | Diabetes Mellitus Type 1 | TNFRSF25
2208107 | Negative_Correlation | flavone acetic acid | Neoplasms
2208107 | Negative_Correlation | flavone acetic acid | NCAM1
2329720 | Positive_Correlation | Cyclosporine | Adenocarcinoma
2419409 | Association | Drug-Related Side Effects and Adverse Reactions | CD4
2419409 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
2571558 | Association | Pseudolymphoma | CD8A
2571558 | Association | Leukemia B-Cell | CD4
2571558 | Association | Leukemia B-Cell | CD8A
2573270 | Association | Acquired Immunodeficiency Syndrome | CD8A
2573270 | Association | HIV Infections | CD4
2573270 | Negative_Correlation | NRSN1 | CD4
2906281 | Negative_Correlation | Methimazole | Graves Disease
2906281 | Negative_Correlation | Methimazole | SLC3A2
2906281 | Negative_Correlation | Methimazole | CD4
2906281 | Positive_Correlation | Methimazole | CD8A
2906281 | Negative_Correlation | Methimazole | FCGR3A
2955973 | Association | IL2 | TDGF1P3
2962791 | Positive_Correlation | IL2RB | CD8A
2964240 | Association | Arthritis Rheumatoid | CD4
3091303 | Association | Acquired Immunodeficiency Syndrome | CD4
3091303 | Association | AIDS Dementia Complex | CD4
3093583 | Association | B3GAT1 | CD8A
3904400 | Negative_Correlation | Hodgkin Disease | Tnfrsf8
3904400 | Negative_Correlation | Hereditary leiomyomatosis and renal cell cancer | Tnfrsf8
7617661 | Association | Brain Neoplasms | CD4
7617661 | Association | Neoplasms | HLA-A
7617661 | Association | Brain Neoplasms | CD8A
7617661 | Association | Neoplasms | HLA-B
7617661 | Association | Neoplasms | HLA-C
7617661 | Association | Neoplasms | CD8A
7901248 | Negative_Correlation | diphenylcyclopropenone | ICAM1
7901248 | Negative_Correlation | Minoxidil | Alopecia Areata
7901248 | Drug_Interaction | diphenylcyclopropenone | Minoxidil
7901248 | Negative_Correlation | diphenylcyclopropenone | DLEU1
7901248 | Negative_Correlation | diphenylcyclopropenone | Alopecia Areata
8349855 | Association | Lymphoma T-Cell | CD8A
23216389 | Association | Nicotine | rs7445832
23216389 | Association | Alcohols | IPO11
23216389 | Association | Alcohols | HTR1A
23216389 | Association | Alcoholism | HTR1A
23216389 | Association | Nicotine | IPO11
23216389 | Association | Nicotine | HTR1A
23216389 | Association | Alcoholism | IPO11
23216389 | Positive_Correlation | Nicotine | Alcoholism
23216389 | Association | HTR1A | IPO11
23216389 | Positive_Correlation | Alcohols | Alcoholism
23216389 | Association | Alcohols | rs7445832
26079129 | Association | HTR1A | IPO11
26079129 | Association | Attention Deficit Disorder with Hyperactivity | HTR1A
26079129 | Association | Mental Disorders | IPO11
26079129 | Association | Attention Deficit Disorder with Hyperactivity | IPO11
26079129 | Positive_Correlation | Attention Deficit Disorder with Hyperactivity | rs10042956
26079129 | Association | Mental Disorders | HTR1A
35680625 | Positive_Correlation | CD52 | IFNG
35680625 | Association | Leukemia | CD52
35680625 | Positive_Correlation | CD52 | TNF
35680625 | Bind | CD52 | CD8A
35680625 | Association | CD52 | CD247
35680625 | Association | IFNG | TNF
36403042 | Association | COVID-19 | CCR7
36403042 | Association | COVID-19 | IL6
36403042 | Association | COVID-19 | CD4
36403042 | Association | COVID-19 | CD19
36403042 | Association | COVID-19 | CD8A
36403042 | Association | COVID-19 | IL7R
36451060 | Association | Neoplasms | POSTN
36451060 | Association | Neoplasms | TGFB1
36451060 | Positive_Correlation | POSTN | CD8A
36451060 | Association | Neoplasms | VEGFA
36451060 | Association | Stomach Neoplasms | POSTN
36625011 | Association | Kidney Diseases | CD8A
36625011 | Association | Kidney Diseases | CD4
36818626 | Association | Stomach Neoplasms | CD93
36818626 | Association | Neoplasms | CD93
36982803 | Negative_Correlation | Parasitic Diseases | Mrto4
36982803 | Negative_Correlation | 6-hydroxy-6-methyl-3-heptanone | Parasitic Diseases
36982803 | Negative_Correlation | 2-(sec-butyl)-4 5-dihydrothiazole | Parasitic Diseases
36982803 | Negative_Correlation | dimethyl sulfone | Parasitic Diseases
36982803 | Negative_Correlation | Parasitic Diseases | Ipo11
36982803 | Negative_Correlation | Parasitic Diseases | Herc4
37048045 | Association | Osteolysis | Tnfsf11
37048045 | Association | Cartilage Diseases | Ptpn11
37048045 | Association | Kyphosis | Ptpn11
37048045 | Association | Osteolysis | Tnfrsf11b
37048045 | Association | Arthritis | Ptpn11
37127471 | Cotreatment | carfilzomib | Dexamethasone
37127471 | Negative_Correlation | carfilzomib | Multiple Myeloma
37127471 | Negative_Correlation | Lenalidomide | Multiple Myeloma
37127471 | Negative_Correlation | Dexamethasone | Multiple Myeloma
37127471 | Cotreatment | elotuzumab | Lenalidomide
37127471 | Cotreatment | elotuzumab | Dexamethasone
37127471 | Cotreatment | Lenalidomide | Dexamethasone
37127471 | Cotreatment | carfilzomib | elotuzumab
37127471 | Negative_Correlation | elotuzumab | Multiple Myeloma
37243868 | Negative_Correlation | Remifentanil | Carcinoma Hepatocellular
37243868 | Negative_Correlation | Glucose | Sufentanil
37243868 | Negative_Correlation | Sufentanil | Carcinoma Hepatocellular
37243868 | Comparison | Remifentanil | Sufentanil
37249292 | Association | Immune System Diseases | Fbln2
37249292 | Association | Cd4 | Fbln2
37249292 | Association | Cd19 | Fbln2
37249292 | Association | Bone Diseases | Fbln2
37249292 | Association | Infections | Fbln2
37249292 | Negative_Correlation | Bone Diseases | FBLN2
37302368 | Positive_Correlation | Nivolumab | IFNG
37302368 | Positive_Correlation | Nivolumab | CD8A
37302368 | Association | Nivolumab | SKP2
37302368 | Association | AKT1 | SKP2
37302368 | Association | Thyroiditis | AKT1
37302368 | Association | Thyroiditis | SKP2
37302368 | Association | Nivolumab | AKT1
37302368 | Negative_Correlation | Nivolumab | CD274
37352926 | Association | Colorectal Neoplasms | CD8A
37352926 | Association | Inflammation | CD8A
37352926 | Association | Neoplasms | CD8A
37386586 | Positive_Correlation | Glutamine | CD79A
37386586 | Negative_Correlation | Glutamine | Multiple Trauma
37386586 | Positive_Correlation | Glutamine | CD19
37386586 | Positive_Correlation | Glutamine | CD4
37386586 | Positive_Correlation | Glutamine | CD8A
37809082 | Negative_Correlation | blinatumomab | Neoplasms
37809082 | Negative_Correlation | blinatumomab | Precursor Cell Lymphoblastic Leukemia-Lymphoma
37809082 | Bind | blinatumomab | CD19
37809082 | Negative_Correlation | blinatumomab | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
