38449806 | Association | Brain Injuries Diffuse | Ccl5
37392066 | Negative_Correlation | PIAS3 | STAT3
37392066 | Association | Inflammation | KRT17
37392066 | Positive_Correlation | PIAS3 | TP53
37392066 | Association | Skin Diseases | STAT3
37392066 | Positive_Correlation | Imiquimod | Psoriasis
37392066 | Negative_Correlation | PIAS3 | NFKB1
37392066 | Negative_Correlation | PIAS3 | CXCL8
37392066 | Negative_Correlation | Inflammation | PIAS3
37392066 | Association | Inflammation | TNF
37392066 | Negative_Correlation | PIAS3 | KRT17
37392066 | Association | Inflammation | IL6
37392066 | Association | Psoriasis | STAT3
37392066 | Negative_Correlation | Arthritis Psoriatic | PIAS3
37392066 | Association | Inflammation | CXCL8
37392066 | Negative_Correlation | PIAS3 | IL6
37392066 | Positive_Correlation | Imiquimod | Inflammation
37586220 | Positive_Correlation | Cholesterol | Atherosclerosis
37586220 | Negative_Correlation | Vim | Pias3
37586220 | Positive_Correlation | Cnn1 | Pias3
37586220 | Negative_Correlation | Atherosclerosis | Pias3
37586220 | Positive_Correlation | Myh11 | Pias3
37586220 | Negative_Correlation | Pias3 | Vim
37586220 | Association | Atherosclerosis | Stat3
38082192 | Positive_Correlation | honokiol | Pias3
38082192 | Association | Neoplasms | Stat3
38082192 | Association | Neoplasms | Pias3
38082192 | Association | Stat3 | Pias3
38082192 | Negative_Correlation | honokiol | Stat3
38082192 | Negative_Correlation | honokiol | Neoplasms
15123625 | Association | PPARG | SUMO1
15123625 | Association | PPARG | PIAS2
15123625 | Association | PPARG | UBE2I
15123625 | Association | Neoplasms | PPARG
15123625 | Association | Neoplasms | SUMO1
15123625 | Association | PPARG | PIAS1
15123625 | Association | Hepatoblastoma | PPARG
15713642 | Association | NR5A1 | PIAS2
15713642 | Positive_Correlation | SENP1 | LGALS4
15713642 | Association | DDX20 | NR5A1
15713642 | Association | NR5A1 | PIAS4
22745796 | Association | POU5F1 | PIAS2
22745796 | Positive_Correlation | SUMO1 | NANOG
22745796 | Positive_Correlation | UBE2I | NANOG
22745796 | Association | PIAS3 | POU5F1
22745796 | Bind | POU5F1 | SOX2
22745796 | Association | SOX2 | NANOG
22745796 | Association | PIAS3 | SOX2
22745796 | Association | POU5F1 | NANOG
22824807 | Association | POLD2 | PIAS2
22824807 | Association | POLD2 | STAT2
22824807 | Association | Pias2 | Pold2
22824807 | Association | Pold2 | PIAS2
25434787 | Association | Uterine Cervical Neoplasms | UXT
25434787 | Association | AR | UXT
25434787 | Association | Uxt | PIAS2
25434787 | Association | UXT | PIAS2
25434787 | Association | AR | PIAS2
26175529 | Association | Fibrosis | Zbtb17
26175529 | Association | Cardiomyopathies | rs10927875
26175529 | Association | Cardiomyopathies | Zbtb17
26175529 | Association | Cardiomegaly | Zbtb17
26175529 | Association | Heart Failure | Zbtb17
26175529 | Association | Cardiomyopathies | ZBTB17
26390157 | Association | Pias2 | Prkcq
26390157 | Association | Prkcq | TRBV20OR9-2
26390157 | Association | FLNA | CD28
26390157 | Association | Prkcq | CD28
30232347 | Positive_Correlation | Hydrogen | Sirt1
30232347 | Positive_Correlation | Hydrogen | Hmox1
30232347 | Negative_Correlation | Hydrogen | Fatty Liver
30232347 | Negative_Correlation | Hydrogen | Reperfusion Injury
30232347 | Association | Reperfusion Injury | Hmox1
30232347 | Positive_Correlation | Hydrogen | Bcl2
30232347 | Negative_Correlation | Hydrogen | Trp53-ps
30232347 | Association | Choline | Fatty Liver
30232347 | Association | Reperfusion Injury | Sirt1
30232347 | Negative_Correlation | Hydrogen | Bax
30420889 | Negative_Correlation | 601308 | Mxd4
30420889 | Negative_Correlation | Mxd1 | Myc
30420889 | Association | Myeloproliferative Disorders | Myc
30420889 | Association | Leukemia Myeloid Acute | Flt3
30420889 | Association | Myeloproliferative Disorders | Flt3
30420889 | Association | Leukemia Myeloid Acute | Myc
30420889 | Association | Flt3 | Myc
30420889 | Positive_Correlation | Flt3 | Slamf1
30420889 | Positive_Correlation | Cd48 | Flt3
30420889 | Positive_Correlation | Flt3 | Mxd4
30420889 | Negative_Correlation | Mxd4 | Myc
30420889 | Negative_Correlation | 601308 | Mxd1
30420889 | Positive_Correlation | Flt3 | Mxd1
31273062 | Negative_Correlation | Cytarabine | Leukemia
31273062 | Association | Leukemia Biphenotypic Acute | Zbtb17
31273062 | Association | Cytarabine | Zbtb17
31273062 | Association | Neoplasms | Myc
31273062 | Association | Lymphoma | Zbtb17
31273062 | Association | Lymphoma B-Cell | Zbtb17
31273062 | Negative_Correlation | Cytarabine | Leukemia Biphenotypic Acute
31273062 | Association | Leukemia | Myc
31273062 | Negative_Correlation | Cytarabine | Lymphoma
31468277 | Negative_Correlation | Hydrogen | Reperfusion Injury
31468277 | Association | Inflammation | Il6
31468277 | Negative_Correlation | Hydrogen | Inflammation
32209106 | Negative_Correlation | Inflammation | DDX39B
32209106 | Negative_Correlation | RELA | DDX39B
32209106 | Association | Autoimmune Diseases | HFM1
32209106 | Association | NFKB1 | RELA
32209106 | Association | Autoimmune Diseases | DDX39B
32209106 | Negative_Correlation | NFKB1 | DDX39B
32209106 | Association | DDX39B | PIAS2
32209106 | Association | Glioblastoma | DDX39B
32209106 | Association | DHX58 | DDX39B
32209106 | Bind | DDX39B | NR1I2
32209106 | Association | Inflammation | NFKB1
32249212 | Association | ZFHX3 | PIAS2
32249212 | Association | ZFHX3 | SUMO1
32249212 | Association | Carcinogenesis | ZFHX3
32249212 | Association | Neoplasms | ZFHX3
32249212 | Association | ZFHX3 | SUMO2
32249212 | Association | ZFHX3 | SUMO3
32249212 | Association | Breast Neoplasms | ZFHX3
32249212 | Association | SAE1 | ZFHX3
32249212 | Association | ZFHX3 | UBE2I
32249212 | Association | SENP1 | ZFHX3
32249212 | Association | Atrial Fibrillation | ZFHX3
32249212 | Association | ZFHX3 | SENP2
33151932 | Association | Hirschsprung Disease | ABCD1
33151932 | Association | Hirschsprung Disease | ATP7A
33151932 | Association | Hirschsprung Disease | SREBF1
33151932 | Association | Hirschsprung Disease | PIAS2
33439102 | Association | Hydrogen | Pparg
33439102 | Association | Hydrogen | Water
33439102 | Negative_Correlation | Water | Non-alcoholic Fatty Liver Disease
33439102 | Association | Choline | Non-alcoholic Fatty Liver Disease
33439102 | Association | Lipids | Fatty Liver
33439102 | Negative_Correlation | Hydrogen | Palmitates
33439102 | Positive_Correlation | Hmox1 | Sirt1
33439102 | Association | Inflammation | Hmox1
33439102 | Negative_Correlation | Hydrogen | Non-alcoholic Fatty Liver Disease
33439102 | Negative_Correlation | Hydrogen | Metabolic Diseases
33439102 | Association | Palmitates | Ppara
33439102 | Association | Non-alcoholic Fatty Liver Disease | Sirt1
33439102 | Association | Ppara | Sirt1
33439102 | Negative_Correlation | Water | Liver Failure
33439102 | Positive_Correlation | Lipopolysaccharides | Inflammation
33439102 | Association | Liver Failure | Hmox1
33439102 | Positive_Correlation | Hydrogen | Sirt1
33439102 | Association | Hydrogen | Ppara
33439102 | Negative_Correlation | Hydrogen | Liver Failure
33439102 | Association | Pparg | Sirt1
33439102 | Association | Lipids | Metabolic Diseases
33439102 | Association | Palmitates | Sirt1
33439102 | Association | Water | Sirt1
33439102 | Association | Palmitates | Pparg
33439102 | Positive_Correlation | Hydrogen | Hmox1
33439102 | Negative_Correlation | Hydrogen | Inflammation
33439102 | Association | Palmitates | Metabolic Diseases
33439102 | Association | Hydrogen | Il10
33439102 | Positive_Correlation | Water | Hmox1
33439102 | Negative_Correlation | Hydrogen | Lipopolysaccharides
33439102 | Association | Water | Il10
33439102 | Positive_Correlation | Palmitates | Fatty Liver
33567272 | Association | Cardiolipins | Inflammation
33567272 | Association | Inflammation | IL10
33567272 | Association | Il10 | PPARG
33567272 | Association | Cardiolipins | Pparg
33567272 | Association | Pneumonia | Il10
33567272 | Association | Cardiolipins | Il10
33567272 | Association | Inflammation | Pparg
33567272 | Association | Pparg | Mapk8
33567272 | Association | Cardiolipins | Pneumonia Bacterial
33567272 | Negative_Correlation | Inflammation | Il10
33567272 | Association | Il10 | Pparg
33567272 | Association | Pneumonia Bacterial | Pparg
33567272 | Association | Pneumonia | Pparg
33639371 | Negative_Correlation | Hydrogen | Sepsis
33639371 | Negative_Correlation | Hydrogen | Cd14
33639371 | Negative_Correlation | Hydrogen | Il6
33639371 | Negative_Correlation | Hydrogen | Arthritis Infectious
33639371 | Association | Inflammation | Stat3
33639371 | Negative_Correlation | Hydrogen | Inflammation
33639371 | Negative_Correlation | Hydrogen | Tnf
33639371 | Negative_Correlation | Blood Glucose | Hydrogen
34234281 | Association | Progressive supranuclear palsy atypical | IFNB1
34234281 | Association | Camurati-Engelmann Syndrome | IFNB1
34234281 | Association | Camurati-Engelmann Syndrome | IFNAR1
34234281 | Negative_Correlation | Pias2 | IFNB1
34234281 | Association | Camurati-Engelmann Syndrome | IFNA8
34234281 | Bind | IFNA8 | IFNAR1
34234281 | Bind | IFN1@ | IFNB1
34234281 | Association | Nerve Degeneration | SNCA
34234281 | Bind | IFNAR1 | IFNB1
34234281 | Association | Progressive supranuclear palsy atypical | Pias2
34234281 | Association | Pias2 | Mapk1
34234281 | Association | Pias2 | SNCA
34234281 | Bind | IFN1@ | IFNAR1
34234281 | Association | Pias2 | Mapk3
34234281 | Association | Cognition Disorders | SNCA
34234281 | Association | Cognition Disorders | Pias2
34234281 | Bind | IFNA8 | IFNB1
34234281 | Association | Dementia | Pias2
34234281 | Association | Nerve Degeneration | Pias2
34234281 | Association | Cognition Disorders | Stat2
34234281 | Positive_Correlation | Pias2 | Trp53-ps
34234281 | Association | Camurati-Engelmann Syndrome | Pias2
34234281 | Association | 8-Hydroxy-2'-Deoxyguanosine | Pias2
34234281 | Association | Progressive supranuclear palsy atypical | PIAS2
34234281 | Association | Camurati-Engelmann Syndrome | IFN1@
34234281 | Association | IFNAR1 | PIAS2
34234281 | Association | Pias2 | Stat2
35179955 | Association | Nr3c1 | Ppargc1a
35179955 | Negative_Correlation | Prednisone | Muscle Neoplasms
35179955 | Association | Prednisone | Nr3c1
35179955 | Association | Prednisone | Nampt
35179955 | Association | Arntl | Ppargc1a
35179955 | Association | Arntl | Nampt
35179955 | Association | Nr3c1 | Nampt
35179955 | Association | Prednisone | Ppargc1a
35179955 | Association | Prednisone | Arntl
35179955 | Positive_Correlation | NAD | Prednisone
35340039 | Association | Cholangiocarcinoma | Efnb2
35340039 | Association | Cholangiocarcinoma | Notch4
35340039 | Association | Cholangiocarcinoma | Yap1
35340039 | Association | Efnb2 | Dll4
35340039 | Association | Cholangiocarcinoma | Akt1
35340039 | Association | Cholangiocarcinoma | Zmiz1
35340039 | Association | Cholangiocarcinoma | Cfl1
35340039 | Association | Cholangiocarcinoma | Dll4
35340039 | Association | Cholangiocarcinoma | Cdkn2d
35340039 | Association | Cholangiocarcinoma | Ybx1
35340039 | Association | Cholangiocarcinoma | Kras
35340039 | Association | Cholangiocarcinoma | Id1
35363257 | Negative_Correlation | Prednisone | Obesity
35363257 | Association | Adipoq | Camkk2
35363257 | Positive_Correlation | Prednisone | Adipoq
35717025 | Negative_Correlation | Prednisone | Cardiomyopathies
35717025 | Positive_Correlation | Adenosine Triphosphate | Prednisone
35717025 | Positive_Correlation | NAD | Prednisone
36251411 | Association | TEKT2 | NPHS1
36251411 | Association | Diabetic Nephropathies | TEKT2
36251411 | Association | TEKT2 | NPHS2
36251411 | Association | Diabetic Nephropathies | PIAS2
36401044 | Negative_Correlation | Steroids | Muscular Dystrophies
37095099 | Association | Mitochondrial Diseases | Txnip
37095099 | Association | TXNIP | ABL1
37095099 | Positive_Correlation | Glucose | Mitochondrial Diseases
37095099 | Association | Glucose | Leukemia Myelogenous Chronic BCR-ABL Positive
37095099 | Positive_Correlation | TXNIP | Pias2
37095099 | Negative_Correlation | Hk2 | Txnip
37095099 | Association | Glucose | Txnip
37095099 | Negative_Correlation | Imatinib Mesylate | MYC
37095099 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | Txnip
37095099 | Association | MYC | Fbxw7
37095099 | Association | Pias2 | Ep300
37095099 | Negative_Correlation | Ldha | Txnip
37095099 | Negative_Correlation | Imatinib Mesylate | Leukemia Myelogenous Chronic BCR-ABL Positive
37095099 | Association | Adenosine Triphosphate | Txnip
37095099 | Association | ABL1 | Txnip
37095099 | Association | Glucose | TXNIP
37095099 | Association | Glucose | ABL1
37095099 | Positive_Correlation | TXNIP | Ep300
37400551 | Association | Runx3 | Fbxw7
37400551 | Negative_Correlation | Neoplasms | Runx3
37400551 | Negative_Correlation | Runx3 | Myc
37400551 | Negative_Correlation | Gastrointestinal Diseases | Runx3
37400551 | Association | Fbxw7 | Gsk3b
37400551 | Association | Myc | Gsk3b
37400551 | Association | Neoplasms | Myc
37400551 | Association | Runx3 | Gsk3b
37400551 | Bind | Myc | Zbtb17
37400551 | Association | Myc | Fbxw7
37839636 | Positive_Correlation | Tet3 | Zmiz1
37839636 | Association | Carcinogenesis | Zmiz1
37839636 | Association | Carcinogenesis | Tet3
37839636 | Association | Carcinoma Hepatocellular | Tet3
37839636 | Association | Notch1 | Tet3
37839636 | Association | Notch1 | Zmiz1
37839636 | Association | Carcinogenesis | Notch1
37839636 | Association | Carcinoma Hepatocellular | Zmiz1
37905062 | Association | Sarcopenia | Lpin1
37905062 | Association | Lpin1 | Ppargc1a
37905062 | Association | Sarcopenia | Ppargc1a
37905062 | Association | Lpin1 | Nr3c1
37905062 | Association | Nr3c1 | Ppargc1a
37905062 | Association | Carbon | Ppargc1a
37905062 | Association | Carbon | Glucose
38187555 | Association | Glucose | Klf15
38187555 | Association | Prednisone | Nr3c1
38187555 | Association | Glucose | Nr3c1
38187555 | Association | Prednisone | Klf15
38187555 | Association | Nr3c1 | Klf15
38187555 | Positive_Correlation | Glucose | Prednisone
38187555 | Positive_Correlation | Prednisone | Adipor1
38586891 | Positive_Correlation | Igf1 | Igf1r
38586891 | Association | Diabetic Nephropathies | IGF1
38586891 | Positive_Correlation | Glucose | Wounds and Injuries
38586891 | Association | Wounds and Injuries | Igf1
38586891 | Association | Wounds and Injuries | Jak2
38586891 | Positive_Correlation | Igf1 | Jak2
38586891 | Association | Glucose | Igf1
38588989 | Positive_Correlation | Lipopolysaccharides | Acute Lung Injury
38588989 | Association | Acute Lung Injury | Nlrp3
38588989 | Positive_Correlation | Lipopolysaccharides | Pulmonary Edema
38593156 | Association | Mcl1 | Pias2
38593156 | Association | Pias2 | Huwe1
38593156 | Association | Ifnb1 | Hdac1
38593156 | Association | Influenza Human | Mcl1
38593156 | Association | Influenza Human | Pias2
38593156 | Association | Ifna | Pias2
38593156 | Association | Ifnb1 | Pias2
38593156 | Association | Pias2 | Cul4b
38593156 | Association | Ifna | Hdac1
38593156 | Positive_Correlation | Pias2 | Hdac1
38593156 | Association | Influenza Human | Cul4b
38597446 | Association | Stomach Neoplasms | LINC00626
38597446 | Association | Stomach Neoplasms | STAT3
38597446 | Association | Stomach Neoplasms | JAK1
38597446 | Association | STAT3 | KHSRP
38597446 | Positive_Correlation | Neoplasm Metastasis | LINC00626
38597446 | Association | Adenocarcinoma | LINC00626
38597446 | Association | JAK1 | STAT3
38597446 | Association | JAK1 | KHSRP
38597446 | Association | Adenocarcinoma | KHSRP
38597446 | Association | Neoplasm Metastasis | JAK1
38597446 | Association | STAT3 | LINC00626
38597446 | Association | JAK1 | LINC00626
38597446 | Association | LINC00626 | KHSRP
38597583 | Positive_Correlation | IL4 | UCP1
38597583 | Negative_Correlation | Inflammation | IL4
38597583 | Association | AKT1 | INS
38597583 | Association | Metabolic Diseases | IL4
38597583 | Association | Lipids | IL4
38597583 | Positive_Correlation | IL4 | POMC
38597583 | Association | IL4 | LEP
38597583 | Association | Neoplasms Adipose Tissue | IL4
38597583 | Negative_Correlation | IL4 | NPY
38597583 | Negative_Correlation | Insulin Resistance | IL4
38597583 | Association | IL4 | INS
38597583 | Association | AKT1 | IL4
38597583 | Association | Obesity | IL4
38597583 | Negative_Correlation | Glucose | IL4
38621611 | Negative_Correlation | ruxolitinib | Lymphohistiocytosis Hemophagocytic
38641823 | Association | Neoplasms | STAT1
38641823 | Association | Neoplasms | STAT3
38641823 | Association | Neoplasms | JAK1
38641823 | Association | JAK2 | STAT3
38641823 | Association | JAK1 | STAT1
38641823 | Association | Neoplasms | JAK2
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | IL1B
38646919 | Association | Primary Myelofibrosis | MIR146A
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Osteosclerosis
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Fibrosis
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Inflammation
38646919 | Negative_Correlation | ruxolitinib | Hematologic Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Thrombocytopenia
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Bone Marrow Diseases
38646919 | Association | Anemia | NFKB1
38646919 | Association | Osteosclerosis | NFKB1
38646919 | Negative_Correlation | MIR146A | NFKB1
38646919 | Negative_Correlation | fedratinib | Primary Myelofibrosis
38646919 | Association | Inflammation | IL1B
38646919 | Association | Inflammation | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | TNF
38646919 | Positive_Correlation | IL1B | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Bone Marrow Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Fibrosis
38646919 | Association | Fibrosis | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | IL1B
38646919 | Association | Inflammation | TNF
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Thrombocytopenia
38646919 | Association | Thrombocytopenia | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | JAK2
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | TNF
38646919 | Association | Bone Marrow Diseases | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Inflammation
38646919 | Negative_Correlation | fedratinib | Hematologic Diseases
38646919 | Association | NFKB1 | TNF
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Osteosclerosis
38646919 | Association | Primary Myelofibrosis | NFKB1
38646919 | Association | Fibrosis | JAK2
18683816 | Association | Shock Septic | Tyk2
18683816 | Association | Lipopolysaccharides | Prdx1
18683816 | Association | Eef2 | Tyk2
18683816 | Association | Mycn | Tyk2
18683816 | Positive_Correlation | Lipopolysaccharides | Shock Septic
18683816 | Association | Prdx1 | Tyk2
18683816 | Association | Lipopolysaccharides | Tyk2
24936061 | Positive_Correlation | ERN1 | MAPK8
24936061 | Association | Diabetes Mellitus Type 1 | Il1b
24936061 | Positive_Correlation | Inflammation | IFNG
24936061 | Positive_Correlation | IFNG | NMI
24936061 | Negative_Correlation | ERN1 | NMI
24936061 | Negative_Correlation | MAPK8 | NMI
24936061 | Positive_Correlation | IL1B | NMI
24936061 | Negative_Correlation | ERN1 | INS
24936061 | Association | Inflammation | ERN1
24936061 | Association | Diabetes Mellitus Type 1 | IFNG
24936061 | Positive_Correlation | Inflammation | IL1B
27012186 | Negative_Correlation | NFKB1 | NMI
27012186 | Positive_Correlation | TNF | NMI
27012186 | Negative_Correlation | RELA | NMI
27012186 | Negative_Correlation | Stomach Neoplasms | NMI
27012186 | Negative_Correlation | Neoplasm Metastasis | NMI
27012186 | Association | Neoplasms | NFKB1
27012186 | Negative_Correlation | Neoplasms | NMI
30521142 | Association | Pax6 | Nmi
30521142 | Association | Tfcp2 | Nmi
30521142 | Positive_Correlation | Mapk14 | Nmi
30521142 | Association | Cp2 | Nmi
33759814 | Positive_Correlation | Egr2 | Pias1
33759814 | Positive_Correlation | Egr1 | Pias1
33759814 | Association | Inflammation | PIAS1
33759814 | Association | Neurodegenerative Diseases | PIAS1
33759814 | Negative_Correlation | Alzheimer Disease | Pias1
33759814 | Association | Nr3c2 | Pias1
33759814 | Positive_Correlation | Egr3 | Pias1
33759814 | Positive_Correlation | Fosl1 | Pias1
33759814 | Positive_Correlation | Pias1 | TP53
33759814 | Negative_Correlation | Stat1 | Pias1
33759814 | Negative_Correlation | Pias1 | STAT1
33759814 | Positive_Correlation | Fos | Pias1
33759814 | Positive_Correlation | Pias1 | H3P16
33769609 | Association | Fatty Liver | Cflar
33769609 | Association | Obesity | Pias1
33769609 | Association | Fatty Liver | Pias1
33769609 | Association | Embolism Fat | Mapk8
33769609 | Association | Embolism Fat | Cflar
33769609 | Association | Obesity | Cdkn2a
33769609 | Negative_Correlation | Prmt1 | Mapk8
33769609 | Association | Fatty Liver | Cdkn2a
33769609 | Association | Fatty Liver | Mapk8
33769609 | Association | Fatty Liver | Prmt1
33769609 | Negative_Correlation | Cflar | Prmt1
33769609 | Association | Cdkn2a | Pias1
33769609 | Association | Embolism Fat | Cdkn2a
33769609 | Negative_Correlation | Cflar | Mapk8
34187905 | Association | SLX4IP | PIAS1
34187905 | Association | SLX4IP | NFKB1
34187905 | Association | TERF2IP | PIAS1
34187905 | Association | SLX4 | PIAS1
34187905 | Positive_Correlation | NFKB1 | TERF2IP
34187905 | Association | NFKB1 | PIAS1
34187905 | Positive_Correlation | JAG1 | TERF2IP
34187905 | Association | Neoplasms | SLX4IP
34187905 | Association | SLX4IP | TERF2IP
34187905 | Association | TERF2 | PIAS1
34187905 | Bind | TERF2IP | TERF2
34229656 | Association | Xbp1 | Nr0b2
34229656 | Association | Pias1 | Lrrk2
34229656 | Association | Parkinson Disease | Nr0b2
34229656 | Association | Parkinson Disease | p.G2019S
34229656 | Positive_Correlation | Lymphoma Non-Hodgkin | p.G2019S
34229656 | Association | Xbp1 | Lrrk2
34229656 | Association | Parkinson Disease | Lrrk2
34229656 | Association | Xbp1 | Pias1
34229656 | Negative_Correlation | Nr0b2 | Pias1
34229656 | Association | Lymphoma Non-Hodgkin | Lrrk2
34229656 | Positive_Correlation | Nr0b2 | Lrrk2
34229656 | Association | Eif2ak3 | Lrrk2
34229656 | Association | Parkinson Disease | LRRK2
34229656 | Association | Lymphoma Non-Hodgkin | LRRK2
34267330 | Negative_Correlation | Lats1 | Ube2i
34267330 | Association | Ovarian Neoplasms | p.K829R
34267330 | Association | Ovarian Neoplasms | #9113#
34267330 | Positive_Correlation | Endocrine System Diseases | p.K829R
34267330 | Association | Prostatic Neoplasms | #9113#
34267330 | Association | Endocrine System Diseases | #9113#
34267330 | Association | Prostatic Neoplasms | LATS1
34267330 | Association | Prostatic Neoplasms | p.K829R
34267330 | Association | Endocrine System Diseases | Lats1
34267330 | Association | Prostatic Neoplasms | p.K830R
34267330 | Association | Ovarian Neoplasms | Lats1
34267330 | Association | MOB1A | LATS1
34267330 | Association | Prostatic Neoplasms | Lats1
34267330 | Association | Ovarian Neoplasms | LATS1
34267330 | Association | Endocrine System Diseases | LATS1
34488445 | Association | Ifng | Stat1
34857740 | Negative_Correlation | Diabetes Mellitus | Pias1
34857740 | Association | Peripheral Nervous System Diseases | Stat3
34857740 | Association | Peripheral Nervous System Diseases | Ezh2
34857740 | Positive_Correlation | Ezh2 | Pias1
34857740 | Negative_Correlation | Peripheral Nervous System Diseases | Pias1
34857740 | Association | Peripheral Nervous System Diseases | Pparg
34857740 | Positive_Correlation | Pparg | Pias1
34857740 | Association | Stat3 | Pias1
34943240 | Association | Demyelinating Autoimmune Diseases CNS | IFI35
34943240 | Positive_Correlation | Lupus Nephritis | IFI35
34943240 | Association | BATF | IFI35
34943240 | Association | Multiple Sclerosis | IFI35
34943240 | Association | IFI35 | NMI
34943240 | Association | Chronic Disease | IFI35
34943240 | Positive_Correlation | Inflammation | IFI35
34943240 | Association | Multiple Sclerosis | IFNA1
34943240 | Positive_Correlation | Arthritis Rheumatoid | IFI35
34943240 | Association | Sepsis | IFI35
34943240 | Association | IFI35 | IFNA1
34951052 | Negative_Correlation | Disease | p.S510G
34951052 | Negative_Correlation | Huntington Disease | p.S510G
34951052 | Positive_Correlation | polyglutamine | Genetic Diseases Inborn
34951052 | Association | HTT | PIAS1
34951052 | Association | Disease | PIAS1
34951052 | Association | Huntington Disease | PIAS1
34951052 | Association | Huntington Disease | HTT
34971590 | Negative_Correlation | 1 4-BDPOB | Lipids
34971590 | Positive_Correlation | 1 4-BDPOB | Triglycerides
34971590 | Positive_Correlation | 1 4-BDPOB | Hypertrophy
34971590 | Association | 1 4-BDPOB | Nr1i3
34971590 | Association | Lipids | Nr1i3
34971590 | Association | Glucose | Nr1i3
34971590 | Negative_Correlation | Triglycerides | Nr1i3
35050146 | Negative_Correlation | Methotrexate | Arthritis
35050146 | Association | Methotrexate | Quinolones
35050146 | Association | 3-methyl-2-(methylamino)pentanoic acid | Methotrexate
35050146 | Negative_Correlation | 5-methyltetrahydrofolate | Methotrexate
35190527 | Association | Cd44 | Dvl1
35190527 | Association | Inflammation | Cd44
35190527 | Association | Axin1 | Cd44
35377920 | Positive_Correlation | Influenza Human | Pias1
35377920 | Association | PBRM1 | PIAS1
35460552 | Association | Acute Lung Injury | Nrip1
35460552 | Association | Inflammation | Nrip1
35460552 | Association | Lung Injury | Nrip1
35460552 | Positive_Correlation | Ube2i | Nrip1
35460552 | Association | Lung Injury | Pias1
35460552 | Positive_Correlation | Nrip1 | Pias1
35881160 | Association | Liver Neoplasms | NR1I3
35881160 | Positive_Correlation | Phenobarbital | NR1I3
35950162 | Positive_Correlation | Cholesterol | Sciatic Neuropathy
35950162 | Association | Cholesterol | Jensen syndrome
36092961 | Positive_Correlation | Nfatc1 | Pias1
36092961 | Negative_Correlation | Hdac1 | Pias1
36092961 | Association | Reperfusion Injury | Nfatc1
36092961 | Association | Reperfusion Injury | Hdac1
