2896072 | Association | THY1 | CD8B
38237887 | Association | YAP1 | ZEB1
38237887 | Positive_Correlation | Verteporfin | YAP1
38237887 | Association | CCR5 | CD8A
38237887 | Association | YAP1 | CTNNB1
38237887 | Association | YAP1 | ZEB2
38237887 | Bind | CCR5 | CCL5
38237887 | Negative_Correlation | Verteporfin | CCR5
38237887 | Negative_Correlation | Verteporfin | Triple Negative Breast Neoplasms
38237887 | Association | Neoplasm Metastasis | YAP1
38237887 | Negative_Correlation | Maraviroc | CCR5
38237887 | Association | CCR5 | ZEB2
38237887 | Association | Neoplasms | CCR5
38237887 | Association | Neoplasm Metastasis | ZEB1
38237887 | Positive_Correlation | YAP1 | CCR5
38329228 | Association | Infections | CCR5
38329228 | Association | HIV Infections | CCR5
38329228 | Association | CCR5 | CD4
38335302 | Negative_Correlation | CXCR4 | CD8A
38335302 | Association | Neoplasms | CD8A
38335302 | Negative_Correlation | CXCR3 | CD8A
38335302 | Association | Neoplasms | ITGAE
38335302 | Positive_Correlation | PDCD1 | CD8A
38335302 | Positive_Correlation | CXCR6 | CD8A
38335302 | Association | Pancreatic Neoplasms | ITGAE
38335302 | Positive_Correlation | CCR5 | CD8A
38335302 | Association | Pancreatic Neoplasms | ENTPD1
38335302 | Association | Neoplasms | ENTPD1
38335302 | Association | Pancreatic Neoplasms | CD8A
38335302 | Association | CD8A | ENTPD1
38335302 | Positive_Correlation | HAVCR2 | CD8A
38395454 | Association | Inflammation | CX3CR1
38395454 | Association | Spondylitis Ankylosing | CD8A
38395454 | Positive_Correlation | CCR5 | CD8A
38395454 | Positive_Correlation | CCR4 | CX3CR1
38395454 | Association | Inflammation | SELL
38395454 | Positive_Correlation | CCR1 | CD8A
38395454 | Positive_Correlation | CCR4 | SELL
38395454 | Association | Inflammation | CCR1
38395454 | Positive_Correlation | SELL | CD8A
38395454 | Positive_Correlation | CCR1 | CCR4
38395454 | Association | CCR4 | GZMB
38395454 | Association | Inflammation | CCR5
38395454 | Positive_Correlation | CX3CR1 | CD8A
38395454 | Association | GZMB | CD8A
38395454 | Positive_Correlation | CCR4 | CCR5
38486464 | Association | Obesity | Ccr5
38486464 | Negative_Correlation | recoflavone | Lipids
38486464 | Positive_Correlation | Triglycerides | Non-alcoholic Fatty Liver Disease
38486464 | Negative_Correlation | recoflavone | Obesity
38486464 | Negative_Correlation | eupatilin | Inflammatory Bowel Diseases
38486464 | Negative_Correlation | recoflavone | Inflammatory Bowel Diseases
38486464 | Negative_Correlation | recoflavone | Inflammation
38486464 | Negative_Correlation | recoflavone | Triglycerides
38486464 | Negative_Correlation | recoflavone | Ccr4
38486464 | Negative_Correlation | recoflavone | Fatty Liver
38486464 | Negative_Correlation | recoflavone | Ccr2
38486464 | Association | Inflammation | Ccr5
38486464 | Negative_Correlation | recoflavone | Ccr5
38566201 | Association | Esophageal Squamous Cell Carcinoma | TNFRSF4
38566201 | Association | Neoplasms | IFNG
38566201 | Association | Neoplasms | PVR
38566201 | Association | Neoplasms | TNFSF4
38566201 | Association | Neoplasms | HAVCR2
38566201 | Association | Neoplasms | TIGIT
38566201 | Association | Esophageal Squamous Cell Carcinoma | LGALS9
38566201 | Association | IFNG | CD8A
38566201 | Association | CTLA4 | CD86
38566201 | Association | Esophageal Squamous Cell Carcinoma | HAVCR2
38566201 | Bind | CCR5 | CCL5
38566201 | Association | Neoplasms | LGALS9
38566201 | Association | Neoplasms | TNFRSF4
38566201 | Association | TNFSF4 | TNFRSF4
38566201 | Association | Esophageal Squamous Cell Carcinoma | TNFSF4
38566201 | Association | Neoplasms | CTLA4
38590799 | Association | Glioma | Pdcd1
38590799 | Positive_Correlation | Ccr5 | PDCD1
38590799 | Positive_Correlation | Ccr5 | Pdcd1
38590799 | Association | Glioma | Ccr2
38590799 | Positive_Correlation | Ccr2 | PDCD1
38590799 | Association | Glioma | Ccr5
38590799 | Association | Neoplasms | CD8A
38590799 | Positive_Correlation | Ccr2 | Pdcd1
38607373 | Association | Lung Diseases Interstitial | CCR5
38607373 | Association | Lung Diseases Interstitial | FCRL5
38607373 | Association | Lung Diseases Interstitial | TIGIT
38607373 | Association | Lung Diseases Interstitial | HAVCR2
38607373 | Association | Lung Diseases Interstitial | CD14
38607373 | Association | Pneumonia Pneumocystis | FCGR3A
38607373 | Association | Lung Diseases Interstitial | CCR2
38607373 | Positive_Correlation | Lung Diseases Interstitial | B3GAT1
38607373 | Association | Lung Diseases Interstitial | LAG3
38607373 | Positive_Correlation | Lung Diseases Interstitial | CD8A
38617217 | Association | Lung Diseases | CCR5
38617217 | Association | Lung Diseases | CD8A
38617217 | Association | Lung Diseases | FAS
38617217 | Association | Lung Diseases | CXCL13
1901403 | Association | cefpodoxime | Pneumonia
1901403 | Negative_Correlation | Cefaclor | Sepsis
1901403 | Negative_Correlation | cefpodoxime proxetil | Pneumonia
1901403 | Negative_Correlation | Cefaclor | Staphylococcal Infections
1901403 | Negative_Correlation | cefpodoxime proxetil | Sepsis
1901403 | Comparison | cefpodoxime proxetil | Cefaclor
1901403 | Negative_Correlation | cefpodoxime | Ring Chromosome 20 Syndrome
1970799 | Association | POLA1 | ZFX
3036833 | Association | Hsp90b1 | HSP82
3928497 | Comparison | cefpirome | Moxalactam
7757987 | Association | Doxorubicin | Neoplasms
7868393 | Association | catechol | Cephalosporins
8843288 | Comparison | LB 10522 | Ceftazidime
8843288 | Negative_Correlation | LB 10522 | Infections
8843288 | Negative_Correlation | Ceftazidime | Infections
8858110 | Association | Phosphates | Glycyrrhizic Acid
8858110 | Positive_Correlation | Glycyrrhizic Acid | Ifit1
8858110 | Association | Glycyrrhizic Acid | Hsp90b1
8858110 | Positive_Correlation | Glycyrrhizic Acid | PPP1R10
8858110 | Association | Glycyrrhizic Acid | NR3C1
8858110 | Association | Phosphates | Calr
8858110 | Association | Phosphates | Hsp90b1
12022883 | Association | Trichloroacetic Acid | Kidney Diseases
12022883 | Association | Drug-Related Side Effects and Adverse Reactions | OGDH
12709336 | Cotreatment | (1'R 5R 6R)-3-(4-amino-1 1-dimethyl-butyl)-6-(1'-hydroxyethyl)oxapenem-3-carboxylate | Cefoperazone
12709336 | Cotreatment | (1'R 5R 6R)-3-(4-amino-1 1-dimethyl-butyl)-6-(1'-hydroxyethyl)oxapenem-3-carboxylate | Ceftazidime
12709336 | Negative_Correlation | (1'R 5R 6R)-3-(4-amino-1 1-dimethyl-butyl)-6-(1'-hydroxyethyl)oxapenem-3-carboxylate | ampC
12709336 | Cotreatment | (1'R 5R 6R)-3-(4-amino-1 1-dimethyl-butyl)-6-(1'-hydroxyethyl)oxapenem-3-carboxylate | Ceftriaxone
12709336 | Cotreatment | (1'R 5R 6R)-3-(4-amino-1 1-dimethyl-butyl)-6-(1'-hydroxyethyl)oxapenem-3-carboxylate | Cefepime
12709336 | Negative_Correlation | Ceftazidime | ampC
15501817 | Association | Ppp1cc | SDS22
15501817 | Association | Ppp1r8 | Ppp1cc
15894402 | Association | Alzheimer Disease | PPP1R10
15894402 | Association | HLA-C | PPP1R10
15894402 | Negative_Correlation | Ppp1r10 | PPA1
15894402 | Association | Alzheimer Disease | Ppp1r10
15894402 | Association | Diffuse Neurofibrillary Tangles with Calcification | Ppp1r10
18325784 | Association | PPP1R10 | NPY4R
18325784 | Association | GABRR1 | PPP1R10
18325784 | Association | GABRR1 | NPY4R
19284475 | Association | Inflammation | BDNF
19284475 | Association | Death | BDNF
20372802 | Negative_Correlation | Roscovitine | Breast Neoplasms
20372802 | Association | Neoplasms | PPP1R10
20372802 | Association | E2F1 | PPA1
20372802 | Association | Roscovitine | PPP1R10
20372802 | Association | E2F1 | PPP1R10
20372802 | Positive_Correlation | PPA1 | RB1
20372802 | Association | PPA1 | PPP1R10
20372802 | Association | Neoplasms | PPA1
23426265 | Association | Conversion Disorder | PPP1R10
23426265 | Association | Fibrosis | MIR34A
23426265 | Association | MIR34A | PPP1R10
23426265 | Association | Myocardial Infarction | PPP1R10
23426265 | Positive_Correlation | Death | MIR34A
23426265 | Association | Conversion Disorder | MIR34A
23426265 | Association | Myocardial Infarction | MIR34A
24078448 | Negative_Correlation | Adenocarcinoma | MIR34A
24078448 | Association | Gallbladder Neoplasms | PROM1
24078448 | Negative_Correlation | Neoplasms | MIR34A
24078448 | Association | Gallbladder Neoplasms | MIR34A
24078448 | Negative_Correlation | MIR34A | PPP1R10
25416949 | Negative_Correlation | Ep300 | Snip1
25416949 | Bind | Ppp1r10 | Snip1
25416949 | Negative_Correlation | locked nucleic acid | Breast Neoplasms
27006394 | Association | Lipids | Cd1d1
27006394 | Association | Lipopeptides | Cd1d1
27006394 | Association | Glycolipids | Cd1d1
27030405 | Association | HLA-C | KIR2DL3
27030405 | Bind | HLA-C | KIR2DL2
28825698 | Association | Breast Neoplasms | PPP1R10
28825698 | Association | PPP1R10 | TGFB1
28825698 | Association | PCBP1 | PPP1R10
28825698 | Association | MIR205 | PPP1R10
28825698 | Association | PCBP1 | TGFB1
28825698 | Association | Neoplasms | PPP1R10
28837860 | Association | Hearing Loss | Ppp1cc
28837860 | Association | Osteoporosis | Ppp1cc
28837860 | Association | Hearing Loss | Ppp1r10
28837860 | Positive_Correlation | Galactose | Hearing Loss
28939855 | Association | Diabetes Mellitus | HSPD1
30541148 | Association | ATR | CDC73
30541148 | Association | PPP1R10 | CDC73
30541148 | Association | RNASEH1 | PPP1R10
31217245 | Association | HLA-C | CD8A
31217245 | Association | HIV Infections | HLA-C
31217245 | Association | HIV Infections | CD8A
31385396 | Association | Ly6a | Pecam1
31385396 | Negative_Correlation | Ly6a | Cdkn1b
31385396 | Association | Ly6a | Terf2
31385396 | Association | Ly6a | Sirt1
31385396 | Association | Ly6a | Akt1
31385396 | Negative_Correlation | Ly6a | Cdkn2a
31385396 | Association | Ly6a | Sirt2
31385396 | Association | Ly6a | Cdk2
31385396 | Association | Ly6a | Ppp1r10
31385396 | Association | Ly6a | Cbx8
31385396 | Association | Ly6a | Sirt6
31385396 | Association | Ly6a | Cxcl12
31385396 | Association | Ly6a | Foxo3
31385396 | Association | Ly6a | Cxcr4
31385396 | Association | Ly6a | Prkdc
31385396 | Association | Ly6a | Bmi1
31385396 | Association | Ly6a | Cdk4
31385396 | Association | Cxcr4 | Cxcl12
31961065 | Association | Phosphatidylinositols | Osteoarthritis
31961065 | Association | Sphingolipids | Osteoarthritis
31961065 | Positive_Correlation | Lipopolysaccharides | Osteoarthritis
32006464 | Association | MYC | NUAK1
32006464 | Association | PPA1 | NUAK1
32006464 | Association | PPP1R10 | NUAK1
32006464 | Association | PPA1 | PPP1R10
32129705 | Association | Influenza Human | Rag1
32219494 | Bind | HLA-A | KIR2DL4
32219494 | Association | HLA-E | KLRC1
33115945 | Association | Heart Diseases | Pdcd1
33115945 | Negative_Correlation | Cardiovascular Diseases | Pdcd1
33115945 | Association | Heart Diseases | PDCD1
34016721 | Association | Neoplasms | KIR2DS2
34686187 | Association | Ovarian Neoplasms | HLA-C
34686187 | Association | Ovarian Neoplasms | CD274
34686187 | Negative_Correlation | Cisplatin | Neoplasms
34686187 | Negative_Correlation | Cisplatin | Ovarian Neoplasms
34785597 | Association | Fetal Growth Retardation | Ifnar1
35906236 | Association | Fetal Growth Retardation | KIR2DL4
18397267 | Positive_Correlation | C1QBP | CD69
19099086 | Association | Diabetes Mellitus Type 1 | Fasl
19099086 | Association | Diabetes Mellitus | Fasl
19099086 | Negative_Correlation | Hypersensitivity Delayed | Fasl
19099086 | Positive_Correlation | Fasl | Ifng
19429178 | Negative_Correlation | Neurodegenerative Diseases | p.C282Y
19429178 | Negative_Correlation | Alzheimer Disease | p.C282Y
19429178 | Association | Neurodegenerative Diseases | HFE
19429178 | Association | Alzheimer Disease | PPP1R10
19429178 | Association | Alzheimer Disease | HFE
21937852 | Association | Fatty Acids | Lipids
22006066 | Association | Musculoskeletal Diseases | MRAP
22006066 | Association | Musculoskeletal Diseases | HLA-B
22006066 | Association | Arthritis Psoriatic | HLA-C
22006066 | Association | Arthritis Psoriatic | HLA-A
22006066 | Positive_Correlation | Arthritis Psoriatic | MRAP
22006066 | Association | Psoriasis | HLA-C
22006066 | Association | Psoriasis | HLA-A
22006066 | Association | Skin Diseases | HLA-C
23406874 | Positive_Correlation | Multiple Sclerosis | rs2069502
23406874 | Association | Multiple Sclerosis | CDK4
25224099 | Positive_Correlation | Drug Hypersensitivity | rs7192
25224099 | Association | Penicillins | rs8084
25224099 | Association | Amoxicillin | ZNF300
25224099 | Association | Penicillins | rs7192
25224099 | Association | Penicillins | HLA-DRA
25224099 | Association | Amoxicillin | rs8084
25224099 | Association | Meningitis Pneumococcal | HLA-DRA
25224099 | Association | Amoxicillin | rs7192
25224099 | Positive_Correlation | Penicillins | Drug Hypersensitivity
25224099 | Positive_Correlation | Drug Hypersensitivity | rs8084
25224099 | Positive_Correlation | Amoxicillin | Drug Hypersensitivity
25224099 | Positive_Correlation | beta-Lactams | Anaphylaxis
25224099 | Association | Penicillins | ZNF300
25224099 | Association | Amoxicillin | HLA-DRA
25224099 | Association | Drug Hypersensitivity | HLA-DRA
36319065 | Association | Leukemia Myeloid Acute | HLA-A
36319065 | Association | Leukemia Myeloid Acute | KIR2DL4
36319065 | Association | Neoplasms | HLA-C
36319065 | Association | Space Motion Sickness | KIR2DL4
36319065 | Association | Neoplasms | KIR2DL4
36319065 | Association | Leukemia Myeloid Acute | KLRC2
36319065 | Association | HLA-A | KIR2DL4
36319065 | Association | KIR2DL4 | KLRC2
36319065 | Association | Space Motion Sickness | IL15
38331062 | Association | Neoplasms | S
