37537117 | Positive_Correlation | Sevoflurane | p.S262S
22059948 | Positive_Correlation | pyrrolidine | Precancerous Conditions
22059948 | Positive_Correlation | N-Nitrosopyrrolidine | Precancerous Conditions
22059948 | Positive_Correlation | pyrrolidine | N-Nitrosopyrrolidine
22963768 | Association | Pancreatic Neoplasms | Cxcr4
22963768 | Association | Pancreatic Neoplasms | Cd44
22963768 | Association | Pancreatic Neoplasms | Cd24a
22963768 | Association | Pancreatic Neoplasms | Epcam
24403451 | Negative_Correlation | Cyclophosphamide | Adrenocortical Carcinoma
24403451 | Association | Neoplasms | CXCR4
24403451 | Negative_Correlation | Cyclophosphamide | Neoplasms
24403451 | Association | Neoplasms | ABCG2
24403451 | Positive_Correlation | Cyclophosphamide | ABCG2
24403451 | Positive_Correlation | Cyclophosphamide | CXCR4
24628854 | Association | Uterine Cervicitis | ID1
24628854 | Association | Uterine Cervical Neoplasms | ID1
24628854 | Positive_Correlation | N-Nitrosopyrrolidine | ID1
24628854 | Association | Carcinogenesis | ID1
24628854 | Association | N-Nitrosopyrrolidine | Uterine Cervicitis
24628854 | Negative_Correlation | Neoplasms | RB1
24628854 | Negative_Correlation | Neoplasms | TP53
24762436 | Positive_Correlation | Valproic Acid | Thy1
24762436 | Positive_Correlation | Cd34 | Cxcr4
24762436 | Positive_Correlation | Cd34 | Itga6
24762436 | Positive_Correlation | Valproic Acid | Kit
24762436 | Positive_Correlation | Valproic Acid | Itga6
24762436 | Positive_Correlation | Valproic Acid | Cd34
24762436 | Positive_Correlation | Valproic Acid | Cxcr4
24762436 | Positive_Correlation | Cd34 | Kit
26065307 | Positive_Correlation | N-Nitrosopyrrolidine | Inflammation
26065307 | Positive_Correlation | N-Nitrosopyrrolidine | Hypertrophy
26409626 | Association | Methamphetamine | Npy1r
26409626 | Positive_Correlation | Methamphetamine | Neurotoxicity Syndromes
26409626 | Positive_Correlation | Methamphetamine | Vcam1
26409626 | Positive_Correlation | Lipopolysaccharides | Tnf
26409626 | Association | Inflammation | Icam1
26409626 | Association | Inflammation | Tnf
26409626 | Association | Lipopolysaccharides | Methamphetamine
26409626 | Positive_Correlation | Lipopolysaccharides | Crp
26409626 | Positive_Correlation | Methamphetamine | Plague
26409626 | Positive_Correlation | Methamphetamine | Npy5r
26409626 | Positive_Correlation | Methamphetamine | Reactive Oxygen Species
26409626 | Positive_Correlation | Methamphetamine | Atherosclerosis
26409626 | Association | Inflammation | Vcam1
26409626 | Positive_Correlation | Methamphetamine | Crp
26409626 | Positive_Correlation | Npy1r | Tnf
26409626 | Positive_Correlation | Methamphetamine | Npy2r
26409626 | Positive_Correlation | Lipopolysaccharides | Reactive Oxygen Species
26409626 | Positive_Correlation | Methamphetamine | Icam1
26409626 | Positive_Correlation | Methamphetamine | Tnf
26409626 | Positive_Correlation | Methamphetamine | Inflammation
26439684 | Association | Carcinoma Renal Cell | CXCR4
26439684 | Association | Neoplasms | CXCR4
26439684 | Positive_Correlation | EPAS1 | CXCR4
26439684 | Positive_Correlation | Hypoxia | EPAS1
26439684 | Association | Neoplasms | EPAS1
26439684 | Association | Carcinoma Renal Cell | EPAS1
26876314 | Association | Kdr | Kit
26876314 | Positive_Correlation | Streptozocin | Diabetes Mellitus
26876314 | Positive_Correlation | Diabetes Mellitus | Kit
26876314 | Negative_Correlation | Hyperglycemia | Kit
27465830 | Positive_Correlation | Gcg | INS
27465830 | Positive_Correlation | Hydrocortisone | Insulin Resistance
27465830 | Association | Hydrocortisone | Gcg
27465830 | Association | Insulin Resistance | Pyy
27465830 | Negative_Correlation | Alanine | Pyy
27465830 | Negative_Correlation | Pyy | INS
27465830 | Positive_Correlation | Glucose | INS
27465830 | Negative_Correlation | Gcg | Pyy
27465830 | Association | Streptozocin | Sst
27465830 | Positive_Correlation | Alanine | INS
27465830 | Positive_Correlation | Streptozocin | Drug-Related Side Effects and Adverse Reactions
27465830 | Negative_Correlation | Glucose | Pyy
27465830 | Association | Diabetes Mellitus | Pyy
27485481 | Negative_Correlation | Fluorine-18 | Glioma
27485481 | Association | Glioma | Cxcr4
27485481 | Negative_Correlation | Fluorine-18 | Cxcr4
27692806 | Association | Vascular System Injuries | ROBO1
27692806 | Positive_Correlation | Hydrogen Peroxide | Vascular System Injuries
28069397 | Negative_Correlation | Alanine | PPY
28069397 | Positive_Correlation | Hydrocortisone | Npy
28069397 | Positive_Correlation | Streptozocin | Npy
28069397 | Positive_Correlation | Glucose | INS
28069397 | Association | Diabetes Mellitus | Npy
28069397 | Positive_Correlation | Streptozocin | DNA Virus Infections
28069397 | Negative_Correlation | DNA Virus Infections | Npy
28069397 | Association | Diabetes Mellitus | Ppa1
28069397 | Association | Streptozocin | Sst
28069397 | Positive_Correlation | Streptozocin | Ppa1
28892258 | Association | Sitagliptin Phosphate | PYY
28892258 | Association | DPP4 | PYY
28892258 | Association | DPP4 | INS
28892258 | Association | Glucose | DPP4
28892258 | Negative_Correlation | Sitagliptin Phosphate | DPP4
28892258 | Association | INS | PYY
28892258 | Positive_Correlation | Glucose | INS
28892258 | Association | Sitagliptin Phosphate | INS
29381243 | Bind | Npy | Npy1r
29772458 | Association | IL1RAP | CD38
29772458 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | BCR
29772458 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | IL2RA
29772458 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | IL1RAP
29772458 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | DPP4
29772458 | Association | Leukemia | CD38
29772458 | Association | Leukemia | CD33
29772458 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | CD34
29772458 | Association | IL1RAP | CD34
29973594 | Association | Lipids | CXCR4
29973594 | Association | Triple Negative Breast Neoplasms | CXCR4
29973594 | Association | Neoplasms | CXCR4
30105036 | Positive_Correlation | Lipids | Obesity
30105036 | Positive_Correlation | Inflammation | Ptx3
30105036 | Negative_Correlation | Acetylcysteine | Reactive Oxygen Species
30105036 | Association | Obesity | PTX3
30105036 | Association | Obesity | Npy1r
30105036 | Association | Lipids | Npy
30105036 | Positive_Correlation | Lipids | PTX3
30105036 | Association | Lipids | Npy1r
30105036 | Positive_Correlation | Npy1r | Ptx3
30105036 | Association | Obesity | Ptx3
30105036 | Positive_Correlation | Npy | Ptx3
30105036 | Association | Obesity | Npy
30105036 | Association | Npy1r | PTX3
30105036 | Positive_Correlation | Reactive Oxygen Species | Npy
30105036 | Association | Reactive Oxygen Species | PTX3
30105036 | Association | Npy | PTX3
30105036 | Association | Inflammation | PTX3
30105036 | Positive_Correlation | Lipids | Ptx3
30783845 | Positive_Correlation | Cyclophosphamide | Hereditary renal agenesis
32395369 | Negative_Correlation | reblastatin | CCL4
32395369 | Negative_Correlation | reblastatin | CCL3
32395369 | Negative_Correlation | reblastatin | CD14
32395369 | Negative_Correlation | reblastatin | CCL2
32395369 | Negative_Correlation | reblastatin | CXCL11
32395369 | Negative_Correlation | 18-dehydroxyl-17-demethoxyreblastatin | CCL4
32395369 | Negative_Correlation | reblastatin | CCR5
32395369 | Negative_Correlation | reblastatin | Lipopolysaccharides
32395369 | Negative_Correlation | 18-dehydroxyl-17-demethoxyreblastatin | CCL3
32395369 | Negative_Correlation | reblastatin | CXCL10
32395369 | Association | 27-hydroxycholesterol | reblastatin
32395369 | Negative_Correlation | 18-dehydroxyl-17-demethoxyreblastatin | CCL2
32395369 | Negative_Correlation | reblastatin | TNF
32395369 | Negative_Correlation | 18-dehydroxyl-17-demethoxyreblastatin | reblastatin
32582696 | Association | Bronchiolitis Obliterans Syndrome | Par2
32582696 | Association | Par2 | Ccl5
32582696 | Association | Bronchiolitis Obliterans Syndrome | CTSS
32582696 | Association | Par2 | Ccr5
32582696 | Association | Kidney Cortex Necrosis | Ctss
32582696 | Association | Arteritis | Par2
32582696 | Association | Bronchiolitis Obliterans Syndrome | F2rl1
32582696 | Positive_Correlation | Par2 | CTSS
32582696 | Association | 614878 | Par2
32582696 | Positive_Correlation | CTSS | CD4
32582696 | Association | 614878 | CTSS
32582696 | Association | Kidney Cortex Necrosis | Par2
32582696 | Association | Par2 | Tnf
32582696 | Association | Par2 | Fasl
32582696 | Association | Arteritis | Ctss
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Hyperlipidemias
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Acta2
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Ccr5
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Tagln
32727125 | Negative_Correlation | Hyperlipidemias | Tagln
32727125 | Negative_Correlation | Hyperlipidemias | Acta2
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Ccl5
32727125 | Positive_Correlation | Hyperlipidemias | Ccr5
32727125 | Negative_Correlation | pyrogallol-phloroglucinol-6 6-bieckol | Myh11
32727125 | Negative_Correlation | Hyperlipidemias | Myh11
32727125 | Positive_Correlation | Hyperlipidemias | Ccl5
32880687 | Association | Diabetes Mellitus | IL17A
32880687 | Association | Diabetes Mellitus Type 1 | CD8A
32880687 | Association | Diabetes Mellitus Type 1 | IL17A
32880687 | Association | Diabetes Mellitus Type 1 | IFNG
32880687 | Association | Diabetes Mellitus Type 1 | CD27
32880687 | Association | Riboflavin | MR1
32880687 | Negative_Correlation | Diabetes Mellitus Type 1 | CCR5
33116147 | Association | Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency | CCR5
33116147 | Association | HIV Infections | CCR5
34081629 | Association | Kidney Diseases | Mpo
34081629 | Association | Bronchiolitis Obliterans Syndrome | Mpo
34081629 | Association | Acute Disease | Mpo
34081629 | Positive_Correlation | Lamp1 | Mpo
35101171 | Association | HIV Infections | CCR5
35140134 | Association | Riboflavin | Lymphoma B-Cell Marginal Zone
35140134 | Association | Riboflavin | MR1
35140134 | Negative_Correlation | Maraviroc | CCR5
35755031 | Association | Sjogren's Syndrome | ICOS
35755031 | Negative_Correlation | Sjogren's Syndrome | CCR9
35755031 | Association | Lupus Erythematosus Systemic | CD4
35755031 | Association | Sjogren's Syndrome | CCR2
35755031 | Association | Sjogren's Syndrome | IL21
35755031 | Association | Arthritis Rheumatoid | CXCR5
35755031 | Association | Sjogren's Syndrome | CCR5
35755031 | Association | Lupus Erythematosus Systemic | CXCR5
35755031 | Association | Sjogren's Syndrome | CXCR5
35755031 | Association | Arthritis Rheumatoid | CD4
35853970 | Negative_Correlation | Tacrolimus | Graft vs Host Disease
35853970 | Association | Simian Acquired Immunodeficiency Syndrome | HLA-C
35853970 | Negative_Correlation | Cyclophosphamide | Graft vs Host Disease
37006246 | Association | Infections | PDCD1
38599607 | Negative_Correlation | bardoxolone methyl | Ccl4
38599607 | Negative_Correlation | bardoxolone methyl | Inflammation
38599607 | Negative_Correlation | bardoxolone methyl | Ccl3
38599607 | Positive_Correlation | bardoxolone methyl | Nfe2l2
38599607 | Negative_Correlation | bardoxolone methyl | Fatty Liver
38599607 | Negative_Correlation | bardoxolone methyl | Ccr5
38599607 | Negative_Correlation | bardoxolone methyl | Ccr1
38599607 | Association | Inflammation | Nfkb1
38599607 | Association | Fatty Liver | Ccr5
38599607 | Association | Fatty Liver | Ccl4
38599607 | Negative_Correlation | bardoxolone methyl | Chronic Disease
38612597 | Negative_Correlation | SB328437 | Pain
38612597 | Association | Peripheral Nervous System Diseases | CCL11
38612597 | Negative_Correlation | AZD 5672 | Peripheral Nervous System Diseases
38612597 | Association | Lead Poisoning Nervous System | CCR5
38612597 | Association | Peripheral Nervous System Diseases | CCL3
38612597 | Negative_Correlation | UCB 35625 | Inflammation
38612597 | Positive_Correlation | Peripheral Nervous System Diseases | CCL22
38612597 | Negative_Correlation | RS 504393 | CCR2
38612597 | Negative_Correlation | Maraviroc | Peripheral Nervous System Diseases
38612597 | Association | Peripheral Nervous System Diseases | CCL8
38612597 | Association | Peripheral Nervous System Diseases | CCR2
38612597 | Negative_Correlation | RS 504393 | Peripheral Nervous System Diseases
38612597 | Negative_Correlation | UCB 35625 | Peripheral Nervous System Diseases
38612597 | Positive_Correlation | Peripheral Nervous System Diseases | CCL17
38612597 | Association | Peripheral Nervous System Diseases | CCR5
38612597 | Negative_Correlation | INCB3344 | Lead Poisoning Nervous System
38612597 | Association | Lead Poisoning Nervous System | CCR1
38612597 | Negative_Correlation | UCB 35625 | CCR1
38612597 | Negative_Correlation | AZ 889 | Peripheral Nervous System Diseases
38612597 | Negative_Correlation | AZD 5672 | Lead Poisoning Nervous System
38612597 | Association | Peripheral Nervous System Diseases | CCR1
38612597 | Negative_Correlation | AZD 5672 | CCR5
38612597 | Association | Lead Poisoning Nervous System | CCR4
38612597 | Association | Peripheral Nervous System Diseases | CCL4
38612597 | Negative_Correlation | AZ 889 | Lead Poisoning Nervous System
38612597 | Association | Peripheral Nervous System Diseases | CCL7
38612597 | Negative_Correlation | AZ 889 | CCR2
38612597 | Association | Peripheral Nervous System Diseases | CCL2
38612597 | Negative_Correlation | UCB 35625 | Lead Poisoning Nervous System
38612597 | Negative_Correlation | SB328437 | CCR3
38612597 | Association | Peripheral Nervous System Diseases | CCR4
38612597 | Negative_Correlation | INCB3344 | CCR2
38612597 | Negative_Correlation | SB328437 | Lead Poisoning Nervous System
38612597 | Positive_Correlation | Peripheral Nervous System Diseases | CCL19
38612597 | Association | Peripheral Nervous System Diseases | CCR3
38612597 | Negative_Correlation | AZD 5672 | Pain
38612597 | Negative_Correlation | TAK-220 | Peripheral Nervous System Diseases
38612597 | Negative_Correlation | Maraviroc | Lead Poisoning Nervous System
38612597 | Negative_Correlation | cenicriviroc | Inflammation
38612597 | Negative_Correlation | TAK-220 | Lead Poisoning Nervous System
38612597 | Positive_Correlation | Peripheral Nervous System Diseases | CCL21
38612597 | Association | Peripheral Nervous System Diseases | CCL20
38612597 | Association | Peripheral Nervous System Diseases | CCL5
38612597 | Negative_Correlation | SB328437 | Peripheral Nervous System Diseases
38612597 | Negative_Correlation | RS 504393 | Lead Poisoning Nervous System
38612597 | Negative_Correlation | INCB3344 | Peripheral Nervous System Diseases
38612597 | Negative_Correlation | Maraviroc | CCR5
38612597 | Association | Peripheral Nervous System Diseases | CCL1
38612597 | Negative_Correlation | TAK-220 | CCR5
38615035 | Association | CCR5 | Snca
38615035 | Association | Cognition Disorders | CCR5
38615035 | Association | Cognition Disorders | SNCA
38615035 | Association | Lewy Body Disease | SNCA
38615035 | Association | Keratitis Dendritic | CCR5
38615035 | Association | Night blindness congenital stationary | SNCA
38615035 | Association | Synucleinopathies | Snca
38615035 | Association | Prnp | Snca
38615035 | Association | Lewy Body Disease | Snca
38615035 | Positive_Correlation | Keratitis Dendritic | Snca
38615035 | Association | Lewy Body Disease | CCR5
38615035 | Association | Retrograde Degeneration | Snca
38615035 | Association | Retrograde Degeneration | CCR5
7729921 | Association | Leishmaniasis Visceral | Ifng
10377412 | Association | Intestinal Polyps | Cdx2
10377412 | Association | Colonic Diseases | Cdx2
25339334 | Association | Graft vs Host Disease | Cxcr4
25339334 | Association | Weight Loss | Cxcr4
25339334 | Association | Inflammation | Tnf
25339334 | Association | Inflammation | Ifng
25339334 | Association | Inflammation | Il2
25339334 | Association | Diarrhea | Cxcr4
25814933 | Association | Inflammation | Il6
26209354 | Negative_Correlation | plerixafor | Cxcr4
26817997 | Positive_Correlation | Sepsis | Tgfb1
26817997 | Association | Melanoma Experimental | Cxcl12
26817997 | Association | Melanoma Experimental | Cxcr4
26817997 | Negative_Correlation | Sepsis | H2
26817997 | Association | Sepsis | Cxcr4
26817997 | Bind | Cxcr4 | Cxcl12
26817997 | Association | Neoplasms | Cxcl12
26817997 | Association | Neoplasms | Cxcr4
26817997 | Association | Sepsis | Cxcl12
26817997 | Positive_Correlation | Sepsis | Tnf
28351707 | Negative_Correlation | Maraviroc | CXCR4
28351707 | Negative_Correlation | Maraviroc | CCR5
28351707 | Negative_Correlation | plerixafor | Communicable Diseases
28351707 | Negative_Correlation | Maraviroc | Communicable Diseases
28351707 | Association | Communicable Diseases | CXCR4
28351707 | Negative_Correlation | plerixafor | CXCR4
28698642 | Negative_Correlation | Cd1d1 | Cxcr4
28698642 | Association | Cxcr4 | Trav6-3
28698642 | Bind | Cxcr4 | Cxcl12
29476963 | Association | Lipopolysaccharides | NFKBIA
29476963 | Association | Inflammation | MIF
29476963 | Association | Inflammation | CD74
29476963 | Positive_Correlation | Lipopolysaccharides | CD74
29476963 | Association | Cardiovascular Diseases | MIF
29476963 | Association | Cardiovascular Diseases | CD74
29476963 | Association | MIF | CXCR4
29476963 | Positive_Correlation | TNF | CD74
29476963 | Association | NFKB1 | CD74
29476963 | Association | Neoplasms | MIF
29476963 | Association | Lipopolysaccharides | MIF
29476963 | Association | NFKBIA | CD74
29476963 | Association | MIF | CD74
29508538 | Association | Neoplasms | VEGFA
29508538 | Negative_Correlation | Vincristine | CXCR4
29508538 | Association | Neoplasms | IFNG
29508538 | Association | Neoplasms | CXCR4
30203045 | Association | Neoplasm Metastasis | NT5E
30203045 | Association | Neoplasm Metastasis | CCL2
30203045 | Association | Neoplasm Metastasis | MYD88
30203045 | Negative_Correlation | Neoplasm Metastasis | CCL19
30203045 | Association | Neoplasm Metastasis | CD46
30203045 | Association | Neoplasm Metastasis | CCR2
30203045 | Negative_Correlation | Neoplasm Metastasis | IRF7
30203045 | Association | Neoplasm Metastasis | TLR5
30203045 | Association | Neoplasm Metastasis | CD55
30203045 | Association | Neoplasm Metastasis | TLR2
30203045 | Negative_Correlation | Neoplasm Metastasis | CD274
30203045 | Association | Neoplasm Metastasis | CD163
30203045 | Association | Neoplasm Metastasis | CXCR4
30203045 | Association | Neoplasm Metastasis | TLR4
30203045 | Negative_Correlation | Neoplasm Metastasis | CCR7
30203045 | Negative_Correlation | Breast Neoplasms | CD274
30203045 | Association | Neoplasm Metastasis | HLA-E
30203045 | Association | Neoplasm Metastasis | CD59
30203045 | Negative_Correlation | Neoplasm Metastasis | PDCD1
30203045 | Association | Neoplasm Metastasis | CD14
30203045 | Association | Neoplasm Metastasis | TLR1
30203045 | Negative_Correlation | Neoplasm Metastasis | IFI27
30203045 | Association | Neoplasm Metastasis | CSF1
30203045 | Negative_Correlation | Neoplasm Metastasis | IFI35
30203045 | Negative_Correlation | Neoplasm Metastasis | GNLY
30203045 | Negative_Correlation | Neoplasm Metastasis | CXCR3
30203045 | Negative_Correlation | Neoplasm Metastasis | CTLA4
30203045 | Negative_Correlation | Neoplasm Metastasis | IRF1
30203045 | Negative_Correlation | Neoplasm Metastasis | IRF4
30203045 | Negative_Correlation | Neoplasm Metastasis | CXCL9
30203045 | Negative_Correlation | Neoplasm Metastasis | IL15
30203045 | Association | Neoplasm Metastasis | CXCL12
30203045 | Association | Neoplasm Metastasis | TLR6
30203045 | Negative_Correlation | Neoplasm Metastasis | CD8A
31940843 | Positive_Correlation | Dinitrofluorobenzene | Dermatitis Contact
31940843 | Positive_Correlation | Cxcr4 | Cnr2
31940843 | Association | Skin Diseases | Cnr2
31940843 | Association | Inflammation | Cnr2
31940843 | Association | Inflammation | Cnr1
31940843 | Association | Dermatitis Contact | Cnr2
31940843 | Positive_Correlation | Ccr7 | Cnr2
32264938 | Association | Arthritis Rheumatoid | TNFSF11
32264938 | Association | IL2RA | CD4
32264938 | Association | Arthritis Rheumatoid | HLA-C
32264938 | Association | Arthritis Rheumatoid | IL21
32264938 | Association | Arthritis Rheumatoid | SELL
32264938 | Association | Arthritis Rheumatoid | CXCR4
32264938 | Association | Arthritis Rheumatoid | IL2RA
32264938 | Association | Arthritis Rheumatoid | TNF
32264938 | Association | IL6R | CD4
32264938 | Association | Arthritis Rheumatoid | CD4
32264938 | Association | Arthritis Rheumatoid | IL34
32518311 | Negative_Correlation | Sirolimus | Cd40lg
32518311 | Association | Hbegf | Foxp3
33085758 | Association | Leukemia Myeloid Acute | KIT
33085758 | Association | CD33 | CD34
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD33
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD52
33085758 | Association | Leukemia Myeloid Acute | CXCR4
33085758 | Association | CD96 | CD34
33085758 | Association | DPP4 | CD38
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | KIT
33085758 | Association | CLEC12A | CD38
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD47
33085758 | Association | CD93 | CD38
33085758 | Association | CD93 | CD34
33085758 | Association | Leukemia Myeloid Acute | CD44
33085758 | Association | Leukemia Myeloid Acute | CD38
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD34
33085758 | Association | Leukemia Myeloid Acute | CD96
33085758 | Association | Leukemia Myeloid Acute | CD33
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CSF3R
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD38
33085758 | Association | Leukemia Myeloid Acute | IL2RA
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CXCR4
33085758 | Association | Leukemia Myeloid Acute | CD47
33085758 | Association | Leukemia Myeloid Acute | CD34
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | FLT3
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD93
33085758 | Association | IL3RA | CD34
33085758 | Association | Leukemia Myeloid Acute | CLEC12A
33085758 | Association | Leukemia Myeloid Acute | FLT3
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | CD44
33085758 | Association | DPP4 | CD34
33085758 | Association | Leukemia Myeloid Acute | CD52
33085758 | Association | NCAM1 | CD34
33085758 | Association | Leukemia Myeloid Acute | PROM1
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | DPP4
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | NCAM1
33085758 | Association | CLEC12A | CD34
33085758 | Association | IL1RAP | CD38
33085758 | Association | IL1RAP | CD34
33085758 | Association | NCAM1 | CD38
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | IL1RAP
33085758 | Association | CD96 | CD38
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | PROM1
33085758 | Association | Leukemia Myelogenous Chronic BCR-ABL Positive | IL2RA
33085758 | Association | IL2RA | CD38
33085758 | Association | IL2RA | CD34
33085758 | Association | Leukemia Myeloid Acute | IL1RAP
33085758 | Association | Leukemia Myeloid Acute | CSF3R
33464309 | Association | TRBV20OR9-2 | CXCR4
36814396 | Association | Neoplasms | CALR
36814396 | Association | Neoplasms | MPL
36814396 | Association | Primary Myelofibrosis | IL2RA
36814396 | Association | Neoplasms | Cd38
36814396 | Association | Neoplasms | IL2RA
36814396 | Association | CD274 | CD34
36814396 | Association | Neoplasms | CD38
36814396 | Association | Neoplasms | JAK2
36814396 | Association | Primary Myelofibrosis | DPP4
36814396 | Association | CD274 | CD38
36814396 | Association | Neoplasms | CD34
36814396 | Negative_Correlation | fedratinib | JAK2
36814396 | Association | Neoplasms | CD274
36814396 | Association | Neoplasms | DPP4
36814396 | Negative_Correlation | fedratinib | Neoplasms
36814396 | Association | Neoplasms | PDCD1
37642473 | Association | Lupus Erythematosus Systemic | HLA-A
37642473 | Association | CRP | CXCR2
37642473 | Association | CRP | CXCR4
37642473 | Association | Hyaluronic Acid | CXCR2
37642473 | Association | Hyaluronic Acid | CXCR4
37642473 | Association | CXCR2 | MIF
37642473 | Positive_Correlation | LAYN | CD14
37642473 | Association | MIF | CXCR4
37642473 | Association | Lupus Erythematosus Systemic | LAYN
37642473 | Negative_Correlation | LAYN | SELL
37642473 | Association | Hyaluronic Acid | MIF
37642473 | Positive_Correlation | LAYN | FCGR3A
37642473 | Positive_Correlation | LAYN | CD74
37642473 | Association | CXCR2 | CXCR4
38126879 | Association | Neoplasms | Cxcr4
38126879 | Association | Hematologic Neoplasms | Cxcr4
38154064 | Negative_Correlation | A-trisaccharide | Atr
38154064 | Positive_Correlation | Alk | Atr
38154064 | Association | Neuroblastoma | Alk
38154064 | Association | Neuroblastoma | MYCN
38154064 | Association | ALK | Atr
38154064 | Association | Neuroblastoma | ALK
38154064 | Positive_Correlation | Alk | Chek1
38154064 | Association | Neuroblastoma | Atr
38154064 | Association | Neoplasms | ALK
38154064 | Association | Neoplasms | MYCN
38198032 | Bind | Osmr | IL6ST
38198032 | Association | Neoplasms | OSMR
38198032 | Negative_Correlation | plerixafor | CXCR4
38203690 | Negative_Correlation | Inflammation | Il10
38212005 | Association | Cognition Disorders | Cxcr4
38212005 | Association | Glutamic Acid | Cxcr4
38212005 | Association | Cognition Disorders | Cxcl12
38212005 | Negative_Correlation | Donepezil | Cognition Disorders
38212005 | Association | Glutamic Acid | Cxcl12
38213100 | Association | Fatty Acids | CTNNB1
38213100 | Association | Fatty Acids | Fibrosis
38213100 | Association | Renal Insufficiency Chronic | CXCR4
38213100 | Association | Adenoma | CXCR4
38213100 | Association | Fibrosis | CTNNB1
38213100 | Association | Fibrosis | CXCR4
38213100 | Negative_Correlation | Fatty Acids | CXCR4
38213100 | Association | Wounds and Injuries | CXCR4
38213100 | Negative_Correlation | ICG 001 | CTNNB1
38213100 | Association | PLIN2 | CXCR4
38213100 | Positive_Correlation | Lipids | CXCR4
38213100 | Negative_Correlation | ICG 001 | CXCR4
38213100 | Association | CDKN2A | CXCR4
38213100 | Negative_Correlation | ICG 001 | Fatty Acids
38213100 | Positive_Correlation | Doxorubicin | Kidney Diseases
38213100 | Positive_Correlation | CTNNB1 | CXCR4
38291527 | Association | Multiple Sclerosis | CXCR4
38291527 | Negative_Correlation | Testosterone | Multiple Sclerosis
38291527 | Bind | Cxcl12 | CXCR4
38291527 | Association | Demyelinating Diseases | CXCR4
38291527 | Association | Testosterone | Cxcr4
38291527 | Negative_Correlation | plerixafor | Cxcr4
38291527 | Association | WHIM syndrome | CXCR4
38291527 | Positive_Correlation | Testosterone | CXCR4
38291527 | Association | Testosterone | Demyelinating Diseases
38291527 | Association | Testosterone | WHIM syndrome
38291527 | Association | Testosterone | Cxcl12
38291527 | Positive_Correlation | Testosterone | Ar
38291527 | Positive_Correlation | Lysophosphatidylcholines | Demyelinating Diseases
38306929 | Association | Neurodegenerative Diseases | CXCR4
38308301 | Association | Multiple Sclerosis | Nlrp3
38308301 | Positive_Correlation | Encephalomyelitis Autoimmune Experimental | Nlrp3
38308301 | Positive_Correlation | Cxcr2 | Nlrp3
38308301 | Positive_Correlation | Cxcr4 | Nlrp3
38338930 | Association | Fatty Acids | Cxcl14
38338930 | Association | Glycerophospholipids | Cxcl14
38363205 | Association | Cd53 | Cxcl12
38363205 | Bind | Cxcr4 | Cxcl12
38363205 | Association | Cd53 | Cxcr4
38447691 | Positive_Correlation | Cxcr4 | Setd1b
38447691 | Positive_Correlation | Sevoflurane | Cognition Disorders
38447691 | Association | Nerve Degeneration | Nlrp1a
38447691 | Negative_Correlation | Nlrp1a | Setd1b
38447691 | Positive_Correlation | Sevoflurane | Neurotoxicity Syndromes
38447691 | Negative_Correlation | Sevoflurane | Setd1b
38447691 | Association | Cxcr4 | H3c7
38447691 | Negative_Correlation | Casp1 | Setd1b
38447691 | Association | Nerve Degeneration | Casp1
38447691 | Negative_Correlation | Nerve Degeneration | Setd1b
38447691 | Association | Nerve Degeneration | Cxcr4
38447691 | Negative_Correlation | Cognition Disorders | Setd1b
38533538 | Association | Manganese | Cxcr4
38533538 | Association | Doxorubicin | Cxcr4
38533538 | Negative_Correlation | Manganese | Neoplasms
38533538 | Positive_Correlation | Doxorubicin | Tmem173
38533538 | Negative_Correlation | Doxorubicin | Neoplasms
38533538 | Association | Neoplasms | Cxcr4
38533538 | Positive_Correlation | Manganese | Tmem173
