31679624 | @GENE_CLCN3 | Clcn3 | 0 | 5 | Gene | gene | ClC-3
21167753 | @GENE_SOCS1 | Socs1 | 771 | 5 | Gene | gene | Socs1
21167753 | @GENE_BCL2 | Bcl2 | 796 | 4 | Gene | gene | Bcl2
21167753 | @GENE_ZBTB17 | Zbtb17 | 813 | 6 | Gene | gene | Zbtb17
21167753 | @GENE_ZBTB17 | Zbtb17 | 840 | 5 | Gene | gene | Miz-1
21167753 | @GENE_TCF3 | Tcf3 | 920 | 22 | Gene | gene | transcription factor 3
21167753 | @GENE_TCF3 | Tcf3 | 944 | 4 | Gene | gene | Tcf3
21167753 | @GENE_EBF1 | Ebf1 | 977 | 4 | Gene | gene | Ebf1
21167753 | @GENE_BCL2 | Bcl2 | 1057 | 4 | Gene | gene | Bcl2
21167753 | @GENE_EBF1 | Ebf1 | 1066 | 4 | Gene | gene | Ebf1
21167753 | @GENE_ZBTB17 | Zbtb17 | 1105 | 5 | Gene | gene | Miz-1
21167753 | @GENE_CD19 | Cd19 | 1148 | 4 | Gene | gene | CD19
22000024 | @GENE_ZBTB17 | ZBTB17 | 37 | 5 | Gene | gene | Miz-1
22000024 | @GENE_MYC | MYC | 97 | 3 | Gene | gene | Myc
22000024 | @GENE_ZBTB17 | ZBTB17 | 166 | 5 | Gene | gene | Miz-1
22000024 | @GENE_EP300 | EP300 | 360 | 4 | Gene | gene | p300
22000024 | @GENE_ZBTB17 | ZBTB17 | 366 | 5 | Gene | gene | Miz-1
22000024 | @GENE_CDKN1A | CDKN1A | 463 | 3 | Gene | gene | p21
22000024 | @GENE_CDKN1A | CDKN1A | 467 | 4 | Gene | gene | Cip1
22000024 | @GENE_CDKN2B | CDKN2B | 476 | 3 | Gene | gene | p15
22000024 | @GENE_CDKN2B | CDKN2B | 480 | 5 | Gene | gene | Ink4b
22000024 | @GENE_BCL2 | BCL2 | 522 | 5 | Gene | gene | Bcl-2
22000024 | @GENE_ZBTB17 | ZBTB17 | 542 | 5 | Gene | gene | Miz-1
22000024 | @GENE_MYC | MYC | 601 | 5 | Gene | gene | c-Myc
22000024 | @GENE_BCL6 | BCL6 | 610 | 5 | Gene | gene | Bcl-6
22000024 | @GENE_NPM1 | NPM1 | 631 | 13 | Gene | gene | nucleophosmin
22000024 | @GENE_EP300 | EP300 | 648 | 4 | Gene | gene | p300
22000024 | @GENE_ZBTB17 | ZBTB17 | 685 | 5 | Gene | gene | Miz-1
22000024 | @GENE_IL7 | IL7 | 723 | 4 | Gene | gene | IL-7
22000024 | @GENE_IL7R | IL7R | 806 | 13 | Gene | gene | IL-7 receptor
22000024 | @GENE_IL7R | IL7R | 821 | 5 | Gene | gene | IL-7R
22000024 | @GENE_IL7R | IL7R | 978 | 5 | Gene | gene | IL-7R
22000024 | @GENE_STAT5A | STAT5A | 1008 | 5 | Gene | gene | Stat5
22000024 | @GENE_ZBTB17 | ZBTB17 | 1181 | 5 | Gene | gene | Miz-1
22000024 | @GENE_SOCS1 | SOCS1 | 1272 | 5 | Gene | gene | Socs1
22000024 | @GENE_STAT5A | STAT5A | 1312 | 5 | Gene | gene | Stat5
22000024 | @GENE_BCL2 | BCL2 | 1333 | 5 | Gene | gene | Bcl-2
22000024 | @GENE_ZBTB17 | ZBTB17 | 1361 | 5 | Gene | gene | Miz-1
22000024 | @GENE_IL7 | IL7 | 1374 | 4 | Gene | gene | IL-7
22000024 | @GENE_ZBTB17 | ZBTB17 | 1480 | 5 | Gene | gene | Miz-1
22000024 | @GENE_MYC | MYC | 1526 | 5 | Gene | gene | c-Myc
22000024 | @GENE_MYC | MYC | 1563 | 5 | Gene | gene | c-Myc
22000024 | @GENE_MYC | MYC | 1623 | 5 | Gene | gene | c-Myc
22000024 | @GENE_ZBTB17 | ZBTB17 | 1678 | 5 | Gene | gene | Miz-1
22000024 | @GENE_MYC | MYC | 1688 | 5 | Gene | gene | c-Myc
22000024 | @GENE_MYC | MYC | 1763 | 5 | Gene | gene | c-Myc
22000024 | @DISEASE_Lymphoma | Lymphoma | 1779 | 21 | Disease | disease | lymphoid malignancies
23399412 | @DISEASE_HIV_Infections | HIV Infections | 20 | 11 | Disease | disease | HIV disease
23399412 | @GENE_CD4 | CD4 | 183 | 3 | Gene | gene | CD4
23399412 | @DISEASE_Opportunistic_Infections | Opportunistic Infections | 219 | 23 | Disease | disease | opportunistic infection
23399412 | @DISEASE_Virus_Diseases | Virus Diseases | 302 | 5 | Disease | disease | viral
23399412 | @DISEASE_HIV_Infections | HIV Infections | 411 | 13 | Disease | disease | HIV infection
23399412 | @GENE_CCR5 | CCR5 | 631 | 4 | Gene | gene | CCR5
23399412 | @GENE_HLA_B | HLA-B | 637 | 5 | Gene | gene | HLA-B
23399412 | @GENE_HLA_C | HLA-C | 647 | 5 | Gene | gene | HLA-C
23399412 | @CHEMICAL_abacavir | abacavir | 754 | 8 | Chemical | chemical | abacavir
23399412 | @DISEASE_HIV_Infections | HIV Infections | 816 | 11 | Disease | disease | HIV disease
23399412 | @GENE_CCR5 | CCR5 | 892 | 4 | Gene | gene | CCR5
23399412 | @DISEASE_Virus_Diseases | Virus Diseases | 982 | 23 | Disease | disease | chronic viral infection
23399412 | @DISEASE_Virus_Diseases | Virus Diseases | 1061 | 5 | Disease | disease | viral
23449802 | @GENE_KPNA1 | KPNA1 | 787 | 5 | Gene | gene | KPNA1
23449802 | @GENE_KPNA1 | KPNA1 | 933 | 5 | Gene | gene | KPNA1
23449802 | @CHEMICAL_benzyloxycarbonylleucyl_leucyl_leucine_aldehyde | benzyloxycarbonylleucyl-leucyl-leucine aldehyde | 1031 | 5 | Chemical | chemical | MG132
23449802 | @GENE_KPNA1 | KPNA1 | 1046 | 5 | Gene | gene | KPNA1
23449802 | @GENE_KPNA1 | KPNA1 | 1122 | 5 | Gene | gene | KPNA1
23449802 | @GENE_KPNA1 | KPNA1 | 1326 | 5 | Gene | gene | KPNA1
23449802 | @VARIANT_p.V19I_KPNA1_human | p.V19I | 1398 | 34 | Variant | variant | valine to isoleucine at residue 19
23449802 | @GENE_KPNA1 | KPNA1 | 1478 | 5 | Gene | gene | KPNA1
23449802 | @DISEASE_Infections | Infections | 1550 | 9 | Disease | disease | infection
23449802 | @GENE_KPNA1 | KPNA1 | 1632 | 5 | Gene | gene | KPNA1
23449802 | @DISEASE_Infections | Infections | 1657 | 9 | Disease | disease | infection
23449802 | @GENE_KPNA1 | KPNA1 | 1771 | 5 | Gene | gene | KPNA1
23449802 | @VARIANT_p.I19V_KPNA1_human | p.I19V | 1833 | 28 | Variant | variant | 19 from isoleucine to valine
23449802 | @GENE_KPNA1 | KPNA1 | 1870 | 5 | Gene | gene | KPNA1
23449802 | @GENE_KPNA1 | KPNA1 | 1973 | 5 | Gene | gene | KPNA1
23630526 | @DISEASE_HIV_Infections | HIV Infections | 61 | 11 | Disease | disease | HIV Disease
23630526 | @DISEASE_Infections | Infections | 251 | 9 | Disease | disease | infection
23630526 | @GENE_CD4 | CD4 | 415 | 3 | Gene | gene | CD4
23630526 | @GENE_NRSN1 | NRSN1 | 452 | 3 | Gene | gene | p24
23630526 | @GENE_CD4 | CD4 | 487 | 3 | Gene | gene | CD4
23630526 | @GENE_NRSN1 | NRSN1 | 557 | 3 | Gene | gene | p24
23630526 | @GENE_CD8A | CD8A | 586 | 3 | Gene | gene | CD8
23630526 | @GENE_CD4 | CD4 | 668 | 3 | Gene | gene | CD4
23630526 | @DISEASE_Infections | Infections | 746 | 9 | Disease | disease | infection
23630526 | @GENE_CD4 | CD4 | 810 | 3 | Gene | gene | CD4
23630526 | @DISEASE_HIV_Infections | HIV Infections | 855 | 13 | Disease | disease | HIV infection
23630526 | @GENE_CDKN1A | CDKN1A | 956 | 4 | Gene | gene | p21/
23630526 | @GENE_CD4 | CD4 | 967 | 3 | Gene | gene | CD4
23630526 | @GENE_CCR5 | CCR5 | 1143 | 4 | Gene | gene | CCR5
23630526 | @GENE_CD4 | CD4 | 1163 | 3 | Gene | gene | CD4
23630526 | @GENE_HLA_B | HLA-B | 1265 | 7 | Gene | gene | HLA-B27
23630526 | @GENE_CD8A | CD8A | 1324 | 3 | Gene | gene | CD8
23630526 | @GENE_NRSN1 | NRSN1 | 1378 | 3 | Gene | gene | p24
23630526 | @GENE_CD8A | CD8A | 1529 | 3 | Gene | gene | CD8
23630526 | @GENE_HLA_B | HLA-B | 1565 | 7 | Gene | gene | HLA-B27
23630526 | @GENE_HLA_B | HLA-B | 1930 | 7 | Gene | gene | HLA-B27
23630526 | @GENE_HLA_C | HLA-C | 2004 | 5 | Gene | gene | HLA-C
23630526 | @GENE_KIR2DL4 | KIR2DL4 | 2010 | 3 | Gene | gene | KIR
23630526 | @GENE_SAMHD1 | SAMHD1 | 2201 | 6 | Gene | gene | SAMHD1
24286865 | @GENE_STAT3 | Stat3 | 92 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 140 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 223 | 5 | Gene | gene | STAT3
24286865 | @DISEASE_Inflammation | Inflammation | 382 | 12 | Disease | disease | inflammatory
24286865 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 408 | 23 | Chemical | chemical | reactive oxygen species
24286865 | @GENE_STAT3 | Stat3 | 503 | 5 | Gene | gene | STAT3
24286865 | @GENE_IL6 | Il6 | 625 | 13 | Gene | gene | interleukin-6
24286865 | @GENE_LIF | Lif | 655 | 26 | Gene | gene | Leukemia Inhibitory Factor
24286865 | @GENE_LIF | Lif | 683 | 3 | Gene | gene | LIF
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 692 | 17 | Chemical | chemical | hydrogen peroxide
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 711 | 4 | Chemical | chemical | H2O2
24286865 | @GENE_STAT3 | Stat3 | 734 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 764 | 5 | Gene | gene | STAT3
24286865 | @GENE_LIF | Lif | 828 | 3 | Gene | gene | LIF
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 863 | 4 | Chemical | chemical | H2O2
24286865 | @GENE_STAT3 | Stat3 | 934 | 5 | Gene | gene | STAT3
24286865 | @GENE_SOCS3 | Socs3 | 952 | 5 | Gene | gene | SOCS3
24286865 | @GENE_LIF | Lif | 991 | 3 | Gene | gene | LIF
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 997 | 4 | Chemical | chemical | H2O2
24286865 | @GENE_STAT3 | Stat3 | 1067 | 5 | Gene | gene | STAT3
24286865 | @GENE_LIF | Lif | 1100 | 3 | Gene | gene | LIF
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 1106 | 4 | Chemical | chemical | H2O2
24286865 | @GENE_STAT3 | Stat3 | 1145 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 1210 | 5 | Gene | gene | STAT3
24286865 | @GENE_PTPN2 | Ptpn2 | 1228 | 6 | Gene | gene | TC-PTP
24286865 | @GENE_RAN | Ran | 1373 | 3 | Gene | gene | Ran
24286865 | @GENE_KPNA4 | Kpna4 | 1381 | 15 | Gene | gene | importin-alpha3
24286865 | @CHEMICAL_Hydrogen_Peroxide | Hydrogen Peroxide | 1417 | 4 | Chemical | chemical | H2O2
24286865 | @GENE_XPO1 | Xpo1 | 1525 | 4 | Gene | gene | CRM1
24286865 | @GENE_STAT3 | Stat3 | 1616 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 1653 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 1772 | 5 | Gene | gene | STAT3
24286865 | @GENE_STAT3 | Stat3 | 1902 | 5 | Gene | gene | STAT3
24554650 | @GENE_STAT1 | STAT1 | 95 | 5 | Gene | gene | STAT1
24554650 | @GENE_STAT2 | STAT2 | 101 | 5 | Gene | gene | STAT2
24554650 | @GENE_IFNA1 | IFNA1 | 375 | 3 | Gene | gene | IFN
24554650 | @GENE_STAT1 | STAT1 | 948 | 5 | Gene | gene | STAT1
24554650 | @GENE_STAT2 | STAT2 | 958 | 5 | Gene | gene | STAT2
24554650 | @GENE_STAT1 | STAT1 | 1051 | 5 | Gene | gene | STAT1
24554650 | @GENE_STAT2 | STAT2 | 1057 | 5 | Gene | gene | STAT2
24554650 | @GENE_KPNA1 | KPNA1 | 1240 | 5 | Gene | gene | KPNA1
24554650 | @GENE_STAT1 | STAT1 | 1317 | 5 | Gene | gene | STAT1
24554650 | @GENE_KPNA1 | KPNA1 | 1462 | 5 | Gene | gene | KPNA1
24554650 | @GENE_STAT1 | STAT1 | 1485 | 5 | Gene | gene | STAT1
24554650 | @GENE_STAT2 | STAT2 | 1491 | 5 | Gene | gene | STAT2
24554650 | @GENE_IFNA1 | IFNA1 | 1642 | 3 | Gene | gene | IFN
24554650 | @GENE_STAT1 | STAT1 | 1800 | 5 | Gene | gene | STAT1
24554650 | @GENE_STAT2 | STAT2 | 1806 | 5 | Gene | gene | STAT2
24554650 | @GENE_KPNA1 | KPNA1 | 1864 | 5 | Gene | gene | KPNA1
24554650 | @GENE_KPNA1 | KPNA1 | 2007 | 5 | Gene | gene | KPNA1
25119688 | @DISEASE_HIV_Infections | HIV Infections | 30 | 3 | Disease | disease | HIV
25119688 | @DISEASE_HIV_Infections | HIV Infections | 127 | 13 | Disease | disease | HIV infection
25119688 | @GENE_CCR5 | CCR5 | 454 | 4 | Gene | gene | CCR5
25119688 | @GENE_HLA_C | HLA-C | 819 | 5 | Gene | gene | HLA-C
25119688 | @DISEASE_Infections | Infections | 1598 | 9 | Disease | disease | infection
25119688 | @GENE_KIR2DS1 | KIR2DS1 | 1681 | 40 | Gene | gene | killer cell immunoglobulin-like receptor
25119688 | @DISEASE_HIV_Infections | HIV Infections | 1736 | 11 | Disease | disease | HIV disease
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 33 | 7 | Gene | gene | KIR2DL1
26647083 | @DISEASE_Infections | Infections | 262 | 9 | Disease | disease | infection
26647083 | @GENE_B3GAT1 | B3GAT1 | 551 | 4 | Gene | gene | CD57
26647083 | @GENE_KIR3DL1 | KIR3DL1 | 650 | 36 | Gene | gene | killer immunoglobulin-like receptors
26647083 | @GENE_KIR3DL1 | KIR3DL1 | 688 | 3 | Gene | gene | KIR
26647083 | @GENE_KIR3DL1 | KIR3DL1 | 932 | 7 | Gene | gene | KIR3DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1067 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1373 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_IFNG | IFNG | 1389 | 22 | Gene | gene | interferon (IFN)-gamma
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1443 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1471 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1562 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1577 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1685 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1701 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_B3GAT1 | B3GAT1 | 1789 | 4 | Gene | gene | CD57
26647083 | @GENE_KIR2DL1 | KIR2DL1 | 1901 | 7 | Gene | gene | KIR2DL1
26647083 | @GENE_B3GAT1 | B3GAT1 | 1943 | 4 | Gene | gene | CD57
26692933 | @GENE_STAT3 | STAT3 | 0 | 5 | Gene | gene | STAT3
26692933 | @CHEMICAL_Decitabine | Decitabine | 39 | 10 | Chemical | chemical | decitabine
26692933 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 93 | 22 | Disease | disease | acute myeloid leukemia
26692933 | @GENE_STAT3 | STAT3 | 228 | 5 | Gene | gene | STAT3
26692933 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 310 | 3 | Disease | disease | AML
26692933 | @CHEMICAL_Decitabine | Decitabine | 344 | 3 | Chemical | chemical | DAC
26692933 | @CHEMICAL_Decitabine | Decitabine | 434 | 3 | Chemical | chemical | DAC
26692933 | @GENE_STAT3 | STAT3 | 544 | 5 | Gene | gene | STAT3
26692933 | @GENE_JAK1 | JAK1 | 551 | 4 | Gene | gene | JAK1
26692933 | @GENE_JAK2 | JAK2 | 557 | 4 | Gene | gene | JAK2
26692933 | @GENE_SOCS1 | SOCS1 | 563 | 6 | Gene | gene | SOCS-1
26692933 | @GENE_SOCS3 | SOCS3 | 574 | 6 | Gene | gene | SOCS-3
26692933 | @CHEMICAL_Decitabine | Decitabine | 606 | 3 | Chemical | chemical | DAC
26692933 | @CHEMICAL_Decitabine | Decitabine | 720 | 3 | Chemical | chemical | DAC
26692933 | @CHEMICAL_Decitabine | Decitabine | 945 | 3 | Chemical | chemical | DAC
26692933 | @GENE_ULBP1 | ULBP1 | 988 | 6 | Gene | gene | ULBP-1
26692933 | @GENE_ULBP3 | ULBP3 | 999 | 6 | Gene | gene | ULBP-3
26692933 | @CHEMICAL_Decitabine | Decitabine | 1085 | 3 | Chemical | chemical | DAC
26692933 | @GENE_KLRK1 | KLRK1 | 1175 | 5 | Gene | gene | NKG2D
26692933 | @GENE_STAT3 | STAT3 | 1269 | 5 | Gene | gene | STAT3
26692933 | @GENE_JAK2 | JAK2 | 1281 | 4 | Gene | gene | JAK2
26692933 | @GENE_STAT3 | STAT3 | 1302 | 5 | Gene | gene | STAT3
26692933 | @GENE_JAK1 | JAK1 | 1324 | 4 | Gene | gene | JAK1
26692933 | @GENE_JAK2 | JAK2 | 1348 | 4 | Gene | gene | JAK2
26692933 | @GENE_SOCS1 | SOCS1 | 1378 | 6 | Gene | gene | SOCS-1
26692933 | @GENE_SOCS3 | SOCS3 | 1389 | 6 | Gene | gene | SOCS-3
26692933 | @CHEMICAL_Decitabine | Decitabine | 1427 | 3 | Chemical | chemical | DAC
26692933 | @CHEMICAL_Decitabine | Decitabine | 1470 | 3 | Chemical | chemical | DAC
26692933 | @GENE_KLRK1 | KLRK1 | 1549 | 5 | Gene | gene | NKG2D
26692933 | @CHEMICAL_Decitabine | Decitabine | 1568 | 3 | Chemical | chemical | DAC
26692933 | @GENE_STAT3 | STAT3 | 1659 | 5 | Gene | gene | STAT3
28525837 | @GENE_JAK3 | JAK3 | 25 | 3 | Gene | gene | JAK
28525837 | @DISEASE_Enteritis | Enteritis | 96 | 18 | Disease | disease | necrotic enteritis
28525837 | @GENE_JAK3 | JAK3 | 144 | 3 | Gene | gene | JAK
28525837 | @GENE_JAK3 | JAK3 | 443 | 3 | Gene | gene | JAK
28525837 | @DISEASE_Marek_Disease | Marek Disease | 560 | 15 | Disease | disease | Marek's disease
28525837 | @DISEASE_Enteritis | Enteritis | 632 | 18 | Disease | disease | necrotic enteritis
28525837 | @DISEASE_Enteritis | Enteritis | 652 | 11 | Disease | disease | NE) disease
28525837 | @GENE_JAK3 | JAK3 | 782 | 3 | Gene | gene | JAK
28525837 | @GENE_JAK3 | JAK3 | 963 | 3 | Gene | gene | JAK
28525837 | @GENE_JAK3 | JAK3 | 1024 | 3 | Gene | gene | JAK
28525837 | @GENE_STAT1 | STAT1 | 1148 | 7 | Gene | gene | STAT1-6
28525837 | @GENE_JAK1 | JAK1 | 1157 | 6 | Gene | gene | JAK1-3
28525837 | @GENE_TYK2 | TYK2 | 1165 | 4 | Gene | gene | TYK2
28525837 | @GENE_AKT1 | AKT1 | 1171 | 4 | Gene | gene | AKT1
28525837 | @GENE_AKT3 | AKT3 | 1177 | 4 | Gene | gene | AKT3
28525837 | @GENE_SOCS1 | SOCS1 | 1183 | 7 | Gene | gene | SOCS1-5
28525837 | @GENE_PIAS1 | PIAS1 | 1192 | 5 | Gene | gene | PIAS1
28525837 | @GENE_PIAS2 | PIAS2 | 1199 | 5 | Gene | gene | PIAS2
28525837 | @GENE_PIAS4 | PIAS4 | 1206 | 5 | Gene | gene | PIAS4
28525837 | @GENE_JAK3 | JAK3 | 1487 | 3 | Gene | gene | JAK
28525837 | @GENE_JAK3 | JAK3 | 1704 | 3 | Gene | gene | JAK
28525837 | @DISEASE_Enteritis | Enteritis | 1754 | 10 | Disease | disease | NE disease
29693186 | @GENE_JAK1 | JAK1 | 23 | 6 | Gene | gene | JAK1,2
29693186 | @GENE_STAT3 | STAT3 | 30 | 5 | Gene | gene | Stat3
29693186 | @GENE_CD274 | CD274 | 36 | 5 | Gene | gene | PD-L1
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 92 | 36 | Disease | disease | castration-resistant prostate cancer
29693186 | @DISEASE_Hypoxia | Hypoxia | 144 | 7 | Disease | disease | hypoxia
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 153 | 36 | Disease | disease | Castration-resistant prostate cancer
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 191 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Hypoxia | Hypoxia | 249 | 7 | Disease | disease | Hypoxia
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 288 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 357 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 436 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 517 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Hypoxia | Hypoxia | 567 | 7 | Disease | disease | hypoxia
29693186 | @GENE_KLRK1 | KLRK1 | 673 | 5 | Gene | gene | NKG2D
29693186 | @GENE_ULBP1 | ULBP1 | 680 | 6 | Gene | gene | ULBP-1
29693186 | @GENE_ULBP2 | ULBP2 | 688 | 6 | Gene | gene | ULBP-2
29693186 | @GENE_ULBP3 | ULBP3 | 699 | 6 | Gene | gene | ULBP-3
29693186 | @GENE_MICA | MICA | 711 | 42 | Gene | gene | MHC class I chain-related proteins A and B
29693186 | @GENE_MICA | MICA | 755 | 4 | Gene | gene | MICA
29693186 | @GENE_MICB | MICB | 760 | 4 | Gene | gene | MICB
29693186 | @GENE_KLRK1 | KLRK1 | 777 | 5 | Gene | gene | NKG2D
29693186 | @DISEASE_Neoplasms | Neoplasms | 828 | 5 | Disease | disease | Tumor
29693186 | @DISEASE_Hypoxia | Hypoxia | 1000 | 7 | Disease | disease | hypoxia
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 1016 | 4 | Disease | disease | CRPC
29693186 | @GENE_CD274 | CD274 | 1095 | 25 | Gene | gene | programmed death-ligand 1
29693186 | @GENE_CD274 | CD274 | 1122 | 5 | Gene | gene | PD-L1
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 1143 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Hypoxia | Hypoxia | 1165 | 7 | Disease | disease | hypoxia
29693186 | @GENE_CD274 | CD274 | 1209 | 5 | Gene | gene | PD-L1
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 1325 | 4 | Disease | disease | CRPC
29693186 | @GENE_CD274 | CD274 | 1400 | 5 | Gene | gene | PD-L1
29693186 | @GENE_JAK1 | JAK1 | 1425 | 21 | Gene | gene | Janus kinase (JAK)1,2
29693186 | @GENE_STAT3 | STAT3 | 1447 | 50 | Gene | gene | signal transducer and activator of transcription 3
29693186 | @GENE_STAT3 | STAT3 | 1499 | 5 | Gene | gene | Stat3
29693186 | @GENE_CD274 | CD274 | 1552 | 5 | Gene | gene | PD-L1
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 1561 | 4 | Disease | disease | CRPC
29693186 | @GENE_JAK1 | JAK1 | 1626 | 6 | Gene | gene | JAK1,2
29693186 | @GENE_CD274 | CD274 | 1633 | 5 | Gene | gene | PD-L1
29693186 | @GENE_STAT3 | STAT3 | 1642 | 5 | Gene | gene | Stat3
29693186 | @GENE_CD274 | CD274 | 1648 | 5 | Gene | gene | PD-L1
29693186 | @GENE_JAK1 | JAK1 | 1842 | 6 | Gene | gene | JAK1,2
29693186 | @GENE_CD274 | CD274 | 1849 | 5 | Gene | gene | PD-L1
29693186 | @GENE_STAT3 | STAT3 | 1859 | 5 | Gene | gene | Stat3
29693186 | @GENE_CD274 | CD274 | 1865 | 5 | Gene | gene | PD-L1
29693186 | @DISEASE_Hypoxia | Hypoxia | 1951 | 7 | Disease | disease | hypoxia
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 1967 | 4 | Disease | disease | CRPC
29693186 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 2057 | 4 | Disease | disease | CRPC
30584347 | @GENE_IFNB1 | IFNB1 | 75 | 7 | Gene | gene | IFNbeta
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 91 | 18 | Disease | disease | multiple sclerosis
30584347 | @DISEASE_Inflammation | Inflammation | 413 | 12 | Disease | disease | inflammatory
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 524 | 18 | Disease | disease | multiple sclerosis
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 544 | 2 | Disease | disease | MS
30584347 | @GENE_PIAS1 | PIAS1 | 582 | 7 | Gene | gene | PIAS1-4
30584347 | @GENE_IFNB1 | IFNB1 | 602 | 15 | Gene | gene | interferon beta
30584347 | @GENE_IFNB1 | IFNB1 | 619 | 7 | Gene | gene | IFNbeta
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 636 | 2 | Disease | disease | MS
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 802 | 2 | Disease | disease | MS
30584347 | @GENE_PIAS1 | PIAS1 | 893 | 5 | Gene | gene | PIAS1
30584347 | @GENE_PIAS2 | PIAS2 | 936 | 5 | Gene | gene | PIAS2
30584347 | @GENE_PIAS3 | PIAS3 | 946 | 5 | Gene | gene | PIAS3
30584347 | @GENE_PIAS3 | PIAS3 | 1058 | 5 | Gene | gene | PIAS3
30584347 | @GENE_PIAS4 | PIAS4 | 1163 | 5 | Gene | gene | PIAS4
30584347 | @GENE_IFNB1 | IFNB1 | 1387 | 7 | Gene | gene | IFNbeta
30584347 | @DISEASE_Multiple_Sclerosis | Multiple Sclerosis | 1403 | 2 | Disease | disease | MS
32151676 | @GENE_PIAS2 | PIAS2 | 5 | 5 | Gene | gene | PIAS2
32151676 | @GENE_DDX58 | DDX58 | 32 | 5 | Gene | gene | RIG-I
32151676 | @GENE_LOC101795904 | LOC101795904 | 87 | 4 | Gene | gene | IRF7
32151676 | @GENE_PIAS2 | PIAS2 | 616 | 5 | Gene | gene | PIAS2
32151676 | @GENE_LOC101795904 | LOC101795904 | 835 | 30 | Gene | gene | interferon regulatory factor 7
32151676 | @GENE_LOC101795904 | LOC101795904 | 867 | 4 | Gene | gene | IRF7
