31679624 | Association | Muscle Neoplasms | Clcn3
24486434 | Positive_Correlation | Lipopolysaccharides | Inflammation
24486434 | Positive_Correlation | Lipopolysaccharides | Jak2
24486434 | Association | Jak2 | Stat3
24486434 | Association | Neuroinflammatory Diseases | Stat3
24486434 | Association | Inflammation | Akt1
24486434 | Association | Inflammation | Jak2
24486434 | Association | Jak2 | Mapk1
24486434 | Association | Neuroinflammatory Diseases | Nfkb1
24486434 | Association | Akt1 | Syk
24486434 | Association | Inflammation | Syk
24486434 | Association | Akt1 | Nfkb1
24486434 | Association | Jak2 | Pias3
24486434 | Association | Nfkb1 | Syk
24486434 | Association | Lipopolysaccharides | Stat3
25817464 | Positive_Correlation | IL6ST | LIF
25817464 | Positive_Correlation | LIF | STAT3
25955018 | Association | IL6 | STAT3
25955018 | Association | IL4 | STAT3
25955018 | Association | IL13 | IDO1
25955018 | Association | IL13 | STAT3
25955018 | Association | IL4 | IDO1
25955018 | Association | STAT3 | TNF
25955018 | Association | IL1B | IDO1
25955018 | Association | IDO1 | CD40LG
25955018 | Association | IDO1 | TNF
25955018 | Association | Kynurenine | IDO1
25955018 | Association | Kynurenine | Neoplasms
25955018 | Association | STAT3 | CD40LG
25955018 | Association | IDO1 | STAT3
25955018 | Association | IL1B | STAT3
25955018 | Association | IL6 | IDO1
26157031 | Negative_Correlation | Inflammation | p.A19P
26157031 | Positive_Correlation | Lipopolysaccharides | Pneumonia
26157031 | Positive_Correlation | Respiratory Distress Syndrome | p.A19P
26353790 | Negative_Correlation | tofacitinib | Arthritis Psoriatic
26353790 | Negative_Correlation | tofacitinib | IL6
26353790 | Negative_Correlation | tofacitinib | MMP9
26353790 | Association | MMP3 | TIMP3
26353790 | Negative_Correlation | tofacitinib | MMP2
26353790 | Positive_Correlation | tofacitinib | PIAS3
26353790 | Association | tofacitinib | Inflammation
26353790 | Negative_Correlation | tofacitinib | CXCL8
26353790 | Negative_Correlation | tofacitinib | RELA
26353790 | Negative_Correlation | tofacitinib | CCL2
26353790 | Negative_Correlation | tofacitinib | MMP3
26353790 | Negative_Correlation | tofacitinib | TIMP3
26353790 | Positive_Correlation | tofacitinib | SOCS3
26727233 | Association | IL6 | RXRA
26727233 | Association | Lipids | RXRA
26727233 | Association | Inflammation | RXRA
26727233 | Association | Inflammation | TNF
26727233 | Association | Inflammation | IL6
26727233 | Association | Inflammation | IL1B
26793711 | Bind | CXCL12 | CXCR4
27324722 | Association | BCL2 | STAT3
27324722 | Association | Multiple Myeloma | PIAS3
27324722 | Association | MCL1 | STAT3
27324722 | Association | BCL2L1 | STAT3
27324722 | Association | Neoplasms | STAT3
27324722 | Association | MMP9 | STAT3
27324722 | Association | BIRC3 | STAT3
27324722 | Association | CCND1 | STAT3
27324722 | Association | Multiple Myeloma | STAT3
27324722 | Association | PTGS2 | STAT3
27324722 | Association | Multiple Myeloma | PTGS2
27324722 | Association | Neoplasm Metastasis | STAT3
27324722 | Association | PARP1 | CASP3
27324722 | Association | Multiple Myeloma | MMP9
27845432 | Association | Atherosclerosis | Stat3
27845432 | Negative_Correlation | Inflammation | Pias3
27845432 | Negative_Correlation | Stat3 | Pias3
27845432 | Positive_Correlation | Nitric Oxide | Pias3
27845432 | Negative_Correlation | Il6 | Pias3
27845432 | Negative_Correlation | Atherosclerosis | Pias3
27845432 | Positive_Correlation | Lipids | Pias3
27932984 | Positive_Correlation | Curcumin | Ifng
27932984 | Negative_Correlation | Curcumin | Cd40
27932984 | Negative_Correlation | Curcumin | Cd40lg
27932984 | Negative_Correlation | Curcumin | Pdcd1lg2
27932984 | Association | Inflammatory Bowel Diseases | Cish
27932984 | Association | Cish | Jak2
27932984 | Negative_Correlation | Curcumin | Il15
27932984 | Negative_Correlation | Curcumin | Fractures Spontaneous
27932984 | Association | Colitis | Cish
27932984 | Positive_Correlation | Curcumin | Socs1
27932984 | Negative_Correlation | Curcumin | Colitis
27932984 | Negative_Correlation | Curcumin | Tgfb1
27932984 | Positive_Correlation | Curcumin | Il10
27932984 | Positive_Correlation | Curcumin | Pias3
27932984 | Negative_Correlation | Curcumin | Inflammation
27932984 | Negative_Correlation | Curcumin | Cd83
27932984 | Negative_Correlation | Curcumin | Csf2
27932984 | Positive_Correlation | Curcumin | Socs3
27932984 | Negative_Correlation | Curcumin | Stat3
27932984 | Association | Curcumin | Cish
27932984 | Positive_Correlation | Curcumin | Il4
27932984 | Negative_Correlation | Curcumin | Il23a
27932984 | Negative_Correlation | Curcumin | Tlr2
27932984 | Negative_Correlation | Curcumin | Stat6
27932984 | Negative_Correlation | Curcumin | Jak2
27932984 | Negative_Correlation | Curcumin | Cd28
27932984 | Negative_Correlation | Curcumin | Inflammatory Bowel Diseases
28027695 | Positive_Correlation | Subarachnoid Hemorrhage | IL6R
28027695 | Association | PIAS3 | STAT3
28027695 | Association | Hematoma Subdural Chronic | PIAS3
28027695 | Association | Hematoma Subdural Chronic | STAT3
28027695 | Association | Hematoma Subdural Chronic | JAK2
28027695 | Association | Hematoma Subdural Chronic | SOCS3
28027695 | Negative_Correlation | PIAS3 | IL6
28027695 | Association | Hematoma Subdural Chronic | IL6
28027695 | Association | IL6 | IL6ST
28494922 | Association | Enteritis | STAT1
28494922 | Association | Enteritis | SOCS5
28494922 | Association | Enteritis | PTPN11
28494922 | Association | Enteritis | PIAS1
28494922 | Association | Enteritis | AKT3
28494922 | Association | Enteritis | STAT4
28494922 | Association | Enteritis | PTPN6
28494922 | Association | Enteritis | STAT5A
28494922 | Association | Enteritis | AKT1
28494922 | Association | Enteritis | STAT3
28494922 | Association | Enteritis | SOCS2
28494922 | Association | Enteritis | TYK2
28494922 | Association | Enteritis | JAK3
28494922 | Association | Enteritis | SOCS1
28494922 | Association | Enteritis | SOCS4
28494922 | Association | Enteritis | PIAS4
28494922 | Association | Enteritis | JAK2
28494922 | Association | Enteritis | JAK1
28494922 | Association | Enteritis | PIAS2
28494922 | Association | Enteritis | SOCS3
28972958 | Positive_Correlation | Carcinoma Squamous Cell | STAT3
28972958 | Positive_Correlation | Carcinoma Non-Small-Cell Lung | PTGS2
28972958 | Association | CISH | STAT6
28972958 | Association | PIAS3 | STAT5A
28972958 | Association | Carcinoma Non-Small-Cell Lung | PIAS3
28972958 | Association | Carcinoma Non-Small-Cell Lung | SOCS3
28972958 | Negative_Correlation | Carcinoma Squamous Cell | PIAS3
28972958 | Association | Carcinoma Non-Small-Cell Lung | STAT5A
28972958 | Association | Lung Neoplasms | PTGS2
28972958 | Positive_Correlation | Neoplasms | PTGS2
28972958 | Positive_Correlation | Carcinoma Squamous Cell | STAT6
28972958 | Negative_Correlation | Neoplasms | SOCS3
28972958 | Positive_Correlation | PTGS2 | STAT5A
28972958 | Positive_Correlation | Beta ketothiolase deficiency | PTGS2
29927095 | Association | IFNA1 | JAK1
29927095 | Positive_Correlation | Sjogren's Syndrome | IFNG
29927095 | Association | Sjogren's Syndrome | JAK1
29927095 | Association | TNFSF13B | IFIT2
29927095 | Positive_Correlation | TNFSF13B | IFNA1
29927095 | Negative_Correlation | GLPG0634 | TNFSF13B
29927095 | Association | TNFSF13B | JAK1
29927095 | Positive_Correlation | Sjogren's Syndrome | TNFSF13B
31784083 | Association | NFKB1 | PIAS1
31784083 | Positive_Correlation | Carcinoma Hepatocellular | IL17A
31784083 | Positive_Correlation | IFNG | NFKB1
31784083 | Positive_Correlation | IL17A | NFKB1
31784083 | Association | IFNG | IL17A
31784083 | Association | Carcinoma Hepatocellular | STAT1
31784083 | Positive_Correlation | IL17A | PIAS1
31784083 | Association | Neoplasms | IFNG
31784083 | Association | Carcinoma Hepatocellular | PIAS1
31784083 | Association | IL17A | STAT1
31784083 | Association | Carcinoma Hepatocellular | IFNG
31784083 | Positive_Correlation | IFNG | PIAS1
31835700 | Association | Prostatic Neoplasms | PIAS3
31835700 | Association | Prostatic Neoplasms | UBE2V2
32044269 | Association | Synovial Cyst | IL17A
32044269 | Association | Inflammation | IL17A
32044269 | Negative_Correlation | cyanidin | Arthritis Rheumatoid
32044269 | Negative_Correlation | Flavonoids | Asthma
32044269 | Negative_Correlation | cyanidin | Synovial Cyst
32044269 | Negative_Correlation | Flavonoids | IL17A
32044269 | Association | cyanidin | Il17ra
32044269 | Association | Arthritis Experimental | Tlr3
32044269 | Association | Il17a | Ccn1
32044269 | Association | Stat3 | Pias3
32044269 | Association | cyanidin | Stat3
32044269 | Association | Arthritis Rheumatoid | Il17a
32044269 | Negative_Correlation | cyanidin | Il17a
32044269 | Association | Arthritis Experimental | Il17a
32044269 | Association | Arthritis Rheumatoid | IL17A
32044269 | Negative_Correlation | cyanidin | IL17A
32044269 | Negative_Correlation | cyanidin | Ccn1
32044269 | Negative_Correlation | cyanidin | Csf2
32044269 | Association | Stat3 | Il17ra
32044269 | Negative_Correlation | cyanidin | Tooth Erosion
32044269 | Bind | IL17RA | IL17A
32044269 | Negative_Correlation | cyanidin | Tlr3
32044269 | Negative_Correlation | cyanidin | IL17RA
32044269 | Negative_Correlation | cyanidin | Asthma
32044269 | Association | Csf2 | Il17a
32044269 | Association | Il17a | Il17ra
32044269 | Association | Arthritis Experimental | Il17ra
32044269 | Positive_Correlation | cyanidin | Pias3
32044269 | Association | Arthritis Experimental | Csf2
32044269 | Association | Stat3 | Il17a
32044269 | Negative_Correlation | cyanidin | Arthritis Experimental
32044269 | Negative_Correlation | cyanidin | Psoriasis
32044269 | Association | Arthritis Experimental | Stat3
32204510 | Positive_Correlation | Hydrogen Peroxide | Reactive Oxygen Species
32204510 | Negative_Correlation | Neoplasms | STAT3
32204510 | Negative_Correlation | AG 490 | HMOX1
32204510 | Positive_Correlation | IFNG | STAT1
32204510 | Negative_Correlation | Luteolin | STAT3
32204510 | Positive_Correlation | Pyocyanine | Reactive Oxygen Species
32204510 | Negative_Correlation | Neoplasms | IL6
32204510 | Negative_Correlation | AG 490 | IL6
32204510 | Negative_Correlation | Luteolin | IL6
32204510 | Association | HMOX1 | STAT3
32204510 | Association | Carcinoma Hepatocellular | IL6
32204510 | Negative_Correlation | AG 490 | STAT3
32204510 | Negative_Correlation | Neoplasms | HMOX1
32204510 | Positive_Correlation | IL1B | STAT3
32204510 | Negative_Correlation | Reactive Oxygen Species | HMOX1
32204510 | Negative_Correlation | PIAS3 | STAT3
32204510 | Association | Carcinoma Hepatocellular | HMOX1
32204510 | Positive_Correlation | HMOX1 | IL6
32204510 | Association | PIAS3 | HMOX1
32204510 | Positive_Correlation | IL1B | STAT1
32204510 | Association | Carcinoma Hepatocellular | STAT3
32204510 | Positive_Correlation | IL6 | STAT3
33408175 | Positive_Correlation | GBP7 | NFKB1
33408175 | Association | Nfkb1 | Gbp7
33408175 | Association | Bacterial Infections | Gbp7
33408175 | Positive_Correlation | GBP7 | STAT2
33408175 | Negative_Correlation | GBP7 | STAT1
33408175 | Negative_Correlation | Gbp7 | IFNA1
33408175 | Association | Influenza Human | GBP7
33408175 | Positive_Correlation | Influenza Human | Gbp7
33408175 | Association | Influenza Human | Nfkb1
33582208 | Association | Neoplasm Metastasis | CXCR1
33582208 | Association | Adenocarcinoma of Lung | CXCR1
33582208 | Association | Carcinoma Non-Small-Cell Lung | CXCL2
33582208 | Negative_Correlation | EGFR | CXCR1
33582208 | Association | Carcinoma Non-Small-Cell Lung | CXCR1
33582208 | Association | Carcinoma Non-Small-Cell Lung | IL9R
33582208 | Association | Neoplasms | CXCR1
33582208 | Association | Carcinoma Squamous Cell | CXCR1
33582208 | Association | Carcinoma Non-Small-Cell Lung | CCL3
34054823 | Association | Polyradiculoneuropathy Chronic Inflammatory Demyelinating | PIAS1
34054823 | Association | Polyradiculoneuropathy Chronic Inflammatory Demyelinating | PIAS3
34054823 | Association | Polyradiculoneuropathy Chronic Inflammatory Demyelinating | PIAS2
34054823 | Association | Polyradiculoneuropathy Chronic Inflammatory Demyelinating | PIAS4
34331975 | Association | STAT1 | PIAS1
34331975 | Association | IFN1@ | STAT1
34423038 | Negative_Correlation | Cisplatin | Breast Neoplasms
34423038 | Association | Breast Neoplasms | MIR210
34423038 | Positive_Correlation | MIR210 | BCL2
34423038 | Association | MIR210 | BAX
34423038 | Association | Cisplatin | MIR210
34423038 | Association | MIR210 | PIAS4
34535012 | Association | Subcutaneous panniculitis-like T-cell lymphoma | HAVCR2
34535012 | Association | Respiratory Tract Diseases | HAVCR2
34535012 | Association | Lymphohistiocytosis Hemophagocytic | HAVCR2
35106192 | Cotreatment | baricitinib | Steroids
35106192 | Cotreatment | baricitinib | Dexamethasone
35106192 | Negative_Correlation | baricitinib | COVID-19
35106192 | Negative_Correlation | baricitinib | JAK2
35106192 | Association | COVID-19 | ACE2
35106192 | Negative_Correlation | remdesivir | COVID-19
35106192 | Cotreatment | baricitinib | remdesivir
35106192 | Negative_Correlation | baricitinib | JAK1
35106192 | Negative_Correlation | baricitinib | Arthritis Rheumatoid
35106192 | Negative_Correlation | Steroids | COVID-19
35106192 | Negative_Correlation | baricitinib | ACE2
35106192 | Negative_Correlation | Dexamethasone | COVID-19
35109786 | Association | COVID-19 | ACE2
35109786 | Association | Neurodegenerative Diseases | BSG
35109786 | Association | COVID-19 | ACE
35109786 | Association | COVID-19 | BSG
35109786 | Association | COVID-19 | NRP1
36208271 | Positive_Correlation | GBP3 | IFNG
36208271 | Positive_Correlation | AKT1 | APOL4
36208271 | Association | AKT1 | IFNG
36208271 | Positive_Correlation | CXCL10 | MAPK1
36208271 | Association | GBP5 | STAT3
36208271 | Positive_Correlation | AKT1 | GBP1
36208271 | Positive_Correlation | APOL2 | IFNG
36208271 | Positive_Correlation | IFNG | APOL4
36208271 | Positive_Correlation | AKT1 | APOL6
36208271 | Positive_Correlation | IFNG | APOL3
36208271 | Positive_Correlation | AKT1 | APOL1
36208271 | Positive_Correlation | GBP2 | IFNG
36208271 | Positive_Correlation | GBP1 | IFNG
36208271 | Positive_Correlation | GBP5 | IFNG
36208271 | Association | IFNG | STAT3
36208271 | Positive_Correlation | IFNG | PIAS1
36208271 | Positive_Correlation | IFNG | CXCL9
36208271 | Association | GBP1 | STAT3
36208271 | Association | GBP4 | STAT3
36208271 | Positive_Correlation | IFNG | APOL6
36208271 | Association | IFNG | MAPK1
36208271 | Positive_Correlation | GBP5 | AKT1
36208271 | Positive_Correlation | IFNG | APOL1
36208271 | Positive_Correlation | IFNG | CXCL11
36208271 | Positive_Correlation | IFNG | CXCL10
36208271 | Positive_Correlation | GBP4 | IFNG
36208271 | Association | STAT3 | APOL1
36224441 | Association | IL4R | STAT3
36224441 | Association | Carcinogenesis | STAT3
36224441 | Association | EGFR | STAT3
36899906 | Positive_Correlation | Okadaic Acid | Shellfish Poisoning
36899906 | Association | CYP4F3 | NFKB1
36899906 | Negative_Correlation | 4-methyl-N1-(3-phenylpropyl)benzene-1 2-diamine | NFKB1
36899906 | Association | Okadaic Acid | NFKB1
36899906 | Negative_Correlation | methysticin | NFKB1
36899906 | Positive_Correlation | Okadaic Acid | Drug-Related Side Effects and Adverse Reactions
36899906 | Negative_Correlation | Okadaic Acid | CYP4F3
36899906 | Negative_Correlation | Okadaic Acid | RXRA
37197735 | Negative_Correlation | syringic acid | COX2
37197735 | Negative_Correlation | syringic acid | Pias1
37197735 | Negative_Correlation | syringic acid | Hyperglycemic Hyperosmolar Nonketotic Coma
37197735 | Negative_Correlation | syringic acid | methyl cellosolve
37197735 | Positive_Correlation | methyl cellosolve | Inflammation
37197735 | Negative_Correlation | syringic acid | Socs1
37197735 | Negative_Correlation | syringic acid | Stat1
37197735 | Negative_Correlation | syringic acid | Inflammation
37197735 | Positive_Correlation | methyl cellosolve | Stat1
37197735 | Positive_Correlation | methyl cellosolve | Il6
37197735 | Association | Inflammation | COX2
37197735 | Negative_Correlation | syringic acid | Tnf
37197735 | Negative_Correlation | syringic acid | Il6
37197735 | Positive_Correlation | methyl cellosolve | Socs1
37197735 | Negative_Correlation | methyl cellosolve | Jak1
37197735 | Positive_Correlation | methyl cellosolve | Tnf
37197735 | Association | Inflammation | Nos2
37197735 | Negative_Correlation | syringic acid | Jak1
37197735 | Positive_Correlation | methyl cellosolve | Nos2
37197735 | Positive_Correlation | methyl cellosolve | COX2
37197735 | Negative_Correlation | syringic acid | Nos2
37679586 | Association | IL10RB | NMI
37679586 | Association | TLR1 | NMI
37679586 | Positive_Correlation | Inflammation | NMI
37679586 | Association | Sepsis | IL9R
37679586 | Association | TNFRSF1A | NMI
37679586 | Association | Sepsis | TLR4
37679586 | Association | Sepsis | NFKB1
37679586 | Association | Sepsis | IL10RB
37679586 | Association | Sepsis | TNFRSF1A
37679586 | Association | Inflammation | NFKB1
37679586 | Association | Sepsis | IFNAR2
37679586 | Association | IFNAR1 | NMI
37679586 | Association | Sepsis | IFNAR1
37679586 | Positive_Correlation | STAT1 | NMI
37679586 | Positive_Correlation | NFKB1 | NMI
37679586 | Association | Sepsis | TLR1
37679586 | Association | IL9R | NMI
37679586 | Association | IFNAR2 | NMI
37679586 | Association | TLR4 | NMI
37679586 | Association | Sepsis | NMI
37679586 | Association | TLR3 | NMI
37679586 | Association | Sepsis | TLR3
9505193 | Association | App | Il7
9505193 | Association | Cd24a | Il7
9505193 | Association | Il2rg | Il7
9505193 | Association | Il7 | Jak3
12015764 | Association | Squamous Cell Carcinoma of Head and Neck | STAT3
12015764 | Association | Carcinogenesis | STAT3
15090793 | Positive_Correlation | IL2 | STAT5A
15090793 | Association | HIV Infections | STAT5A
15090793 | Association | JAK3 | STAT5A
15090793 | Association | IL2 | STAT5B
16314797 | Negative_Correlation | tofacitinib | PCNA
16314797 | Positive_Correlation | IFNG | IL2
16314797 | Negative_Correlation | tofacitinib | IL2
16314797 | Negative_Correlation | tofacitinib | IFNG
16314797 | Negative_Correlation | tofacitinib | JAK3
17142955 | Association | Multiple Myeloma | STAT3
17142955 | Association | Multiple Myeloma | IGF1R
17142955 | Association | Multiple Myeloma | PTPRC
17142955 | Association | Multiple Myeloma | IL6
17142955 | Association | Multiple Myeloma | IL6R
17392282 | Negative_Correlation | Dinoprostone | IL2RG
17392282 | Negative_Correlation | Curcumin | Neoplasms
17392282 | Association | Dinoprostone | Neoplasms
17392282 | Positive_Correlation | BCL2 | STAT5A
17392282 | Positive_Correlation | Curcumin | BCL2
17392282 | Association | STAT5A | TNFRSF8
17392282 | Negative_Correlation | Neoplasms | BCL2
17392282 | Negative_Correlation | Curcumin | JAK3
17392282 | Negative_Correlation | Curcumin | STAT5B
17392282 | Negative_Correlation | Curcumin | STAT5A
17392282 | Association | Neoplasms | STAT5B
17392282 | Association | Neoplasms | JAK3
17392282 | Negative_Correlation | Neoplasms | IL2RG
17392282 | Negative_Correlation | Neoplasms | CD4
17392282 | Association | Neoplasms | STAT5A
17392282 | Negative_Correlation | Neoplasms | CD8A
17392282 | Negative_Correlation | Curcumin | BAX
17392282 | Association | JAK3 | TNFRSF8
17392282 | Positive_Correlation | Neoplasms | BAX
18845095 | Association | Severe Combined Immunodeficiency | CD8A
18845095 | Association | Granuloma | CD8A
18845095 | Association | Severe Combined Immunodeficiency | JAK3
21325169 | Positive_Correlation | Precursor Cell Lymphoblastic Leukemia-Lymphoma | SEC31A
21325169 | Positive_Correlation | SEC31A | TXK
21325169 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | JAK2
21325169 | Positive_Correlation | JAK2 | TXK
21325169 | Association | Hodgkin Disease | JAK2
21325169 | Bind | SEC31A | JAK2
21325169 | Association | Hodgkin Disease | SEC31A
23117887 | Association | PPP1R10 | PTEN
23117887 | Association | Lipids | PTEN
23117887 | Positive_Correlation | Neoplasms | PPP1R10
23117887 | Negative_Correlation | AKT1 | PTEN
23117887 | Negative_Correlation | Neoplasms | PTEN
24204300 | Association | RpII215 | Pp1-87B
24204300 | Association | RpII215 | PNUTS
24204300 | Association | PNUTS | Pp1-87B
24481607 | Association | Severe Combined Immunodeficiency | JAK3
24481607 | Association | Hepatitis B | JAK3
24481607 | Association | Severe Combined Immunodeficiency | IL2
25809546 | Association | Mucocutaneous Lymph Node Syndrome | HLA-C
26320253 | Negative_Correlation | HLA-C | KIR2DL1
26575988 | Association | gag | KIR2DL4
26575988 | Association | TMED2 | KIR2DL3
26575988 | Association | gag | HLA-A
26575988 | Association | gag | KIR2DL3
26575988 | Association | TMED2 | HLA-A
26575988 | Association | TMED2 | KIR2DL4
26809736 | Association | HIV Infections | KIR2DL4
26809736 | Association | KIR2DL4 | CD4
26809736 | Association | HLA-A | KIR2DL4
26887815 | Association | IKZF2 | NCR1
26887815 | Association | MIR155 | STAT4
26887815 | Association | ZNF683 | IFNG
26887815 | Association | ZNF683 | NCR1
26887815 | Association | IKZF2 | IFNG
29518602 | Association | Stat3 | Lep
30180214 | Association | HLA-A | HLA-C
30180214 | Association | vpu | HLA-A
30180214 | Association | vpu | HLA-C
30507971 | Association | Liver Cirrhosis Biliary | HLA-A
30507971 | Association | Liver Cirrhosis Biliary | HLA-C
30507971 | Association | Liver Cirrhosis Biliary | HLA-DPB1
30507971 | Association | Liver Cirrhosis Biliary | HLA-DQA1
30520960 | Association | HLA-C | KIR2DL3
30520960 | Association | HIV Infections | HLA-A
30520960 | Association | Viremia | KIR2DL3
30520960 | Association | HIV Infections | KIR3DL1
30520960 | Association | Acquired Immunodeficiency Syndrome | KIR2DL3
30520960 | Association | HLA-A | KIR3DL1
30520960 | Association | Viremia | HLA-C
32675288 | Association | Multiple Sclerosis | HLA-A
33273184 | Association | Infections | KIR2DL2
33273184 | Association | Infections | gag
33632228 | Association | Virus Diseases | KIR2DL4
33632228 | Association | Malaria | KIR2DS5
33632228 | Association | Malaria | KIR2DS1
33632228 | Negative_Correlation | Malaria | KIR3DS1
33632228 | Association | Virus Diseases | HLA-C
33632228 | Association | Malaria | HLA-C
33632228 | Association | Malaria | KIR2DL5A
33632228 | Association | Malaria | KIR2DL4
33852776 | Association | Adenocarcinoma of Lung | TYK2
33852776 | Association | Adenocarcinoma of Lung | JAK3
33852776 | Association | Adenocarcinoma of Lung | JAK1
33852776 | Association | TYK2 | CD4
33852776 | Association | Adenocarcinoma of Lung | JAK2
33852776 | Association | Adenocarcinoma of Lung | CD4
33852776 | Association | Neoplasms | TYK2
33852776 | Association | Carcinogenesis | TYK2
33991459 | Association | Demyelinating Diseases | MOG
34895266 | Association | Lymphoma T-Cell | CD8A
34895266 | Association | Lymphoma T-Cell | STAT5B
34895266 | Association | Neoplasms | CD8A
34895266 | Association | Lymphoma T-Cell | SPN
34895266 | Association | Lymphoma T-Cell | NCAM1
34895266 | Association | Neoplasms | NCAM1
34895266 | Association | Neoplasms | SPN
34895266 | Association | Lymphoma T-Cell | TP53
34895266 | Association | Lymphoma T-Cell | JAK3
34980830 | Association | Lymphoma T-Cell Peripheral | TET2
34980830 | Association | Lymphoma T-Cell Peripheral | CD4
34980830 | Association | Lymphoma T-Cell Peripheral | CD8A
34980830 | Association | Lymphoma T-Cell Peripheral | KMT2C
35052377 | Association | X-Linked Combined Immunodeficiency Diseases | IL2RG
35052377 | Association | c.458T>C | X-Linked Combined Immunodeficiency Diseases
35052377 | Association | JAK3 | STAT5A
35052377 | Association | Genetic Diseases Inborn | c.458T>C
35052377 | Association | Dysgammaglobulinemia | c.458T>C
35052377 | Association | Dysgammaglobulinemia | p.I153T
35052377 | Positive_Correlation | X-Linked Combined Immunodeficiency Diseases | c.458T>C
35052377 | Association | c.458T>C | Dysgammaglobulinemia
35052377 | Association | Warts | IL2RG
35052377 | Association | Genetic Diseases Inborn | p.I153T
35052377 | Association | Genetic Diseases Inborn | IL2RG
35052377 | Association | X-Linked Combined Immunodeficiency Diseases | STAT5A
35052377 | Association | X-Linked Combined Immunodeficiency Diseases | JAK3
35052377 | Positive_Correlation | X-Linked Combined Immunodeficiency Diseases | p.I153T
35052377 | Association | c.458T>C | Genetic Diseases Inborn
35052377 | Association | IL2RG | STAT5A
35052377 | Association | IL2RG | JAK3
35052377 | Association | Dysgammaglobulinemia | IL2RG
35102139 | Association | Multiple Myeloma | TP53
35492074 | Association | Ketamine | STAT5A
35492074 | Negative_Correlation | Ketamine | CD8A
35492074 | Negative_Correlation | Morphine | Uterine Cervical Neoplasms
35492074 | Negative_Correlation | Morphine | CD4
35492074 | Association | Uterine Cervical Neoplasms | STAT5A
35492074 | Association | Uterine Cervical Neoplasms | JAK3
35492074 | Association | IFNG | STAT5A
35492074 | Association | Morphine | STAT5A
35492074 | Association | Morphine | JAK3
35492074 | Association | IL2 | STAT5A
35492074 | Negative_Correlation | Morphine | IFNG
35492074 | Negative_Correlation | Morphine | Cancer Pain
35492074 | Negative_Correlation | Morphine | IL2
35492074 | Association | Ketamine | JAK3
35492074 | Negative_Correlation | Ketamine | CD4
35492074 | Negative_Correlation | Ketamine | IL2
35492074 | Association | IL2 | JAK3
35492074 | Cotreatment | Ketamine | Morphine
35492074 | Association | Naltrexone | JAK3
35492074 | Negative_Correlation | Ketamine | Uterine Cervical Neoplasms
35492074 | Negative_Correlation | Ketamine | IFNG
35492074 | Negative_Correlation | Ketamine | Cancer Pain
35492074 | Negative_Correlation | Ketamine | IL17A
35492074 | Association | Naltrexone | STAT5A
35492074 | Association | IL17A | STAT5A
35492074 | Association | IFNG | JAK3
35492074 | Negative_Correlation | Morphine | IL17A
35492074 | Association | IL17A | JAK3
35492074 | Positive_Correlation | Morphine | CD8A
35551151 | Association | Lymphoma T-Cell | JAK3
35551151 | Association | Lymphoma T-Cell Peripheral | STAT5B
35708139 | Association | Lymphoma T-Cell | TP53
35708139 | Association | Lymphoma T-Cell | STAT5B
35708139 | Association | Lymphoma T-Cell | SETD2
35708139 | Association | Lymphoma T-Cell | ATM
35708139 | Association | Lymphoma T-Cell | MYC
35719936 | Association | Neoplasms | JAK3
35719936 | Negative_Correlation | Uterine Cervical Neoplasms | CD8A
35719936 | Association | Uterine Cervical Neoplasms | ELAVL2
35719936 | Association | Uterine Cervical Neoplasms | JAK3
35719936 | Association | Papillomavirus Infections | ELAVL2
35795663 | Negative_Correlation | tofacitinib | Alopecia universalis
35795663 | Association | Alopecia Areata | JAK3
35795663 | Association | Alopecia Areata | STAT1
35795663 | Association | Alopecia universalis | JAK3
35795663 | Association | Alopecia universalis | CD8A
36062760 | Negative_Correlation | WHI P154 | JAK3
36062760 | Association | Arthritis Rheumatoid | CD8A
36062760 | Negative_Correlation | AG 490 | Herpes Zoster
36062760 | Association | Arthritis Rheumatoid | IL2RA
36062760 | Association | Arthritis Rheumatoid | CD4
36062760 | Association | Arthritis Rheumatoid | IFNG
36062760 | Association | Arthritis Rheumatoid | CD69
36062760 | Negative_Correlation | ruxolitinib | Arthritis Rheumatoid
36062760 | Negative_Correlation | ruxolitinib | JAK1
36062760 | Negative_Correlation | AG 490 | JAK2
36062760 | Association | Methotrexate | IFNG
36099926 | Positive_Correlation | atezolizumab | Hypertension
36099926 | Association | Neoplasms | CD274
36099926 | Negative_Correlation | atezolizumab | Carcinoma Renal Cell
36099926 | Association | Carcinoma Renal Cell | CD274
36099926 | Positive_Correlation | atezolizumab | Diarrhea
36100323 | Association | JAK3 | CD8A
36100323 | Association | Carcinoma Renal Cell | CD8A
36100323 | Association | Neoplasms | JAK3
36100323 | Association | Carcinoma Renal Cell | JAK3
36100323 | Association | JAK3 | CD4
36494712 | Association | GATA2 Deficiency | JAK3
36494712 | Positive_Correlation | c.565delC | GATA2 Deficiency
36494712 | Association | Neoplasms | JAK3
36883805 | Association | Leukemia | CD7
36883805 | Negative_Correlation | Alemtuzumab | Leukemia Prolymphocytic T-Cell
36883805 | Negative_Correlation | Alemtuzumab | Death
36883805 | Association | Leukemia Prolymphocytic T-Cell | CD8A
36883805 | Positive_Correlation | Leukemia Prolymphocytic T-Cell | p.N642H
