38613283 | @CHEMICAL_Tungsten | Tungsten | 242 | 1 | Chemical | chemical | W
20012975 | @GENE_LILRA3 | LILRA3 | 149 | 4 | Gene | gene | ILT6
20012975 | @GENE_TNFRSF25 | TNFRSF25 | 179 | 3 | Gene | gene | DR3
20012975 | @DISEASE_Virus_Diseases | Virus Diseases | 273 | 16 | Disease | disease | viral infections
20012975 | @DISEASE_Sjogren's_Syndrome | Sjogren's Syndrome | 317 | 18 | Disease | disease | Sjogren's syndrome
20012975 | @DISEASE_Xerostomia | Xerostomia | 610 | 18 | Disease | disease | dry eyes and mouth
20012975 | @DISEASE_Sjogren's_Syndrome | Sjogren's Syndrome | 683 | 18 | Disease | disease | Sjogren's syndrome
20012975 | @DISEASE_Vasculitis | Vasculitis | 771 | 10 | Disease | disease | vasculitis
20012975 | @DISEASE_Polyneuropathies | Polyneuropathies | 783 | 14 | Disease | disease | polyneuropathy
20012975 | @DISEASE_Arthritis | Arthritis | 801 | 9 | Disease | disease | arthritis
20012975 | @DISEASE_Xerostomia | Xerostomia | 860 | 18 | Disease | disease | dry eyes and mouth
20012975 | @DISEASE_Sjogren's_Syndrome | Sjogren's Syndrome | 910 | 18 | Disease | disease | Sjogren's syndrome
20012975 | @DISEASE_Sjogren's_Syndrome | Sjogren's Syndrome | 1056 | 18 | Disease | disease | Sjogren's syndrome
20012975 | @DISEASE_Sjogren's_Syndrome | Sjogren's Syndrome | 1089 | 14 | Disease | disease | sicca syndrome
20012975 | @GENE_TRIM21 | TRIM21 | 1177 | 4 | Gene | gene | SS-A
20012975 | @GENE_SSB | SSB | 1191 | 4 | Gene | gene | SS-B
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 14 | 19 | Disease | disease | melanoma metastases
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 220 | 10 | Disease | disease | metastases
21964766 | @DISEASE_Melanoma | Melanoma | 281 | 8 | Disease | disease | melanoma
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 437 | 19 | Disease | disease | melanoma metastases
21964766 | @GENE_STAT1 | STAT1 | 598 | 6 | Gene | gene | STAT-1
21964766 | @GENE_IRF1 | IRF1 | 605 | 5 | Gene | gene | IRF-1
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 634 | 10 | Disease | disease | metastases
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 690 | 10 | Disease | disease | metastases
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 891 | 10 | Disease | disease | metastases
21964766 | @GENE_HLA_A | HLA-A | 939 | 13 | Gene | gene | HLA-A,B and C
21964766 | @GENE_HLA_A | HLA-A | 1008 | 3 | Gene | gene | HLA
21964766 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1057 | 10 | Disease | disease | metastases
21964766 | @DISEASE_Melanoma | Melanoma | 1105 | 8 | Disease | disease | melanoma
21964766 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1263 | 17 | Disease | disease | graft versus host
21964766 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1284 | 18 | Disease | disease | autoimmune disease
21964766 | @DISEASE_Neoplasms | Neoplasms | 1492 | 5 | Disease | disease | tumor
21964766 | @GENE_HLA_A | HLA-A | 1612 | 3 | Gene | gene | HLA
21966340 | @DISEASE_Soft_Tissue_Injuries | Soft Tissue Injuries | 500 | 15 | Disease | disease | tissue injuries
21966340 | @GENE_THY1 | THY1 | 960 | 4 | Gene | gene | CD90
21966340 | @GENE_CD44 | CD44 | 966 | 4 | Gene | gene | CD44
21966340 | @GENE_NT5E | NT5E | 972 | 4 | Gene | gene | CD73
21966340 | @GENE_ITGB1 | ITGB1 | 978 | 4 | Gene | gene | CD29
21966340 | @GENE_ANPEP | ANPEP | 984 | 4 | Gene | gene | CD13
21966340 | @GENE_CD34 | CD34 | 990 | 4 | Gene | gene | CD34
21966340 | @GENE_MCAM | MCAM | 996 | 5 | Gene | gene | CD146
21966340 | @GENE_VCAM1 | VCAM1 | 1003 | 5 | Gene | gene | CD106
21966340 | @GENE_ICAM1 | ICAM1 | 1010 | 4 | Gene | gene | CD54
21966340 | @GENE_ALCAM | ALCAM | 1019 | 5 | Gene | gene | CD166
21966340 | @GENE_CD34 | CD34 | 1076 | 4 | Gene | gene | CD34
21966340 | @GENE_CD14 | CD14 | 1082 | 4 | Gene | gene | CD14
21966340 | @GENE_PTPRC | PTPRC | 1088 | 4 | Gene | gene | CD45
21966340 | @GENE_ITGAM | ITGAM | 1094 | 5 | Gene | gene | CD11b
21966340 | @GENE_ITGA4 | ITGA4 | 1101 | 5 | Gene | gene | CD49d
21966340 | @GENE_VCAM1 | VCAM1 | 1108 | 5 | Gene | gene | CD106
21966340 | @GENE_MME | MME | 1115 | 4 | Gene | gene | CD10
21966340 | @GENE_PECAM1 | PECAM1 | 1124 | 4 | Gene | gene | CD31
21966340 | @GENE_HLA_A | HLA-A | 1202 | 5 | Gene | gene | HLA-A
21966340 | @GENE_HLA_B | HLA-B | 1209 | 5 | Gene | gene | HLA-B
21966340 | @GENE_HLA_C | HLA-C | 1216 | 5 | Gene | gene | HLA-C
21966340 | @GENE_SRPRA | SRPRA | 1238 | 2 | Gene | gene | DP
21966340 | @GENE_MUC1 | MUC1 | 1242 | 3 | Gene | gene | EMA
21966340 | @GENE_POU5F1 | POU5F1 | 1273 | 5 | Gene | gene | Oct 4
21966340 | @GENE_NANOG | NANOG | 1288 | 5 | Gene | gene | Nanog
21966340 | @GENE_SOX2 | SOX2 | 1295 | 5 | Gene | gene | Sox-2
21966340 | @GENE_TERT | TERT | 1302 | 4 | Gene | gene | TERT
21966340 | @GENE_STAT3 | STAT3 | 1308 | 6 | Gene | gene | Stat-3
21966340 | @GENE_VIM | VIM | 1371 | 8 | Gene | gene | vimentin
21966340 | @GENE_ITGA4 | ITGA4 | 1381 | 33 | Gene | gene | integrin subunits alpha4, alpha5,
21966340 | @GENE_MS4A1 | MS4A1 | 1415 | 5 | Gene | gene | beta1
21966340 | @GENE_ICAM1 | ICAM1 | 1464 | 6 | Gene | gene | ICAM-1
21968657 | @GENE_STAT1 | STAT1 | 28 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 109 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_STAT1 | STAT1 | 193 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 203 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_EIF2AK2 | EIF2AK2 | 331 | 3 | Gene | gene | PKR
21968657 | @GENE_MAPK14 | MAPK14 | 340 | 3 | Gene | gene | p38
21968657 | @GENE_STAT1 | STAT1 | 347 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 448 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_HLA_B | HLA-B | 467 | 7 | Gene | gene | HLA-B27
21968657 | @DISEASE_Enterocolitis_Pseudomembranous | Enterocolitis Pseudomembranous | 596 | 10 | Disease | disease | antibiotic
21968657 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 654 | 25 | Chemical | chemical | Phorbol myristate acetate
21968657 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 722 | 18 | Chemical | chemical | lipopolysaccharide
21968657 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 742 | 3 | Chemical | chemical | LPS
21968657 | @GENE_STAT1 | STAT1 | 833 | 6 | Gene | gene | STAT-1
21968657 | @GENE_EIF2AK2 | EIF2AK2 | 970 | 3 | Gene | gene | PKR
21968657 | @GENE_MAPK14 | MAPK14 | 978 | 3 | Gene | gene | p38
21968657 | @GENE_STAT1 | STAT1 | 985 | 6 | Gene | gene | STAT-1
21968657 | @GENE_STAT1 | STAT1 | 1018 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 1097 | 7 | Gene | gene | HLA-B27
21968657 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1193 | 3 | Chemical | chemical | LPS
21968657 | @GENE_HLA_B | HLA-B | 1263 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_STAT1 | STAT1 | 1330 | 6 | Gene | gene | STAT-1
21968657 | @GENE_EIF2AK2 | EIF2AK2 | 1354 | 3 | Gene | gene | PKR
21968657 | @GENE_STAT1 | STAT1 | 1393 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 1460 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_STAT1 | STAT1 | 1551 | 6 | Gene | gene | STAT-1
21968657 | @GENE_IFNA1 | IFNA1 | 1582 | 10 | Gene | gene | interferon
21968657 | @GENE_IFNA1 | IFNA1 | 1594 | 3 | Gene | gene | IFN
21968657 | @GENE_IFNA1 | IFNA1 | 1701 | 3 | Gene | gene | IFN
21968657 | @GENE_STAT1 | STAT1 | 1739 | 6 | Gene | gene | STAT-1
21968657 | @GENE_HLA_B | HLA-B | 1766 | 7 | Gene | gene | HLA-B27
21968657 | @GENE_MRAP | MRAP | 1835 | 3 | Gene | gene | B27
21968657 | @GENE_STAT1 | STAT1 | 1936 | 6 | Gene | gene | STAT-1
21968657 | @DISEASE_Inflammation | Inflammation | 1972 | 12 | Disease | disease | inflammatory
22140419 | @DISEASE_Diabetes_Mellitus_Noninsulin_Dependent_1 | Diabetes Mellitus Noninsulin-Dependent 1 | 77 | 15 | Disease | disease | TYPE 1 DIABETES
22140419 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1380 | 15 | Disease | disease | type 1 diabetes
22140419 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1446 | 3 | Disease | disease | T1D
22140419 | @GENE_PTPN22 | PTPN22 | 1478 | 6 | Gene | gene | PTPN22
22140419 | @GENE_CTLA4 | CTLA4 | 1486 | 5 | Gene | gene | CTLA4
22140419 | @GENE_HLA_C | HLA-C | 1493 | 3 | Gene | gene | MHC
22140419 | @GENE_IL2RA | IL2RA | 1502 | 5 | Gene | gene | IL2RA
22140419 | @GENE_HLA_C | HLA-C | 1675 | 3 | Gene | gene | MHC
22140419 | @GENE_HLA_C | HLA-C | 1716 | 3 | Gene | gene | MHC
22140419 | @GENE_HLA_A | HLA-A | 1923 | 5 | Gene | gene | HLA-A
22140419 | @GENE_HLA_B | HLA-B | 1930 | 5 | Gene | gene | HLA-B
22140419 | @GENE_DDX39B | DDX39B | 1960 | 4 | Gene | gene | BAT1
22140419 | @GENE_PRSS16 | PRSS16 | 2023 | 6 | Gene | gene | PRSS16
22140419 | @GENE_ZNF184 | ZNF184 | 2031 | 6 | Gene | gene | ZNF184
22140419 | @GENE_HLA_C | HLA-C | 2054 | 3 | Gene | gene | MHC
23349666 | @GENE_STAT1 | STAT1 | 19 | 6 | Gene | gene | STAT-1
23349666 | @GENE_HLA_B | HLA-B | 53 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_HLA_B | HLA-B | 113 | 7 | Gene | gene | HLA-B27
23349666 | @DISEASE_Rheumatic_Diseases | Rheumatic Diseases | 161 | 18 | Disease | disease | rheumatic diseases
23349666 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 187 | 19 | Disease | disease | spondyloarthritides
23349666 | @GENE_HLA_B | HLA-B | 258 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_HLA_B | HLA-B | 346 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_STAT1 | STAT1 | 387 | 50 | Gene | gene | signal transducer and activator of transcription 1
23349666 | @GENE_STAT1 | STAT1 | 439 | 6 | Gene | gene | STAT-1
23349666 | @GENE_STAT1 | STAT1 | 490 | 6 | Gene | gene | STAT-1
23349666 | @GENE_EIF2AK2 | EIF2AK2 | 598 | 44 | Gene | gene | double-stranded RNA activated protein kinase
23349666 | @GENE_EIF2AK2 | EIF2AK2 | 644 | 3 | Gene | gene | PKR
23349666 | @GENE_HLA_B | HLA-B | 746 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_HLA_B | HLA-B | 765 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_STAT1 | STAT1 | 970 | 6 | Gene | gene | STAT-1
23349666 | @GENE_STAT1 | STAT1 | 1015 | 6 | Gene | gene | STAT-1
23349666 | @GENE_EIF2AK2 | EIF2AK2 | 1120 | 3 | Gene | gene | PKR
23349666 | @GENE_STAT1 | STAT1 | 1127 | 6 | Gene | gene | STAT-1
23349666 | @GENE_STAT1 | STAT1 | 1193 | 6 | Gene | gene | STAT-1
23349666 | @GENE_HLA_B | HLA-B | 1264 | 7 | Gene | gene | HLA-B27
23349666 | @DISEASE_Infections | Infections | 1278 | 24 | Disease | disease | S. enteritidis infection
23349666 | @GENE_HLA_B | HLA-B | 1374 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_STAT1 | STAT1 | 1445 | 6 | Gene | gene | STAT-1
23349666 | @GENE_EIF2AK2 | EIF2AK2 | 1502 | 3 | Gene | gene | PKR
23349666 | @GENE_STAT1 | STAT1 | 1525 | 6 | Gene | gene | STAT-1
23349666 | @GENE_HLA_B | HLA-B | 1563 | 7 | Gene | gene | HLA-B27
23349666 | @GENE_STAT1 | STAT1 | 1711 | 6 | Gene | gene | STAT-1
23349666 | @GENE_HLA_B | HLA-B | 1753 | 7 | Gene | gene | HLA-B27
23349666 | @DISEASE_Bacterial_Infections | Bacterial Infections | 1809 | 19 | Disease | disease | bacterial infection
23349666 | @GENE_STAT1 | STAT1 | 1893 | 6 | Gene | gene | STAT-1
23349666 | @DISEASE_Inflammation | Inflammation | 1964 | 12 | Disease | disease | inflammatory
23349666 | @GENE_HLA_B | HLA-B | 2071 | 7 | Gene | gene | HLA-B27
23349666 | @DISEASE_Salmonella_Infections | Salmonella Infections | 2113 | 20 | Disease | disease | Salmonella infection
23349666 | @DISEASE_Arthritis_Reactive | Arthritis Reactive | 2138 | 18 | Disease | disease | reactive arthritis
27480135 | @GENE_TNF | TNF | 81 | 27 | Gene | gene | Tumor Necrosis Factor Alpha
27480135 | @GENE_TNF | TNF | 170 | 9 | Gene | gene | TNF-alpha
27480135 | @DISEASE_Muscular_Atrophy | Muscular Atrophy | 193 | 14 | Disease | disease | muscle wasting
27480135 | @DISEASE_Cachexia | Cachexia | 212 | 8 | Disease | disease | cachexia
27480135 | @GENE_TNF | TNF | 325 | 9 | Gene | gene | TNF-alpha
27480135 | @GENE_TNF | TNF | 461 | 9 | Gene | gene | TNF-alpha
27480135 | @GENE_TNF | TNF | 671 | 9 | Gene | gene | TNF-alpha
27480135 | @GENE_TNF | TNF | 961 | 9 | Gene | gene | TNF-alpha
27480135 | @GENE_MYOD1 | MYOD1 | 1099 | 4 | Gene | gene | MYOD
27480135 | @GENE_MYOG | MYOG | 1108 | 8 | Gene | gene | myogenin
27480135 | @GENE_NFKB1 | NFKB1 | 1243 | 9 | Gene | gene | NF-kappaB
27480135 | @GENE_TNF | TNF | 1330 | 9 | Gene | gene | TNF-alpha
27480135 | @GENE_HLA_A | HLA-A | 1392 | 5 | Gene | gene | HLA-A
27480135 | @GENE_HLA_B | HLA-B | 1399 | 5 | Gene | gene | HLA-B
27480135 | @GENE_HLA_C | HLA-C | 1406 | 5 | Gene | gene | HLA-C
27480135 | @GENE_HLA_G | HLA-G | 1417 | 20 | Gene | gene | beta-2-microglobulin
27480135 | @GENE_TNF | TNF | 1488 | 9 | Gene | gene | TNF-alpha
27480135 | @CHEMICAL_Cholesterol | Cholesterol | 1532 | 11 | Chemical | chemical | cholesterol
27480135 | @GENE_TNF | TNF | 1646 | 9 | Gene | gene | TNF-alpha
27480135 | @CHEMICAL_Cholesterol | Cholesterol | 1872 | 11 | Chemical | chemical | cholesterol
27480135 | @DISEASE_Myocardial_Infarction | Myocardial Infarction | 1917 | 21 | Disease | disease | myocardial infarction
27480135 | @GENE_TNF | TNF | 2266 | 9 | Gene | gene | TNF-alpha
29095668 | @GENE_H2AZ2 | H2AZ2 | 69 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_H2AZ2 | H2AZ2 | 316 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_H2AZ2 | H2AZ2 | 602 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_H2AZ2 | H2AZ2 | 666 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_H2AZ2 | H2AZ2 | 741 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_PIAS4 | PIAS4 | 803 | 5 | Gene | gene | PIAS4
29095668 | @GENE_PIAS4 | PIAS4 | 820 | 5 | Gene | gene | PIAS4
29095668 | @GENE_H2AZ2 | H2AZ2 | 880 | 7 | Gene | gene | H2A.Z-2
29095668 | @GENE_PIAS4 | PIAS4 | 942 | 5 | Gene | gene | PIAS4
29095668 | @GENE_H2AZ2 | H2AZ2 | 995 | 7 | Gene | gene | H2A.Z-2
30046007 | @DISEASE_Oropharyngeal_Neoplasms | Oropharyngeal Neoplasms | 87 | 20 | Disease | disease | oropharyngeal cancer
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 164 | 38 | Disease | disease | oropharyngeal squamous cell carcinomas
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 204 | 6 | Disease | disease | OPSCCs
30046007 | @CHEMICAL_Platinum | Platinum | 247 | 8 | Chemical | chemical | platinum
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 329 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 415 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Head_and_Neck_Neoplasms | Head and Neck Neoplasms | 477 | 21 | Disease | disease | head and neck cancers
30046007 | @DISEASE_Head_and_Neck_Neoplasms | Head and Neck Neoplasms | 500 | 4 | Disease | disease | HNCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 665 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 766 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 796 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 849 | 6 | Disease | disease | OPSCCs
30046007 | @GENE_KMT2D | KMT2D | 866 | 5 | Gene | gene | KMT2D
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 935 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 989 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1031 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1104 | 6 | Disease | disease | OPSCCs
30046007 | @GENE_TSC2 | TSC2 | 1140 | 4 | Gene | gene | TSC2
30046007 | @GENE_BRIP1 | BRIP1 | 1146 | 5 | Gene | gene | BRIP1
30046007 | @GENE_NBN | NBN | 1153 | 3 | Gene | gene | NBN
30046007 | @GENE_NFE2L2 | NFE2L2 | 1162 | 6 | Gene | gene | NFE2L2
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1199 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1287 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Head_and_Neck_Neoplasms | Head and Neck Neoplasms | 1338 | 4 | Disease | disease | HNCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1452 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Head_and_Neck_Neoplasms | Head and Neck Neoplasms | 1505 | 4 | Disease | disease | HNCs
30046007 | @GENE_TP53 | TP53 | 1541 | 4 | Gene | gene | TP53
30046007 | @GENE_CASP8 | CASP8 | 1547 | 5 | Gene | gene | CASP8
30046007 | @GENE_FAT1 | FAT1 | 1554 | 4 | Gene | gene | FAT1
30046007 | @GENE_HLA_A | HLA-A | 1560 | 5 | Gene | gene | HLA-A
30046007 | @GENE_AJUBA | AJUBA | 1567 | 5 | Gene | gene | AJUBA
30046007 | @GENE_NSD1 | NSD1 | 1578 | 4 | Gene | gene | NSD1
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1645 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1707 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 1738 | 6 | Disease | disease | OPSCCs
30046007 | @DISEASE_Head_and_Neck_Neoplasms | Head and Neck Neoplasms | 1786 | 4 | Disease | disease | HNCs
30046007 | @DISEASE_Neoplasms | Neoplasms | 1923 | 6 | Disease | disease | Cancer
30046007 | @DISEASE_Neoplasms | Neoplasms | 2096 | 5 | Disease | disease | Tumor
30046007 | @DISEASE_Neoplasms | Neoplasms | 2128 | 6 | Disease | disease | Cancer
30046007 | @DISEASE_Neoplasms | Neoplasms | 2195 | 6 | Disease | disease | Cancer
30487281 | @GENE_CD8A | CD8A | 150 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Neonatal_herpes | Neonatal herpes | 198 | 6 | Disease | disease | Herpes
30487281 | @DISEASE_Corneal_Diseases | Corneal Diseases | 327 | 17 | Disease | disease | corneal blindness
30487281 | @GENE_CD8A | CD8A | 359 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Herpesviridae_Infections | Herpesviridae Infections | 385 | 25 | Disease | disease | herpesvirus infection and
30487281 | @GENE_CD8A | CD8A | 488 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Infections | Infections | 593 | 8 | Disease | disease | infected
30487281 | @DISEASE_Encephalitis_Herpes_Simplex | Encephalitis Herpes Simplex | 635 | 16 | Disease | disease | herpetic disease
30487281 | @GENE_CD8A | CD8A | 824 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Encephalitis_Herpes_Simplex | Encephalitis Herpes Simplex | 1071 | 16 | Disease | disease | herpetic disease
30487281 | @GENE_CD8A | CD8A | 1222 | 3 | Gene | gene | CD8
30487281 | @GENE_SELP | SELP | 1430 | 8 | Gene | gene | CD62Llow
30487281 | @GENE_CD8A | CD8A | 1448 | 3 | Gene | gene | CD8
30487281 | @GENE_SELP | SELP | 1548 | 9 | Gene | gene | CD62Lhigh
30487281 | @GENE_CD8A | CD8A | 1567 | 3 | Gene | gene | CD8
30487281 | @GENE_CD8A | CD8A | 1672 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Keratitis_Herpetic | Keratitis Herpetic | 1767 | 13 | Disease | disease | ocular herpes
30487281 | @DISEASE_Encephalitis_Herpes_Simplex | Encephalitis Herpes Simplex | 1944 | 16 | Disease | disease | herpetic disease
30487281 | @DISEASE_Encephalitis_Herpes_Simplex | Encephalitis Herpes Simplex | 2054 | 16 | Disease | disease | herpetic disease
30487281 | @DISEASE_Encephalitis_Herpes_Simplex | Encephalitis Herpes Simplex | 2152 | 23 | Disease | disease | ocular herpetic disease
30487281 | @GENE_CD8A | CD8A | 2271 | 3 | Gene | gene | CD8
30487281 | @GENE_CD8A | CD8A | 2403 | 3 | Gene | gene | CD8
30487281 | @GENE_CD8A | CD8A | 2521 | 3 | Gene | gene | CD8
30487281 | @GENE_CD8A | CD8A | 2548 | 3 | Gene | gene | CD8
30487281 | @GENE_IFNA1 | IFNA1 | 2672 | 3 | Gene | gene | IFN
30487281 | @GENE_CD8A | CD8A | 2814 | 3 | Gene | gene | CD8
30487281 | @DISEASE_Keratitis_Herpetic | Keratitis Herpetic | 2922 | 13 | Disease | disease | ocular herpes
30619313 | @GENE_MTOR | MTOR | 21 | 4 | Gene | gene | mTOR
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 36 | 9 | Chemical | chemical | Sirolimus
30619313 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 137 | 31 | Disease | disease | Cytomegalovirus (CMV) infection
30619313 | @GENE_MTOR | MTOR | 325 | 29 | Gene | gene | mammalian target of rapamycin
30619313 | @GENE_MTOR | MTOR | 356 | 4 | Gene | gene | mTOR
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 378 | 9 | Chemical | chemical | sirolimus
30619313 | @DISEASE_Cytomegalovirus_Infections | Cytomegalovirus Infections | 415 | 17 | Disease | disease | CMV complications
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 504 | 9 | Chemical | chemical | sirolimus
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 633 | 9 | Chemical | chemical | sirolimus
30619313 | @GENE_CD28 | CD28 | 694 | 4 | Gene | gene | CD28
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 887 | 9 | Chemical | chemical | sirolimus
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 952 | 9 | Chemical | chemical | Sirolimus
30619313 | @GENE_IFNG | IFNG | 1155 | 16 | Gene | gene | interferon-gamma
30619313 | @GENE_IFNG | IFNG | 1173 | 9 | Gene | gene | IFN-gamma
30619313 | @GENE_GZMB | GZMB | 1185 | 10 | Gene | gene | granzyme B
30619313 | @GENE_GZMB | GZMB | 1197 | 3 | Gene | gene | GzB
30619313 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1335 | 15 | Gene | gene | T-cell receptor
30619313 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1352 | 3 | Gene | gene | TCR
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 1444 | 9 | Chemical | chemical | sirolimus
30619313 | @GENE_IL2RB | IL2RB | 1549 | 13 | Gene | gene | IL-2 receptor
30619313 | @GENE_IL2RB | IL2RB | 1564 | 5 | Gene | gene | IL-2R
30619313 | @GENE_STAT5A | STAT5A | 1578 | 50 | Gene | gene | signal transducer and activator of transcription-5
30619313 | @GENE_STAT5A | STAT5A | 1630 | 6 | Gene | gene | STAT-5
30619313 | @GENE_MTOR | MTOR | 1654 | 4 | Gene | gene | mTOR
30619313 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1756 | 3 | Gene | gene | TCR
30619313 | @CHEMICAL_Sirolimus | Sirolimus | 1813 | 9 | Chemical | chemical | sirolimus
31237117 | @GENE_HLA_A | HLA-A | 88 | 11 | Gene | gene | HLA-A, B, C
31237117 | @GENE_HLA_DRB1 | HLA-DRB1 | 101 | 4 | Gene | gene | DRB1
31237117 | @GENE_CD19 | CD19 | 112 | 5 | Gene | gene | B4/B5
31237117 | @GENE_HLA_DQA1 | HLA-DQA1 | 119 | 4 | Gene | gene | DQA1
31237117 | @GENE_HLA_DQB1 | HLA-DQB1 | 125 | 4 | Gene | gene | DQB1
