38011559 | @GENE_PIKFYVE | Pikfyve | 27 | 7 | Gene | gene | PIKfyve
8799160 | @GENE_PSMB7 | Psmb7 | 853 | 5 | Gene | gene | Psmb7
8799160 | @GENE_PSMB7 | Psmb7 | 957 | 5 | Gene | gene | Psmb7
9300697 | @GENE_IFNG | Ifng | 99 | 9 | Gene | gene | IFN-gamma
9300697 | @GENE_IFNG | Ifng | 337 | 9 | Gene | gene | IFN-gamma
9300697 | @GENE_HLA_C | HLA-C | 352 | 3 | Gene | gene | MHC
9300697 | @GENE_PSMB9 | Psmb9 | 374 | 20 | Gene | gene | low Mr polypeptide 2
9300697 | @GENE_PSMB9 | Psmb9 | 396 | 4 | Gene | gene | LMP2
9300697 | @GENE_PSMB8 | Psmb8 | 406 | 4 | Gene | gene | LMP7
9300697 | @GENE_PSMB9 | Psmb9 | 576 | 4 | Gene | gene | LMP2
9300697 | @GENE_PSMB8 | Psmb8 | 587 | 4 | Gene | gene | LMP7
9300697 | @GENE_PSMB10 | Psmb10 | 681 | 11 | Gene | gene | MECL1 and Z
9300697 | @GENE_PSMB10 | Psmb10 | 828 | 6 | Gene | gene | Psmb10
9300697 | @GENE_PSMB7 | Psmb7 | 839 | 5 | Gene | gene | Psmb7
9300697 | @GENE_PSMB10 | Psmb10 | 862 | 11 | Gene | gene | MECL1 and Z
9300697 | @GENE_PSMB10 | Psmb10 | 1078 | 6 | Gene | gene | Psmb10
9300697 | @GENE_PSMB7 | Psmb7 | 1089 | 5 | Gene | gene | Psmb7
9300697 | @GENE_IFNG | Ifng | 1165 | 10 | Gene | gene | IFN-gamma-
9300697 | @GENE_PSMB10 | Psmb10 | 1258 | 6 | Gene | gene | Psmb10
9300697 | @GENE_PSMB7 | Psmb7 | 1269 | 5 | Gene | gene | Psmb7
9300697 | @GENE_PSMB10 | Psmb10 | 1358 | 6 | Gene | gene | Psmb10
9300697 | @GENE_PSMB10 | Psmb10 | 1493 | 6 | Gene | gene | Psmb10
9300697 | @GENE_HLA_C | HLA-C | 1544 | 3 | Gene | gene | MHC
9300697 | @GENE_PSMB7 | Psmb7 | 1588 | 5 | Gene | gene | Psmb7
9300697 | @GENE_PSMB7_PS1 | Psmb7-ps1 | 1679 | 8 | Gene | gene | Psmb7-ps
9311996 | @GENE_PSMA4 | Psma4 | 352 | 5 | Gene | gene | PSMA4
9311996 | @GENE_PSMA3 | Psma3 | 478 | 5 | Gene | gene | PSMA3
9311996 | @GENE_PSMB9 | Psmb9 | 493 | 5 | Gene | gene | PSMB9
9311996 | @GENE_PSMB9 | Psmb9 | 500 | 4 | Gene | gene | LMP2
9311996 | @GENE_PSMB2 | Psmb2 | 1093 | 5 | Gene | gene | PSMB2
9311996 | @GENE_PSMB3 | Psmb3 | 1107 | 5 | Gene | gene | PSMB3
9311996 | @GENE_CCL6 | Ccl6 | 1114 | 3 | Gene | gene | C10
9311996 | @GENE_PSMB7 | Psmb7 | 1123 | 5 | Gene | gene | PSMB7
9311996 | @GENE_PSMB9 | PSMB9 | 1134 | 5 | Gene | gene | PSMB9
9311996 | @GENE_PSMB9 | PSMB9 | 1141 | 4 | Gene | gene | LMP2
9311996 | @GENE_PSMB10 | Psmb10 | 1151 | 6 | Gene | gene | PSMB10
9311996 | @GENE_PSMB1 | Psmb1 | 1200 | 5 | Gene | gene | PSMB1
9311996 | @GENE_PSMB6 | Psmb6 | 1212 | 5 | Gene | gene | PSMB6
9311996 | @GENE_PSMB8 | Psmb8 | 1231 | 5 | Gene | gene | PSMB8
9311996 | @GENE_PSMB8 | Psmb8 | 1238 | 4 | Gene | gene | LMP7
9311996 | @GENE_IFNG | Ifng | 1444 | 16 | Gene | gene | interferon-gamma
9382924 | @GENE_PSMB5 | Psmb5 | 62 | 5 | Gene | gene | Psmb5
9382924 | @GENE_IFNG | Ifng | 353 | 16 | Gene | gene | interferon-gamma
9382924 | @GENE_IFNG | Ifng | 371 | 9 | Gene | gene | IFN-gamma
9382924 | @GENE_PSMB9 | Psmb9 | 420 | 4 | Gene | gene | LMP2
9382924 | @GENE_PSMB8 | Psmb8 | 426 | 4 | Gene | gene | LMP7
9382924 | @GENE_PSMB10 | Psmb10 | 436 | 6 | Gene | gene | PSMB10
9382924 | @GENE_PSMB6 | Psmb6 | 546 | 5 | Gene | gene | PSMB6
9382924 | @GENE_PSMB5 | Psmb5 | 553 | 5 | Gene | gene | PSMB5
9382924 | @GENE_PSMB7 | Psmb7 | 564 | 5 | Gene | gene | PSMB7
9382924 | @GENE_PSMB5 | Psmb5 | 826 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB5 | Psmb5 | 848 | 5 | Gene | gene | PSMB5
9382924 | @GENE_PSMB5 | Psmb5 | 863 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB8 | Psmb8 | 1058 | 4 | Gene | gene | Lmp7
9382924 | @GENE_PSMB5 | Psmb5 | 1074 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB5 | Psmb5 | 1158 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB5 | Psmb5 | 1296 | 5 | Gene | gene | PSMB5
9382924 | @GENE_PSMB5 | Psmb5 | 1386 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB5_PS | Psmb5-ps | 1458 | 8 | Gene | gene | Psmb5-ps
9382924 | @GENE_PSMB5 | Psmb5 | 1512 | 5 | Gene | gene | Psmb5
9382924 | @GENE_BCL2L2 | Bcl2l2 | 1536 | 7 | Gene | gene | Gtrgal2
9382924 | @GENE_PSMB5_PS | Psmb5-ps | 1576 | 8 | Gene | gene | Psmb5-ps
9382924 | @GENE_PSME3 | Psme3 | 1619 | 5 | Gene | gene | Psme3
9382924 | @GENE_PSMB5 | Psmb5 | 1739 | 5 | Gene | gene | Psmb5
9382924 | @GENE_PSMB5_PS | Psmb5-ps | 1792 | 8 | Gene | gene | Psmb5-ps
10453006 | @GENE_SI:BUSM1_37I06.4 | si:busm1-37i06.4 | 628 | 17 | Gene | gene | MHC (Mhc) class I
10453006 | @GENE_TAP2C | tap2c | 718 | 4 | Gene | gene | TAP2
10453006 | @GENE_PSMB5 | PSMB5 | 853 | 5 | Gene | gene | PSMB5
10453006 | @GENE_PSMB9 | PSMB9 | 867 | 5 | Gene | gene | PSMB9
10453006 | @GENE_PSMB11 | PSMB11 | 889 | 6 | Gene | gene | PSMB11
10453006 | @GENE_SI:BUSM1_37I06.4 | si:busm1-37i06.4 | 1358 | 11 | Gene | gene | Mhc class I
12851310 | @GENE_NR5A1 | Nr5a1 | 22 | 22 | Gene | gene | steroidogenic factor 1
12851310 | @DISEASE_ACTH_Deficiency_Isolated | ACTH Deficiency Isolated | 61 | 24 | Disease | disease | ACTH receptor deficiency
12851310 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 147 | 20 | Disease | disease | adrenocortical tumor
12851310 | @GENE_POMC | Pomc | 240 | 4 | Gene | gene | ACTH
12851310 | @GENE_MC2R | Mc2r | 296 | 13 | Gene | gene | ACTH receptor
12851310 | @GENE_MC2R | Mc2r | 311 | 4 | Gene | gene | MC2R
12851310 | @GENE_NR5A1 | Nr5a1 | 412 | 22 | Gene | gene | steroidogenic factor 1
12851310 | @GENE_NR5A1 | Nr5a1 | 436 | 3 | Gene | gene | SF1
12851310 | @GENE_MC2R | Mc2r | 448 | 4 | Gene | gene | MC2R
12851310 | @GENE_POMC | Pomc | 492 | 4 | Gene | gene | ACTH
12851310 | @GENE_SF1 | Sf1 | 550 | 3 | Gene | gene | Sf1
12851310 | @VARIANT_p.A172S_SF1_human | p.A172S | 568 | 31 | Variant | variant | Ser at codon 172 instead of Ala
12851310 | @GENE_SF1 | Sf1 | 641 | 3 | Gene | gene | Sf1
12851310 | @GENE_NR6A1 | Nr6a1 | 743 | 24 | Gene | gene | germ cell nuclear factor
12851310 | @GENE_PSMB7 | Psmb7 | 805 | 5 | Gene | gene | Psmb7
12851310 | @GENE_NR5A1 | Nr5a1 | 812 | 3 | Gene | gene | SF1
12851310 | @GENE_NR5A1 | Nr5a1 | 826 | 3 | Gene | gene | SF1
12851310 | @GENE_NR5A1 | Nr5a1 | 899 | 3 | Gene | gene | SF1
12851310 | @GENE_NR5A1 | Nr5a1 | 951 | 3 | Gene | gene | SF1
12851310 | @GENE_MC2R | Mc2r | 1012 | 4 | Gene | gene | MC2R
12851310 | @GENE_SF1 | Sf1 | 1042 | 3 | Gene | gene | Sf1
12851310 | @GENE_POMC | Pomc | 1085 | 4 | Gene | gene | ACTH
12851310 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 1119 | 20 | Disease | disease | adrenocortical tumor
17521679 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 227 | 10 | Disease | disease | toxicities
17521679 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 307 | 21 | Disease | disease | degenerative diseases
17521679 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 451 | 8 | Disease | disease | toxicity
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 618 | 24 | Chemical | chemical | 3H-1,2-dithiole-3-thione
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 644 | 3 | Chemical | chemical | D3T
17521679 | @DISEASE_Neoplasms | Neoplasms | 684 | 6 | Disease | disease | cancer
17521679 | @GENE_PSMB5 | Psmb5 | 783 | 5 | Gene | gene | PSMB5
17521679 | @GENE_PSMB6 | Psmb6 | 790 | 5 | Gene | gene | PSMB6
17521679 | @GENE_PSMB7 | Psmb7 | 801 | 5 | Gene | gene | PSMB7
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 887 | 3 | Chemical | chemical | D3T
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 1049 | 3 | Chemical | chemical | D3T
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 1259 | 3 | Chemical | chemical | D3T
17521679 | @CHEMICAL_1_2_dithiol_3_thione | 1 2-dithiol-3-thione | 1307 | 3 | Chemical | chemical | D3T
17521679 | @DISEASE_Neuroblastoma | Neuroblastoma | 1328 | 13 | Disease | disease | neuroblastoma
17521679 | @DISEASE_Protein_Aggregation_Pathological | Protein Aggregation Pathological | 1676 | 36 | Disease | disease | protein aggregate-mediated disorders
19394698 | @CHEMICAL_Glucans | Glucans | 810 | 6 | Chemical | chemical | Glucan
19394698 | @CHEMICAL_Poly_I_C | Poly I-C | 821 | 8 | Chemical | chemical | Poly I:C
25194880 | @GENE_RCAN1 | Rcan1 | 47 | 26 | Gene | gene | regulator of calcineurin 1
25194880 | @GENE_PSMA5 | Psma5 | 111 | 31 | Gene | gene | proteasome subunit alpha type-5
25194880 | @GENE_PSMB7 | Psmb7 | 147 | 30 | Gene | gene | proteasome subunit beta type-7
25194880 | @DISEASE_Down_Syndrome | Down Syndrome | 196 | 13 | Disease | disease | Down syndrome
25194880 | @DISEASE_Down_Syndrome | Down Syndrome | 211 | 2 | Disease | disease | DS
25194880 | @DISEASE_Alzheimer_Disease | Alzheimer Disease | 286 | 19 | Disease | disease | Alzheimer's disease
25194880 | @DISEASE_Alzheimer_Disease | Alzheimer Disease | 307 | 2 | Disease | disease | AD
25194880 | @DISEASE_Plaque_Amyloid | Plaque Amyloid | 337 | 16 | Disease | disease | neuritic plaques
25194880 | @DISEASE_Diffuse_Neurofibrillary_Tangles_with_Calcification | Diffuse Neurofibrillary Tangles with Calcification | 355 | 23 | Disease | disease | neurofibrillary tangles
25194880 | @DISEASE_Nerve_Degeneration | Nerve Degeneration | 384 | 13 | Disease | disease | neuronal loss
25194880 | @DISEASE_Plaque_Amyloid | Plaque Amyloid | 444 | 16 | Disease | disease | neuritic plaques
25194880 | @GENE_RCAN1 | Rcan1 | 542 | 26 | Gene | gene | regulator of calcineurin 1
25194880 | @GENE_RCAN1 | Rcan1 | 570 | 5 | Gene | gene | RCAN1
25194880 | @DISEASE_Malformations_of_Cortical_Development_Group_I | Malformations of Cortical Development Group I | 654 | 18 | Disease | disease | neuronal apoptosis
25194880 | @DISEASE_Alzheimer_Disease | Alzheimer Disease | 708 | 2 | Disease | disease | AD
25194880 | @DISEASE_Down_Syndrome | Down Syndrome | 727 | 2 | Disease | disease | DS
25194880 | @GENE_RCAN1 | Rcan1 | 815 | 5 | Gene | gene | RCAN1
25194880 | @GENE_PSMA5 | Psma5 | 947 | 31 | Gene | gene | proteasome subunit alpha type-5
25194880 | @GENE_PSMB7 | Psmb7 | 983 | 30 | Gene | gene | proteasome subunit beta type-7
25194880 | @GENE_RCAN1 | Rcan1 | 1071 | 5 | Gene | gene | RCAN1
25194880 | @GENE_RCAN1 | Rcan1 | 1104 | 5 | Gene | gene | RCAN1
25194880 | @DISEASE_Malformations_of_Cortical_Development_Group_I | Malformations of Cortical Development Group I | 1144 | 18 | Disease | disease | neuronal apoptosis
25194880 | @GENE_RCAN1 | Rcan1 | 1264 | 5 | Gene | gene | RCAN1
25194880 | @DISEASE_Malformations_of_Cortical_Development_Group_I | Malformations of Cortical Development Group I | 1279 | 18 | Disease | disease | neuronal apoptosis
25194880 | @GENE_RCAN1 | Rcan1 | 1406 | 5 | Gene | gene | RCAN1
25194880 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 1419 | 17 | Disease | disease | neurodegeneration
25194880 | @DISEASE_Alzheimer_Disease | Alzheimer Disease | 1441 | 2 | Disease | disease | AD
25194880 | @DISEASE_Down_Syndrome | Down Syndrome | 1460 | 2 | Disease | disease | DS
25194880 | @GENE_RCAN1 | Rcan1 | 1564 | 5 | Gene | gene | RCAN1
25194880 | @DISEASE_Alzheimer_Disease | Alzheimer Disease | 1587 | 2 | Disease | disease | AD
25194880 | @DISEASE_Down_Syndrome | Down Syndrome | 1594 | 2 | Disease | disease | DS
27226492 | @GENE_C17ORF49 | C17orf49 | 0 | 5 | Gene | gene | BAP18
27226492 | @GENE_AR | AR | 18 | 17 | Gene | gene | androgen receptor
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 56 | 15 | Disease | disease | prostate cancer
27226492 | @GENE_C17ORF49 | C17orf49 | 85 | 33 | Gene | gene | BPTF associated protein of 18 kDa
27226492 | @GENE_C17ORF49 | C17orf49 | 120 | 5 | Gene | gene | BAP18
27226492 | @GENE_KMT2A | KMT2A | 163 | 4 | Gene | gene | MLL1
27226492 | @GENE_WDR5 | WDR5 | 168 | 4 | Gene | gene | WDR5
27226492 | @GENE_C17ORF49 | C17orf49 | 191 | 5 | Gene | gene | BAP18
27226492 | @GENE_C17ORF49 | C17orf49 | 265 | 5 | Gene | gene | BAP18
27226492 | @GENE_AR | AR | 320 | 17 | Gene | gene | Androgen receptor
27226492 | @GENE_AR | AR | 339 | 2 | Gene | gene | AR
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 405 | 15 | Disease | disease | prostate cancer
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 422 | 3 | Disease | disease | PCa
27226492 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 431 | 36 | Disease | disease | castration-resistant prostate cancer
27226492 | @DISEASE_Prostatic_Neoplasms_Castration_Resistant | Prostatic Neoplasms Castration-Resistant | 469 | 4 | Disease | disease | CRPC
27226492 | @GENE_C17ORF49 | C17orf49 | 514 | 5 | Gene | gene | BAP18
27226492 | @GENE_AR | AR | 554 | 2 | Gene | gene | AR
27226492 | @GENE_C17ORF49 | C17orf49 | 613 | 5 | Gene | gene | BAP18
27226492 | @GENE_KMT2A | KMT2A | 650 | 4 | Gene | gene | MLL1
27226492 | @GENE_AR | AR | 670 | 2 | Gene | gene | AR
27226492 | @GENE_AR | AR | 711 | 2 | Gene | gene | AR
27226492 | @GENE_C17ORF49 | C17orf49 | 816 | 5 | Gene | gene | BAP18
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 866 | 3 | Disease | disease | PCa
27226492 | @GENE_C17ORF49 | C17orf49 | 887 | 5 | Gene | gene | BAP18
27226492 | @DISEASE_Neoplasms | Neoplasms | 938 | 5 | Disease | disease | tumor
27226492 | @GENE_C17ORF49 | C17orf49 | 1033 | 5 | Gene | gene | BAP18
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1062 | 3 | Disease | disease | PCa
27226492 | @DISEASE_Prostatic_Hyperplasia | Prostatic Hyperplasia | 1097 | 28 | Disease | disease | benign prostatic hyperplasia
27226492 | @DISEASE_Prostatic_Hyperplasia | Prostatic Hyperplasia | 1127 | 3 | Disease | disease | BPH
27226492 | @GENE_C17ORF49 | C17orf49 | 1155 | 5 | Gene | gene | BAP18
27226492 | @GENE_AR | AR | 1197 | 2 | Gene | gene | AR
27226492 | @GENE_C17ORF49 | C17orf49 | 1244 | 5 | Gene | gene | BAP18
27226492 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1277 | 3 | Disease | disease | PCa
27226492 | @DISEASE_Neoplasms | Neoplasms | 1292 | 5 | Disease | disease | tumor
27493218 | @GENE_PSMB9B | psmb9b | 764 | 6 | Gene | gene | psmb9b
27493218 | @GENE_PSMB8F | psmb8f | 773 | 6 | Gene | gene | psmb8f
27493218 | @GENE_PSMB5 | psmb5 | 1089 | 5 | Gene | gene | Psmb5
27493218 | @GENE_PSMB8A | psmb8a | 1095 | 5 | Gene | gene | Psmb8
27493218 | @GENE_PSMB12 | psmb12 | 1101 | 6 | Gene | gene | Psmb11
27493218 | @GENE_PSMB6 | psmb6 | 1109 | 5 | Gene | gene | Psmb6
27493218 | @GENE_PSMB9A | psmb9a | 1115 | 5 | Gene | gene | Psmb9
27493218 | @GENE_PSMB13A | psmb13a | 1121 | 6 | Gene | gene | Psmb12
27493218 | @GENE_PSMB7 | psmb7 | 1133 | 5 | Gene | gene | Psmb7
27493218 | @GENE_PSMB13A | psmb13a | 1139 | 6 | Gene | gene | Psmb10
27493218 | @GENE_TAP2C | tap2c | 1173 | 4 | Gene | gene | tap2
27493218 | @GENE_SI:BUSM1_37I06.7 | si:busm1-37i06.7 | 1182 | 11 | Gene | gene | MHC class I
27493218 | @GENE_PSMB8A | PSMB8A | 1707 | 5 | Gene | gene | psmb8
27493218 | @GENE_PSMB13A | psmb13a | 1751 | 6 | Gene | gene | psmb10
29158022 | @GENE_NFE2L2 | Nfe2l2 | 18 | 4 | Gene | gene | Nrf2
29158022 | @GENE_NFE2L2 | Nfe2l2 | 157 | 4 | Gene | gene | Nrf2
29158022 | @GENE_NFE2L2 | Nfe2l2 | 351 | 4 | Gene | gene | Nrf2
29158022 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 395 | 17 | Disease | disease | neurodegeneration
29158022 | @CHEMICAL_morpholine | morpholine | 457 | 10 | Chemical | chemical | morpholine
29158022 | @CHEMICAL_Chalcone | Chalcone | 479 | 8 | Chemical | chemical | chalcone
29158022 | @GENE_NFE2L2 | Nfe2l2 | 566 | 4 | Gene | gene | Nrf2
29158022 | @GENE_KEAP1 | Keap1 | 590 | 6 | Gene | gene | Keap-1
29158022 | @GENE_NFE2L2 | Nfe2l2 | 636 | 4 | Gene | gene | Nrf2
29158022 | @GENE_HMOX1 | Hmox1 | 688 | 16 | Gene | gene | heme oxygenase-1
29158022 | @GENE_NQO1 | Nqo1 | 706 | 32 | Gene | gene | NAD(P)H:quinone oxidoreductase-1
29158022 | @GENE_PSMB5 | Psmb5 | 901 | 5 | Gene | gene | PSMB5
29158022 | @GENE_PSMB7 | Psmb7 | 908 | 5 | Gene | gene | PSMB7
29158022 | @GENE_PSMB8 | Psmb8 | 915 | 5 | Gene | gene | PSMB8
29158022 | @GENE_PSMA1 | Psma1 | 925 | 5 | Gene | gene | PSMA1
29158022 | @GENE_SNCA | Snca | 1024 | 15 | Gene | gene | alpha-synuclein
29158022 | @GENE_SNCA | Snca | 1057 | 9 | Gene | gene | alpha-syn
29158022 | @VARIANT_p.A53T_SNCA_human | p.A53T | 1067 | 4 | Variant | variant | A53T
29158022 | @GENE_CYP21A1 | Cyp21a1 | 1246 | 15 | Gene | gene | cytochrome p450
29158022 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1303 | 8 | Disease | disease | toxicity
29158022 | @CHEMICAL_1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine | 1-Methyl-4-phenyl-1 2 3 6-tetrahydropyridine | 1351 | 44 | Chemical | chemical | 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
29158022 | @GENE_NFE2L2 | Nfe2l2 | 1513 | 4 | Gene | gene | Nrf2
29158022 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 1573 | 14 | Disease | disease | motor deficits
29158022 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1665 | 19 | Disease | disease | Parkinson's disease
31126898 | @CHEMICAL_Glucose | Glucose | 10 | 7 | Chemical | chemical | glucose
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 80 | 15 | Disease | disease | cystic fibrosis
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 123 | 15 | Disease | disease | Cystic Fibrosis
31126898 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 147 | 8 | Disease | disease | diabetes
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 188 | 2 | Disease | disease | CF
31126898 | @CHEMICAL_Glucose | Glucose | 270 | 7 | Chemical | chemical | Glucose
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 489 | 2 | Disease | disease | CF
31126898 | @CHEMICAL_Glucose | Glucose | 534 | 7 | Chemical | chemical | glucose
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 608 | 2 | Disease | disease | CF
31126898 | @CHEMICAL_Glucose | Glucose | 713 | 7 | Chemical | chemical | glucose
31126898 | @CHEMICAL_Glucose | Glucose | 847 | 7 | Chemical | chemical | Glucose
31126898 | @GENE_INS | INS | 1234 | 7 | Gene | gene | insulin
31126898 | @CHEMICAL_Glucose | Glucose | 1261 | 7 | Chemical | chemical | glucose
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1399 | 2 | Disease | disease | CF
31126898 | @CHEMICAL_Glucose | Glucose | 1568 | 7 | Chemical | chemical | glucose
31126898 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1610 | 2 | Disease | disease | CF
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 47 | 15 | Disease | disease | cystic fibrosis
31672555 | @DISEASE_Meconium_Ileus | Meconium Ileus | 89 | 14 | Disease | disease | meconium ileus
31672555 | @DISEASE_Meconium_Ileus | Meconium Ileus | 117 | 14 | Disease | disease | Meconium ileus
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 172 | 15 | Disease | disease | cystic fibrosis
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 189 | 2 | Disease | disease | CF
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 254 | 2 | Disease | disease | CF
31672555 | @DISEASE_Meconium_Ileus | Meconium Ileus | 283 | 14 | Disease | disease | meconium ileus
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 528 | 2 | Disease | disease | CF
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1546 | 2 | Disease | disease | CF
31672555 | @DISEASE_Meconium_Ileus | Meconium Ileus | 1649 | 14 | Disease | disease | Meconium ileus
31672555 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1707 | 2 | Disease | disease | CF
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 32 | 15 | Disease | disease | Cystic Fibrosis
31819107 | @DISEASE_Dysbiosis | Dysbiosis | 76 | 9 | Disease | disease | Dysbiosis
31819107 | @DISEASE_Dysbiosis | Dysbiosis | 98 | 9 | Disease | disease | dysbiosis
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 143 | 15 | Disease | disease | cystic fibrosis
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 160 | 2 | Disease | disease | CF
31819107 | @DISEASE_Inflammation | Inflammation | 289 | 12 | Disease | disease | inflammation
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 319 | 2 | Disease | disease | CF
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 374 | 2 | Disease | disease | CF
31819107 | @DISEASE_Inflammation | Inflammation | 576 | 12 | Disease | disease | Inflammation
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 660 | 2 | Disease | disease | CF
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 749 | 2 | Disease | disease | CF
31819107 | @DISEASE_Dysbiosis | Dysbiosis | 813 | 9 | Disease | disease | dysbiosis
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 861 | 2 | Disease | disease | CF
31819107 | @CHEMICAL_Fatty_Acids_Volatile | Fatty Acids Volatile | 913 | 22 | Chemical | chemical | short-chain fatty acid
31819107 | @CHEMICAL_Fatty_Acids_Volatile | Fatty Acids Volatile | 937 | 4 | Chemical | chemical | SCFA
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1019 | 2 | Disease | disease | CF
31819107 | @DISEASE_Inflammation | Inflammation | 1041 | 12 | Disease | disease | inflammatory
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1085 | 2 | Disease | disease | CF
31819107 | @DISEASE_Inflammation | Inflammation | 1145 | 12 | Disease | disease | inflammatory
31819107 | @DISEASE_Gastrointestinal_Diseases | Gastrointestinal Diseases | 1362 | 24 | Disease | disease | gastrointestinal disease
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1404 | 2 | Disease | disease | CF
31819107 | @DISEASE_Cystic_Fibrosis | Cystic Fibrosis | 1452 | 2 | Disease | disease | CF
32113162 | @GENE_C17ORF49 | C17orf49 | 0 | 5 | Gene | gene | BAP18
32113162 | @GENE_CCND2 | CCND2 | 37 | 7 | Gene | gene | CCND1/2
32113162 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 85 | 28 | Disease | disease | oral squamous cell carcinoma
32113162 | @GENE_C17ORF49 | C17orf49 | 159 | 33 | Gene | gene | BPTF associated protein of 18 kDa
32113162 | @GENE_C17ORF49 | C17orf49 | 194 | 5 | Gene | gene | BAP18
32113162 | @GENE_AR | AR | 230 | 17 | Gene | gene | androgen receptor
32113162 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 258 | 15 | Disease | disease | prostate cancer
32113162 | @GENE_C17ORF49 | C17orf49 | 300 | 5 | Gene | gene | BAP18
32113162 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 309 | 28 | Disease | disease | oral squamous cell carcinoma
32113162 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 339 | 4 | Disease | disease | OSCC
32113162 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 405 | 4 | Disease | disease | OSCC
32113162 | @GENE_C17ORF49 | C17orf49 | 447 | 5 | Gene | gene | BAP18
32113162 | @DISEASE_Neoplasms | Neoplasms | 682 | 5 | Disease | disease | tumor
