11074253 | Association | Gastric Antral Vascular Ectasia | RHD
31112742 | Positive_Correlation | Triiodothyronine | Hyperthyroidism
31522342 | Association | Hypertrophy | MIR762
31522342 | Association | Thyroxine | BECN1
31522342 | Negative_Correlation | MIR762 | BECN1
31522342 | Positive_Correlation | Thyroxine | Hypertrophy
31522342 | Association | Triiodothyronine | MIR762
31522342 | Association | Hypertrophy | BECN1
31522342 | Positive_Correlation | Triiodothyronine | Hypertrophy
31522342 | Association | Thyroxine | MIR762
32512181 | Association | phosphoramidon | Phenylalanine
32512181 | Association | phosphoramidon | Lysine
32512181 | Association | Lysine | Phenylalanine
32793221 | Association | Lupus Erythematosus Systemic | AP2B1
32793221 | Positive_Correlation | Hypotension | AP2B1
32793221 | Negative_Correlation | Lisinopril | Lupus Erythematosus Systemic
32793221 | Association | Lupus Nephritis | AP2B1
37116030 | Negative_Correlation | Cholecalciferol | Hashimoto Disease
37116030 | Association | 25-hydroxyvitamin D | Renal Insufficiency Chronic
37116030 | Association | 1 25-dihydroxyvitamin D | VDR
37116030 | Association | Vitiligo | GC
37116030 | Association | Selenomethionine | Hypothyroidism
37116030 | Association | Inflammation | IFNG
37116030 | Association | 1 25-dihydroxyvitamin D | Autoimmune Diseases
37116030 | Association | Selenomethionine | Renal Insufficiency Chronic
37116030 | Association | 25-hydroxyvitamin D | Hypothyroidism
37116030 | Negative_Correlation | Vitamin D | Inflammation
37116030 | Association | Calcitriol | Hypothyroidism
37116030 | Negative_Correlation | Cholecalciferol | Autoimmune Diseases
37116030 | Association | 1 25-dihydroxyvitamin D | Hypothyroidism
37116030 | Association | Calcitriol | Renal Insufficiency Chronic
37116030 | Association | Vitamin D | Autoimmune Diseases
37116030 | Association | Selenomethionine | GC
38553695 | Association | Corticosterone | DIO3
38553695 | Association | Thyroxine | DIO3
38604686 | Association | Il4 | Lag3
38604686 | Association | Liver Cirrhosis | Lag3
38604686 | Association | Cd44 | Lag3
38604686 | Association | Hyperplasia | Lag3
38604686 | Association | Chemical and Drug Induced Liver Injury | Lag3
38604686 | Association | Alveolar echinococcosis | Lag3
38604686 | Association | Ifng | Lag3
38604686 | Association | Alveolar echinococcosis | Il4
25587856 | Association | Acute Lung Injury | Cftr
25587856 | Association | Pneumonia | Tlr4
25587856 | Association | Pneumonia | Cftr
25587856 | Positive_Correlation | Jak3 | Tlr4
25587856 | Association | Acute Lung Injury | Jak3
25587856 | Association | Infections | Jak3
25587856 | Association | Pneumonia | Jak3
25587856 | Association | Inflammation | Cftr
25587856 | Association | Inflammation | Jak3
27389192 | Association | Nephrosis congenital | IL2
27389192 | Positive_Correlation | Il2 | Jak3
27389192 | Association | Nephrosis congenital | Il2
27389192 | Positive_Correlation | IL2 | CFLAR
27389192 | Association | Mitochondrial Diseases | Il2ra
27389192 | Positive_Correlation | Il2 | Stat5a
27389192 | Positive_Correlation | Il2 | ALB
27389192 | Positive_Correlation | IL2 | BAX
27389192 | Association | Nephrosis congenital | Il2ra
36201890 | Association | Asthma | IL7
36201890 | Bind | IL7 | IL7R
36201890 | Bind | Il2rg | Il4
36201890 | Association | X-Linked Combined Immunodeficiency Diseases | IL7
36201890 | Association | JAK3 | STAT5A
36201890 | Association | Lymphopenia | IL7
36201890 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | IL7
36201890 | Association | Dermatitis Atopic | IL7
36201890 | Bind | Il2 | Il2rg
36201890 | Association | Diabetes Mellitus Type 1 | IL7
36201890 | Bind | IL2RG | IL7
36201890 | Association | Sepsis | IL7
36201890 | Association | Autoimmune Diseases | IL7
36201890 | Bind | Il2rg | Il21
36201890 | Bind | Il2rg | Il9
36201890 | Association | IFNG | IL7
36201890 | Association | Arthritis Rheumatoid | IL7
36201890 | Association | Neoplasms | IL7
36201890 | Association | Sarcoidosis | IL7
36201890 | Association | Multiple Sclerosis | IL7
36201890 | Bind | Il15 | Il2rg
36330983 | Association | Drug-Related Side Effects and Adverse Reactions | FASLG
36330983 | Association | Drug-Related Side Effects and Adverse Reactions | GZMB
36330983 | Association | Drug-Related Side Effects and Adverse Reactions | Jak3
36330983 | Association | Cadmium | Drug-Related Side Effects and Adverse Reactions
36330983 | Positive_Correlation | Jak3 | FASLG
36330983 | Positive_Correlation | Cadmium | Jak3
36330983 | Association | Cadmium | Neoplasms
36330983 | Positive_Correlation | Cadmium | FASLG
36330983 | Positive_Correlation | Stat5a | FASLG
36330983 | Positive_Correlation | Cadmium | Stat5a
36330983 | Positive_Correlation | Cadmium | STAT5A
36330983 | Association | FASLG | STAT5A
36330983 | Negative_Correlation | Cadmium | GZMB
36396110 | Association | Glioblastoma | Snai2
36396110 | Negative_Correlation | ginkgolic acid | Glioblastoma
36396110 | Association | Glioblastoma | Akt1
36396110 | Negative_Correlation | ginkgolic acid | Neoplasms
36396110 | Negative_Correlation | ginkgolic acid | Akt1
36396110 | Negative_Correlation | ginkgolic acid | Snai1
36396110 | Negative_Correlation | ginkgolic acid | Snai2
36575861 | Association | Immunologic Deficiency Syndromes | Plau
36575861 | Association | Plau | Prkdc
36575861 | Association | Hepatitis Viral Human | Prkdc
36575861 | Association | Hepatitis Viral Human | Plau
36575861 | Association | Hepatitis Viral Human | Rag2
36575861 | Association | Hepatitis Viral Human | Jak3
36644879 | Positive_Correlation | IKZF2 | CD27
36644879 | Positive_Correlation | Stat5a | Ikzf2
36644879 | Positive_Correlation | FOXP3 | CD27
36644879 | Positive_Correlation | Foxp3 | Stat5a
36644879 | Association | JAK3 | STAT5A
36644879 | Positive_Correlation | Ctla4 | Stat5a
36644879 | Association | Inflammation | Il17a
36644879 | Positive_Correlation | STAT5A | CD27
36644879 | Association | Ifng | CD27
36644879 | Association | Inflammation | Ifng
36644879 | Positive_Correlation | JAK3 | CD27
36644879 | Association | Inflammation | CD27
36644879 | Negative_Correlation | Il17a | CD27
36644879 | Negative_Correlation | Foxp3 | CD27
36644879 | Positive_Correlation | Ctla4 | CD27
36644879 | Association | Stat5a | CD27
36644879 | Association | Jak3 | Stat5a
36644879 | Negative_Correlation | Ikzf2 | CD27
37021816 | Association | Breast Neoplasms | FABP5
37021816 | Association | Breast Neoplasms | COL1A1
37021816 | Positive_Correlation | Neoplasms | HLA-C
37021816 | Association | Breast Neoplasms | HLA-C
37021816 | Positive_Correlation | FABP5 | HLA-C
37021816 | Association | Lipids | FABP5
37062030 | Association | Neoplasms | Ifng
37062030 | Association | GNG4 | NFKB1
37062030 | Association | Neoplasms | IFNG
37115711 | Negative_Correlation | linifanib | Pdgfrb
37115711 | Association | Ripk3 | Mlkl
37115711 | Negative_Correlation | linifanib | Ripk1
37126006 | Association | Melanoma | CD4
37126006 | Association | CIITA | CD4
37126006 | Association | Neoplasms | CD4
37164948 | Negative_Correlation | sitravatinib | Carcinoma Renal Cell
37164948 | Cotreatment | sitravatinib | Nivolumab
37164948 | Negative_Correlation | sitravatinib | TXK
37164948 | Negative_Correlation | Nivolumab | Carcinoma Renal Cell
37219765 | Association | Acute Lung Injury | Jak2
37219765 | Association | Respiratory Distress Syndrome | Fstl1
37219765 | Negative_Correlation | AG 490 | Jak2
37219765 | Association | Respiratory Distress Syndrome | FSTL1
37219765 | Negative_Correlation | AG 490 | Jak3
37219765 | Positive_Correlation | Acute Lung Injury | FSTL1
37219765 | Negative_Correlation | NSC 74859 | Acute Lung Injury
37219765 | Negative_Correlation | NSC 74859 | Jak3
37219765 | Association | IRF1 | SERPINE1
37219765 | Negative_Correlation | NSC 74859 | Stat3
37219765 | Association | Fstl1 | STAT3
37219765 | Association | Respiratory Distress Syndrome | Irf1
37219765 | Negative_Correlation | AG 490 | Acute Lung Injury
37219765 | Association | Fstl1 | IRF1
37219765 | Association | Acute Lung Injury | Irf1
37219765 | Association | Acute Lung Injury | Jak3
37219765 | Association | SERPINE1 | STAT3
37219765 | Association | IRF1 | TLR4
37219765 | Association | Fstl1 | JAK2
37219765 | Association | Acute Lung Injury | Tlr4
37219765 | Association | Acute Lung Injury | Serpine1
37219765 | Negative_Correlation | AG 490 | Stat3
37219765 | Association | Acute Lung Injury | Stat3
37219765 | Association | Acute Lung Injury | Nos2
37219765 | Association | Respiratory Distress Syndrome | Serpine1
37219765 | Association | Respiratory Distress Syndrome | Stat3
37219765 | Association | Respiratory Distress Syndrome | Jak3
37219765 | Positive_Correlation | Serpine1 | Tlr4
37219765 | Association | Fstl1 | Tlr4
37219765 | Association | Fstl1 | JAK3
37219765 | Association | Fstl1 | TLR4
37219765 | Association | Jak3 | Tlr4
37219765 | Association | Respiratory Distress Syndrome | Tlr4
37219765 | Positive_Correlation | Acute Lung Injury | Fstl1
37325444 | Negative_Correlation | IL10 | JAK3
37325444 | Association | Tnf | JAK3
37325444 | Negative_Correlation | JAK3 | TNF
37325444 | Association | Il10 | JAK3
37325444 | Negative_Correlation | tofacitinib | JAK1
37325444 | Association | Autoimmune Diseases | Jak3
37325444 | Association | Lipopolysaccharides | Tnf
37325444 | Association | Lipopolysaccharides | JAK3
37325444 | Association | Autoimmune Diseases | Tnf
37325444 | Association | Jak3 | Tnf
37325444 | Association | Il10 | Jak3
37325444 | Positive_Correlation | IL6 | JAK3
37325444 | Association | Autoimmune Diseases | Il10
37325444 | Association | Lipopolysaccharides | Il10
37352370 | Positive_Correlation | Bronchitis Chronic | rs140324259
37352370 | Association | Pulmonary Disease Chronic Obstructive | rs10001928
37352370 | Association | Cough | rs140324259
37352370 | Association | Bronchitis Chronic | MUC5B
37352370 | Association | Pulmonary Disease Chronic Obstructive | MUC5B
37352370 | Association | Pulmonary Disease Chronic Obstructive | LINC02492
37466915 | Negative_Correlation | Inflammation | Tgfb1
37466915 | Association | Inflammation | Jak3
37466915 | Association | Multiple Sclerosis | Nfkb1
37466915 | Association | Multiple Sclerosis | Hdac3
37466915 | Association | Inflammation | P2rx7
37466915 | Association | Encephalomyelitis Autoimmune Experimental | P2rx7
37466915 | Association | Inflammation | Stat6
37466915 | Association | Inflammation | Il1b
37466915 | Association | Inflammation | Tnf
37466915 | Association | Inflammation | Il6
37466915 | Association | Multiple Sclerosis | Nlrp3
37466915 | Association | Multiple Sclerosis | P2rx7
37662900 | Association | Arthritis | CDC42
37662900 | Association | CD14 | CDC42
37662900 | Association | Arthritis Rheumatoid | CD14
37662900 | Association | Arthritis Rheumatoid | CDC42
37671865 | Association | Carcinoma Pancreatic Ductal | Tyk2
37671865 | Association | Carcinoma Pancreatic Ductal | Jak3
37821072 | Negative_Correlation | tofacitinib | Hepatitis Autoimmune
37830594 | Association | Lymphoma T-Cell Cutaneous | INSL3
37830594 | Association | Sezary Syndrome | INSL3
37830594 | Association | Sezary Syndrome | JAK3
37830594 | Association | INSL3 | JAK3
37830594 | Association | Lymphoma T-Cell Cutaneous | JAK3
37834019 | Association | Hematologic Neoplasms | JAK3
37834019 | Association | Hematologic Neoplasms | JAK1
37845748 | Association | Inflammation | Tyk2
37845748 | Association | Arthritis Psoriatic | TYK2
37845748 | Association | Lupus Erythematosus Systemic | Tyk2
37845748 | Association | Lupus Erythematosus Systemic | TYK2
37845748 | Negative_Correlation | deucravacitinib | TYK2
37845748 | Association | Ifng | TYK2
37845748 | Association | Adenosine Triphosphate | TYK2
37845748 | Association | Inflammation | TYK2
37845748 | Association | Autoimmune Diseases | TYK2
37845748 | Association | Autoimmune Diseases | Tyk2
37845748 | Association | Psoriasis | Tyk2
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | IFNGR1
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | IFITM2
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | CD4
38008145 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
38008145 | Association | ruxolitinib | IFNGR1
38008145 | Negative_Correlation | IL2 | IL2RA
38031930 | Association | Inflammation | JAK1
38031930 | Association | Fibrosis | JAK1
38031930 | Positive_Correlation | Bleomycin | Fibrosis
38069042 | Negative_Correlation | Cytarabine | Leukemia Myeloid Acute
38069042 | Association | Leukemia Myeloid Acute | Rag2
38069042 | Negative_Correlation | venetoclax | Leukemia Myeloid Acute
38069042 | Association | Leukemia Myeloid Acute | Jak3
38069042 | Negative_Correlation | 2-Hydroxypropyl-beta-cyclodextrin | Cholesterol
38069042 | Negative_Correlation | venetoclax | BCL2
38069042 | Association | Leukemia Myeloid Acute | BCL2
38069042 | Association | 2-Hydroxypropyl-beta-cyclodextrin | Folic Acid
38117887 | Association | Asthma | JAK3
38117887 | Association | Steroids | JAK3
38117887 | Negative_Correlation | Steroids | Inflammation
38117887 | Negative_Correlation | Steroids | Asthma
38254629 | Negative_Correlation | Phosphates | Calcinosis
38254629 | Association | Calcinosis | Stat1
38254629 | Association | Calcinosis | JAK3
38254629 | Association | Calcinosis | CXCL8
38254629 | Association | Phosphates | Inflammation
38254629 | Association | Calcinosis | IL6
38254629 | Association | Calcinosis | JAK1
38254629 | Association | Calcinosis | CCL2
38336380 | Association | Leukemia Biphenotypic Acute | Spib
38336380 | Negative_Correlation | Acetylcysteine | Reactive Oxygen Species
38336380 | Positive_Correlation | Acetylcysteine | p.R653H
38336380 | Negative_Correlation | Cd79a | Spib
38336380 | Association | Leukemia | p.R653H
38336380 | Positive_Correlation | Leukemia Biphenotypic Acute | p.R653H
38336380 | Association | Leukemia | Pten
38336380 | Association | Reactive Oxygen Species | Pten
38336380 | Positive_Correlation | Reactive Oxygen Species | Leukemia Biphenotypic Acute
38336380 | Association | Leukemia Biphenotypic Acute | Cd79a
38336380 | Association | Acetylcysteine | Pten
38336380 | Association | Leukemia | Jak3
38336380 | Negative_Correlation | Acetylcysteine | Leukemia Biphenotypic Acute
38336380 | Negative_Correlation | Acetylcysteine | Cd19
38336380 | Positive_Correlation | Acetylcysteine | Jak3
38336380 | Negative_Correlation | Cd79a | Spi1
38336380 | Association | Leukemia Biphenotypic Acute | Spi1
38336380 | Positive_Correlation | Acetylcysteine | Leukemia
38336380 | Association | Leukemia | JAK3
38336380 | Association | Leukemia Biphenotypic Acute | JAK3
38575346 | Association | Neoplasms | CD8A
38578092 | Association | Infections | Cd4
38578092 | Association | Cd4 | Ifngr1
38578092 | Association | Infections | H2
38578092 | Association | Cd4 | Itgax
38578092 | Association | Cd4 | Ifng
38578092 | Association | Ifng | Itgax
38578092 | Association | Infections | Ifngr1
38578092 | Association | Ifngr1 | Itgax
38578092 | Association | H2 | Cd4
38583689 | Association | Parkinson Disease | CD4
38583689 | Association | Parkinson Disease | SNCA
38583689 | Association | Parkinson Disease | CD8A
38583689 | Association | Inflammation | HLA-C
38583689 | Association | Parkinson Disease | HLA-C
38584000 | Negative_Correlation | juglone | Graft vs Host Disease
38584000 | Negative_Correlation | juglone | Inflammation
38584000 | Negative_Correlation | juglone | Colitis
38584000 | Positive_Correlation | juglone | Ctla4
38584000 | Negative_Correlation | juglone | Inflammatory Bowel Diseases
38584000 | Negative_Correlation | juglone | Cd4
38584000 | Positive_Correlation | juglone | Fas
38585800 | Positive_Correlation | RBP3 | CD4
38585800 | Association | Neuritis Autoimmune Experimental | CD4
38585800 | Association | Neuritis Autoimmune Experimental | RBP3
38591522 | Association | Neoplasms | Tcra
38609101 | Association | Lung Neoplasms | Hdac6
38609101 | Association | Cd4 | Hdac6
38609101 | Association | Death | Calr
38609101 | Association | H2 | Cd4
38609101 | Association | Lung Neoplasms | H2
38609101 | Positive_Correlation | H2 | Hdac6
38609101 | Association | Lung Neoplasms | Cd4
38625070 | Negative_Correlation | Pycard | Cd86
38625070 | Association | Notch1 | Pycard
38625070 | Positive_Correlation | Pycard | Foxp3
38625070 | Positive_Correlation | Cd4 | Notch1
38625070 | Association | Relb | RGD1561860
38625070 | Positive_Correlation | Notch1 | Foxp3
38625070 | Negative_Correlation | Cd80 | Pycard
38629077 | Positive_Correlation | GZMB | CD8A
38629077 | Positive_Correlation | IFNG | CD4
38629077 | Positive_Correlation | GZMB | CD4
38629077 | Positive_Correlation | IFNG | CD8A
38637862 | Association | Inflammation | FOXO3
38637862 | Association | Inflammation | Stat3
38637862 | Association | Colitis Ulcerative | Stat3
38637862 | Positive_Correlation | Dextran Sulfate | Colitis Ulcerative
38637862 | Association | Fatty Acids Volatile | Stat3
38637862 | Negative_Correlation | Fatty Acids Volatile | Colitis Ulcerative
38637862 | Association | Fatty Acids Volatile | FOXO3
38637862 | Association | Colitis Ulcerative | FOXO3
38640898 | Association | nef | CD4
1106095 | Cotreatment | Atropine | Trimedoxime
1106095 | Cotreatment | N N'-monomethylenebis(pyridiniumaldoxime) | Atropine
1106095 | Negative_Correlation | N N'-monomethylenebis(pyridiniumaldoxime) | Sarin
1106095 | Cotreatment | Atropine | Obidoxime Chloride
1106095 | Positive_Correlation | N N'-monomethylenebis(pyridiniumaldoxime) | Ache
1106095 | Association | Sarin | Ache
