37919427 | Negative_Correlation | Neoplasms | CD274
37762230 | Association | Cytokine Release Syndrome | APP
37762230 | Negative_Correlation | Simufilam | Cytokine Release Syndrome
37762230 | Positive_Correlation | FLNA | APP
37762230 | Association | Alzheimer Disease | Cxcr4
37762230 | Association | FLNA | Tlr2
37833581 | Association | Infections | CCR5
37939456 | Association | Acquired Immunodeficiency Syndrome | CXCR4
37939456 | Association | HIV Infections | CCR5
37939456 | Association | HIV Infections | CXCR4
37939456 | Association | Acquired Immunodeficiency Syndrome | CCR5
37946732 | Positive_Correlation | COVID-19 | CXCR4
37946732 | Association | CXCR2 | CD74
37946732 | Association | COVID-19 | MIF
37946732 | Association | COVID-19 | CD8A
37946732 | Association | CXCR4 | CD74
37946732 | Association | CD44 | CD74
37946732 | Positive_Correlation | COVID-19 | CXCR2
37946732 | Positive_Correlation | CD8A | CD74
37946732 | Bind | MIF | CXCR4
37946732 | Association | COVID-19 | CD74
37946732 | Association | Drug-Related Side Effects and Adverse Reactions | CD74
37946732 | Association | MIF | CD74
38011900 | Association | Adenomyosis | Cd4
38011900 | Association | Ly6c1 | Mrc1
38011900 | Association | Mrc1 | Pecam1
38011900 | Association | Myopathies Structural Congenital | Igf2
38011900 | Association | Adenomyosis | Pgf
38011900 | Association | Cxcr4 | Igf2
38011900 | Association | Myopathies Structural Congenital | Mrc1
38011900 | Association | Cd80 | Igf2
38011900 | Association | Pecam1 | Pgf
38011900 | Association | Adenomyosis | Ccr7
38011900 | Association | Infertility | Pgf
38011900 | Association | Tamoxifen | Pgf
38011900 | Association | Cd4 | Mrc1
38011900 | Association | Igf2 | Pgf
38011900 | Association | Ccr7 | Mrc1
38011900 | Association | Tamoxifen | Igf2
38011900 | Association | Infertility | Igf2
38011900 | Association | Cxcr4 | Pgf
38011900 | Association | Adenomyosis | Ly6c1
38011900 | Association | Tamoxifen | Ccr7
38011900 | Association | Myopathies Structural Congenital | Vegfa
38011900 | Association | Pgf | Vegfa
38011900 | Association | Ccr7 | Vegfa
38011900 | Association | Cd4 | Pgf
38011900 | Association | Ccr7 | Igf2
38011900 | Association | Cd4 | Pecam1
38011900 | Association | Adenomyosis | Igf2
38011900 | Association | Igf2 | Vegfa
38011900 | Association | Acquired ichthyosis | Mrc1
38011900 | Association | Myopathies Structural Congenital | Ly6c1
38011900 | Association | Mrc1 | Vegfa
38011900 | Association | Ccr7 | Pecam1
38011900 | Association | Myopathies Structural Congenital | Ccr7
38011900 | Association | Cxcr4 | Vegfa
38011900 | Association | Adenomyosis | Mrc1
38011900 | Association | Ccr7 | Pgf
38011900 | Association | Cxcr4 | Ccr7
38011900 | Association | Myopathies Structural Congenital | Pecam1
38011900 | Association | Myopathies Structural Congenital | Cd4
38011900 | Association | Cxcr4 | Mrc1
38011900 | Association | Cd80 | Vegfa
38011900 | Association | Cxcr4 | Ly6c1
38011900 | Association | Cd80 | Ccr7
38011900 | Association | Cd4 | Igf2
38011900 | Association | Cd80 | Pgf
38011900 | Association | Ccr7 | Ly6c1
38011900 | Association | Tamoxifen | Vegfa
38011900 | Association | Acquired ichthyosis | Pgf
38011900 | Association | Acquired ichthyosis | Igf2
38011900 | Association | Myopathies Structural Congenital | Pgf
38011900 | Association | Igf2 | Pecam1
38011900 | Association | Igf2 | Ly6c1
38011900 | Positive_Correlation | Tamoxifen | Adenomyosis
38011900 | Association | Cd4 | Ccr7
38011900 | Association | Cxcr4 | Pecam1
38011900 | Association | Cd80 | Pecam1
38011900 | Association | Acquired ichthyosis | Ccr7
38011900 | Association | Ly6c1 | Pecam1
38011900 | Association | Ly6c1 | Vegfa
38011900 | Association | Mrc1 | Pgf
38011900 | Association | Pecam1 | Vegfa
38011900 | Association | Cd4 | Vegfa
38011900 | Association | Igf2 | Mrc1
38011900 | Association | Ly6c1 | Pgf
38127856 | Association | Infections | CXCR4
38127856 | Association | Infections | CCR5
38127856 | Association | CXCR4 | CD4
38190037 | Association | Polyglutamic Acid | CXCR4
38190037 | Association | HIV Infections | CXCR4
38455423 | Bind | CXCL12 | CXCR4
38455423 | Association | Endometrial Neoplasms | CD274
38455423 | Association | FAP | CXCL12
12952348 | Association | CXCR4 | CD4
18077770 | Association | Multiple Myeloma | KRT20
18077770 | Association | Multiple Myeloma | CD33
18077770 | Association | Multiple Myeloma | CXCR4
18077770 | Association | Multiple Myeloma | NCAM1
18665212 | Association | CXCR4 | CD4
24330967 | Association | Sincalide | Pancreatic Neoplasms
24330967 | Association | Pancreatic Neoplasms | CXCL12
24330967 | Negative_Correlation | plerixafor | Pancreatic Neoplasms
24330967 | Association | Pancreatic Neoplasms | CXCR4
24376850 | Association | (18F)fluoroethyltyrosine | Neuropathy with Paraprotein in Serum Cerebrospinal Fluid and Urine
24376850 | Negative_Correlation | Fluorodeoxyglucose F18 | Multiple Myeloma
24376850 | Negative_Correlation | (18F)fluoroethyltyrosine | Multiple Myeloma
24376850 | Association | carbon-11 methionine | Neoplasms
24376850 | Association | carbon-11 methionine | CXCR4
24376850 | Negative_Correlation | methionine methyl ester | Multiple Myeloma
24376850 | Association | carbon-11 methionine | Neuropathy with Paraprotein in Serum Cerebrospinal Fluid and Urine
24376850 | Association | carbon-11 methionine | Multiple Myeloma
34178415 | Association | Breast Neoplasms | CXCL12
34178415 | Bind | CXCL12 | CXCR4
34178415 | Association | Neoplasm Metastasis | CXCR4
34178415 | Positive_Correlation | Neoplasm Metastasis | ACKR3
34178415 | Bind | ACKR3 | CXCL12
34178415 | Association | Breast Neoplasms | ACKR3
34178415 | Association | Neoplasm Metastasis | CXCL12
34178415 | Association | Breast Neoplasms | CXCR4
34356484 | Association | Muscular Dystrophy Emery-Dreifuss | CD44
34356484 | Association | Plasmacytoma | CD44
35729596 | Association | Lung Neoplasms | CXCR4
35729596 | Association | EGFR | CXCR4
35729596 | Association | Neoplasms | CXCR4
35729596 | Association | Neoplasm Metastasis | CXCR4
35729596 | Association | Carcinoma Non-Small-Cell Lung | CXCR4
37151698 | Association | Intellectual Disability | DISC1
37151698 | Positive_Correlation | Adenocarcinoma Mucinous | DISC1
37151698 | Association | Stomach Neoplasms | DISC1
37151698 | Positive_Correlation | Neoplasms | DISC1
37151698 | Positive_Correlation | DISC1 | CXCR4
38056899 | Association | Melanoma | LAG3
38056899 | Negative_Correlation | CD4 | CD69
38056899 | Positive_Correlation | LAG3 | CD69
38056899 | Positive_Correlation | LAG3 | CD8A
38056899 | Association | PDCD1 | CD4
38056899 | Positive_Correlation | IFNG | CD4
38056899 | Positive_Correlation | CTLA4 | FOXP3
38056899 | Association | CTLA4 | CD4
38056899 | Positive_Correlation | IFNG | LAG3
38056899 | Positive_Correlation | LAG3 | TNFSF8
38056899 | Positive_Correlation | LAG3 | CXCR4
38056899 | Association | IFNG | CD8A
38056899 | Positive_Correlation | IL21R | PDCD1
38056899 | Positive_Correlation | PDCD1 | CXCR4
38056899 | Positive_Correlation | CTLA4 | IFNG
38056899 | Association | IL21R | CD4
38056899 | Association | FOXP3 | PDCD1
38056899 | Association | Melanoma | PDCD1
38056899 | Positive_Correlation | LAG3 | IL21R
38056899 | Association | LAG3 | CD4
38056899 | Association | LAG3 | PDCD1
38056899 | Association | CXCR4 | CD4
38056899 | Association | Neoplasms | PDCD1
38056899 | Association | CD4 | TNFSF8
38056899 | Association | Melanoma | CTLA4
38056899 | Positive_Correlation | PDCD1 | TNFSF8
38056899 | Positive_Correlation | CTLA4 | CD8A
38056899 | Positive_Correlation | IFNG | PDCD1
38160538 | Positive_Correlation | LDHA | CD4
38160538 | Positive_Correlation | Uveomeningoencephalitic Syndrome | CXCR4
38160538 | Association | Uveitis | Ldha
38160538 | Negative_Correlation | Ldha | CXCR4
38160538 | Association | Inflammation | Ldha
38160538 | Positive_Correlation | Uveomeningoencephalitic Syndrome | LDHA
38223424 | Association | Arteriovenous Fistula | IL6
38223424 | Association | Arteriovenous Fistula | CD4
38223424 | Association | Arteriovenous Fistula | CXCR4
38223424 | Association | Arteriovenous Fistula | IL1B
38237304 | Negative_Correlation | tozasertib | CD4
38237304 | Association | Melanoma | AURKB
38237304 | Association | Neoplasms | CXCR4
38237304 | Positive_Correlation | MIF | AURKB
38237304 | Positive_Correlation | AURKB | CD74
38237304 | Association | Neoplasms | CD74
38237304 | Negative_Correlation | tozasertib | AURKB
38237304 | Negative_Correlation | tozasertib | Neoplasms
38237304 | Association | Neoplasms | AURKB
38237304 | Negative_Correlation | tozasertib | Melanoma
38237304 | Positive_Correlation | tozasertib | CD8A
38237304 | Positive_Correlation | CXCR4 | AURKB
38237304 | Association | Neoplasms | MIF
38329750 | Association | c.4T>A | Acanthamoeba Keratitis
38332460 | Association | Creatinine | rs929596
38332460 | Positive_Correlation | dolutegravir | Creatinine
38332460 | Cotreatment | dolutegravir | Tenofovir
38349178 | Association | COVID-19 | TNF
38349178 | Association | Inflammatory Bowel Diseases | TNF
38357816 | Association | Vascular System Injuries | MMP17
38357816 | Positive_Correlation | Coronary Artery Disease | TNFSF13B
38357816 | Positive_Correlation | Inflammation | TNFSF10
38357816 | Positive_Correlation | Coronary Artery Disease | TNFSF10
38357816 | Association | Mucocutaneous Lymph Node Syndrome | CD8A
38357816 | Association | Coronary Artery Disease | MMP17
38357816 | Association | Mucocutaneous Lymph Node Syndrome | MMP9
38357816 | Positive_Correlation | Coronary Artery Disease | CXCL16
38357816 | Association | Mucocutaneous Lymph Node Syndrome | MMP17
38357816 | Association | Mucocutaneous Lymph Node Syndrome | MMP25
38357816 | Association | Mucocutaneous Lymph Node Syndrome | CXCL16
38357816 | Association | Coronary Artery Disease | MMP9
38357816 | Association | Mucocutaneous Lymph Node Syndrome | CD14
38357816 | Association | Coronary Artery Disease | FCGR3A
38357816 | Positive_Correlation | Mucocutaneous Lymph Node Syndrome | TNFSF13B
38357816 | Association | Coronary Artery Disease | CD8A
38357816 | Positive_Correlation | Inflammation | TNFSF13B
38357816 | Association | Coronary Artery Disease | CD14
38357816 | Positive_Correlation | Inflammation | IL1RN
38357816 | Positive_Correlation | Coronary Artery Disease | IL1RN
38357816 | Association | Mucocutaneous Lymph Node Syndrome | IL1RN
38357816 | Negative_Correlation | Mucocutaneous Lymph Node Syndrome | CD4
38357816 | Positive_Correlation | Inflammation | CXCL16
38357816 | Association | Mucocutaneous Lymph Node Syndrome | TNFSF10
38357816 | Association | Vascular System Injuries | MMP9
38357816 | Association | Coronary Artery Disease | MMP25
38357816 | Association | Vascular System Injuries | MMP25
38372621 | Association | efavirenz | dolutegravir
38372621 | Negative_Correlation | dolutegravir | 614546
38374756 | Association | Alzheimer Disease | CD8A
38374756 | Association | Alzheimer Disease | CD4
38374756 | Positive_Correlation | Alzheimer Disease | VCAM1
38374756 | Association | Alzheimer Disease | GJA1
38374756 | Positive_Correlation | Alzheimer Disease | CCL2
38374756 | Association | Alzheimer Disease | CXCR4
38374756 | Association | Alzheimer Disease | CD44
38374756 | Positive_Correlation | Alzheimer Disease | ANGPT1
38374756 | Association | VCAM1 | CD8A
38391781 | Association | Neoplasms | LILRB1
38391781 | Association | Neoplasms | LILRB2
38391781 | Association | Neoplasms | HLA-G
38391781 | Association | Squamous Cell Carcinoma of Head and Neck | LILRB1
38391781 | Association | Squamous Cell Carcinoma of Head and Neck | LILRB2
38399453 | Association | Neoplasms | CD4
38399453 | Negative_Correlation | Carboplatin | Carcinoma Non-Small-Cell Lung
38399453 | Negative_Correlation | atezolizumab | Carcinoma Non-Small-Cell Lung
38399453 | Cotreatment | atezolizumab | Carboplatin
38399453 | Association | Neoplasms | CD8A
38429734 | Association | Tuberculosis Pulmonary | CD27
38429734 | Negative_Correlation | Tuberculosis | CD27
38429734 | Negative_Correlation | Tuberculosis | CD38
38429734 | Association | CD4 | CD38
38429734 | Negative_Correlation | Rifampin | Tuberculosis
38429734 | Association | Latent Tuberculosis | CD27
38429734 | Negative_Correlation | Ethambutol | Tuberculosis Pulmonary
38429734 | Association | IFNG | CD38
38429734 | Negative_Correlation | Pyrazinamide | Tuberculosis
38429734 | Negative_Correlation | Ethambutol | Tuberculosis
38429734 | Negative_Correlation | Isoniazid | Tuberculosis
38429734 | Association | CD4 | CD27
38429734 | Association | Latent Tuberculosis | CD38
38429734 | Association | Tuberculosis Pulmonary | CD38
38429734 | Comparison | Isoniazid | Rifampin
38429734 | Association | CD27 | CD38
38429734 | Association | CRP | CD27
38429734 | Association | CRP | CD38
38429734 | Association | IFNG | CD27
38441327 | Association | Growth Disorders | TNF
38441327 | Association | Growth Disorders | IL2RA
38441327 | Association | Growth Disorders | IL6
38441327 | Association | Growth Disorders | IFNG
38448719 | Negative_Correlation | benzenesulfonic acid | dprE1
38448719 | Association | Tuberculosis | dprE1
38448719 | Negative_Correlation | benzenesulfonic acid | Tuberculosis
38480731 | Association | TRBV20OR9-2 | CD4
38480731 | Association | Neoplasms | TRBV20OR9-2
38480731 | Association | Uterine Cervical Neoplasms | TRBV20OR9-2
38480731 | Association | Papillomavirus Infections | TRBV20OR9-2
38480731 | Association | TRBV20OR9-2 | CD8A
38480731 | Association | Neoplasms | CD4
38480731 | Association | Neoplasms | CD8A
38518400 | Association | Multiple Myeloma | CXCR4
38518400 | Association | Rifampin | SLCO1B3
38518400 | Association | Leukemia Myeloid Acute | CXCR4
38518400 | Association | Rifampin | SLCO1B1
38518400 | Association | Neoplasms | CXCR4
38518400 | Association | SLCO1B1 | SLCO1B3
38518400 | Association | Peptides | SLCO1B3
38518400 | Association | Peptides | Rifampin
38518400 | Association | Peptides | SLCO1B1
38518400 | Negative_Correlation | plerixafor | IFT81
38553515 | Association | Mitochondrial Diseases | CD4
38553515 | Association | Multiple Sclerosis | CD4
38570727 | Association | GZMH | CD8A
38570727 | Association | IFNG | CD8A
38570727 | Association | GZMB | CD8A
2064322 | Association | Myelodysplastic Syndromes | CD4
2831674 | Association | Dermatitis Atopic | FADS2
2831674 | Association | gamma-Linolenic Acid | FADS2
2831674 | Negative_Correlation | Fatty Acids Unsaturated | Dermatitis Atopic
15595835 | Bind | Histidine | c.213G>C
15595835 | Bind | Histidine | p.V300C
15595835 | Association | Leucine | c.315T>C
15595835 | Association | Glycine | Phenylalanine
15595835 | Association | Histidine | p.D216V
15595835 | Association | Leucine | p.D216V
15595835 | Association | 2 3-methanophenylalanine | c.213G>C
15595835 | Association | JOM 6 | p.E229D
15595835 | Association | 2 3-methanophenylalanine | c.315T>C
15595835 | Association | Leucine | p.C2F
15595835 | Association | Histidine | p.W318L
15595835 | Association | 2 3-methanophenylalanine | p.D216V
15595835 | Association | Histidine | c.315T>C
15595835 | Association | Phenylalanine | Tryptophan
15595835 | Association | 2 3-methanophenylalanine | p.C2F
15595835 | Bind | JOM 6 | p.C2F
15595835 | Association | Metals | p.V300C
15595835 | Association | 2 3-methanophenylalanine | p.W318L
15595835 | Association | Leucine | c.213G>C
15595835 | Association | Phenylalanine | Threonine
15595835 | Bind | Histidine | p.C2F
28559889 | Association | Lipopeptides | p.L6L
28559889 | Association | Lipopeptides | p.E1L
36062301 | Association | Neoplasms | PSMB5
36062301 | Association | Carcinoma Hepatocellular | MTOR
36062301 | Association | Carcinoma Hepatocellular | PIK3R1
36062301 | Association | PSMB5 | CD8A
36062301 | Association | Carcinoma Hepatocellular | PSMB7
36062301 | Association | Carcinoma Hepatocellular | PSMB8
36062301 | Association | AKT1 | MTOR
36062301 | Positive_Correlation | PIK3R1 | PSMB5
36062301 | Association | Carcinoma Hepatocellular | PSMB2
36062301 | Association | Carcinoma Hepatocellular | AKT1
36062301 | Association | PSMB5 | CD4
36062301 | Association | AKT1 | PIK3R1
36062301 | Association | Carcinoma Hepatocellular | PSMB4
36062301 | Association | Carcinoma Hepatocellular | PSMB5
36062301 | Positive_Correlation | MTOR | PSMB5
36062301 | Positive_Correlation | AKT1 | PSMB5
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | Multiple Sclerosis
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | ocrelizumab
37498399 | Negative_Correlation | ocrelizumab | Anthropophobia
37498399 | Negative_Correlation | ocrelizumab | Multiple Sclerosis
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | THBS1
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | Anthropophobia
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | COVID-19
37592162 | Association | Vitamin D | Post-Acute COVID-19 Syndrome
37592162 | Association | Vitamin D | COVID-19
37679040 | Association | Multiple Sclerosis | MOG
37724517 | Association | Respiratory Tract Diseases | S
37724517 | Association | COVID-19 | S
38184779 | Negative_Correlation | Propylthiouracil | Graves Disease
38184779 | Negative_Correlation | Potassium Iodide | Hyperthyroidism
38184779 | Negative_Correlation | Propranolol | Graves Disease
38184779 | Negative_Correlation | Propranolol | Hyperthyroidism
38374864 | Negative_Correlation | Thyrotropin | Thyroiditis
38374864 | Association | Thyroid Adenoma Hyperfunctioning | CRP
38496688 | Association | Small Cell Lung Carcinoma | CD274
38502137 | Association | Inflammation | Ifng
38502137 | Association | Inflammation | Il6ra
38502137 | Association | Inflammation | Tnf
38502137 | Association | Inflammation | Cd4
38551451 | Positive_Correlation | HIV Infections | p.K103N
38551451 | Positive_Correlation | HIV Infections | p.M184V
38551451 | Positive_Correlation | p.M184V | HIV Infections
38551451 | Positive_Correlation | Disease Resistance | p.M184V
38551451 | Positive_Correlation | Zidovudine | HIV Infections
38551451 | Positive_Correlation | HIV Infections | p.M41L
38551451 | Positive_Correlation | HIV Infections | p.S68G
38551451 | Positive_Correlation | Nevirapine | HIV Infections
38551451 | Positive_Correlation | Lamivudine | HIV Infections
38551451 | Association | HIV Infections | CD4
38551451 | Association | Disease Resistance | CD4
1468595 | Negative_Correlation | Thyroxine | Congenital Hypothyroidism
1468595 | Negative_Correlation | Thyroxine | Constipation
1468595 | Negative_Correlation | Thyroxine | Jaundice
1904196 | Association | Liver Cirrhosis | HLA-A
1904196 | Association | Liver Cirrhosis | NDUFB3
2435685 | Association | Infections | HLA-A
2897006 | Association | AIDS-Associated Nephropathy | HLA-A
2939279 | Comparison | Azathioprine | Cyclosporine
2972943 | Association | Alzheimer Disease | HLA-A
2972943 | Association | Alzheimer Disease | HLA-C
2972943 | Association | Alzheimer Disease | PTPRC
2972943 | Association | Alzheimer Disease | HLA-B
3160777 | Bind | HLA-A | CD8A
3160777 | Bind | HLA-B | CD8A
3522244 | Association | H2-K1 | HLA-A
6205073 | Association | DLEU1 | HLA-A
6205073 | Association | DLEU1 | HLA-B
6381283 | Association | Histiocytosis Langerhans-Cell | ATP1B1
8031607 | Association | Carcinogenesis | HLA-A
8031607 | Association | Nasopharyngeal Carcinoma | HLA-A
8031607 | Association | Neoplasms | HLA-A
9353427 | Negative_Correlation | Lymphatic Metastasis | HLA-A
9353427 | Association | Stomach Neoplasms | SRSF6
9353427 | Positive_Correlation | Lymphatic Metastasis | SRSF6
16761627 | Negative_Correlation | Neoplasms | B2M
16761627 | Association | Stomach Neoplasms | B2M
16761627 | Association | Neoplasms | HLA-A
16761627 | Association | Stomach Neoplasms | HLA-A
23663759 | Association | PDCD1 | CD8A
23663759 | Association | Hepatitis B | CD8A
23663759 | Association | Hepatitis B | PDCD1
