27256105 | Association | Runx2 | Pias1
22238455 | Association | TRBV20OR9-2 | CD8A
23409078 | Association | Pancreatitis Acute Necrotizing | graa
23409078 | Association | eomes | LOC106603766
23409078 | Association | Pancreatitis Acute Necrotizing | LOC100329178
23409078 | Positive_Correlation | LOC100329178 | eomes
23409078 | Positive_Correlation | graa | eomes
23409078 | Association | Pancreatitis Acute Necrotizing | eomes
24058775 | Association | IL6 | STAT3
24058775 | Association | SH2B3 | STAT3
24058775 | Association | PIAS3 | STAT3
24058775 | Association | Neutropenia | STAT3
24058775 | Association | Autoimmune Diseases | STAT3
24058775 | Association | CISH | STAT3
24058775 | Association | Leukemia Large Granular Lymphocytic | CD8A
24058775 | Association | IgA Vasculitis | STAT3
24058775 | Association | STAT3 | CD8A
24058775 | Association | Leukemia Large Granular Lymphocytic | STAT3
25972472 | Association | Inflammation | Cd81
25972472 | Association | Listeriosis | Akt1
25972472 | Association | Bacterial Infections | Cd81
25972472 | Association | Listeriosis | Cd81
25972472 | Negative_Correlation | Cd81 | Tnf
25972472 | Association | Communicable Diseases | Cd81
25972472 | Negative_Correlation | Cd81 | Stat1
25972472 | Positive_Correlation | Cd81 | Cd8a
25972472 | Association | Bacterial Infections | Akt1
25972472 | Negative_Correlation | Akt1 | Cd81
26946153 | Positive_Correlation | abacavir | Hypersensitivity
27965977 | Association | Uveitis Anterior | rs10975003
27965977 | Association | Uveitis Anterior | rs10758669
27965977 | Association | Uveitis Anterior | JAK2
27965977 | Association | Uveitis Anterior | HLA-B
30291166 | Positive_Correlation | Il13 | Stat6
30291166 | Association | Il4 | Il4ra
30291166 | Positive_Correlation | Il4 | Stat6
30291166 | Association | Il13 | Il13ra1
30291166 | Association | Il13ra1 | Il4
30291166 | Positive_Correlation | Il4ra | Stat6
30291166 | Association | Irf8 | Stat1
30291166 | Positive_Correlation | Il13ra1 | Stat6
30291166 | Association | Cd8a | Irf8
30291166 | Association | Il13 | Il4ra
30558329 | Negative_Correlation | epigallocatechin gallate | STAT1
30558329 | Negative_Correlation | tofacitinib | JAK2
30558329 | Association | Alopecia Areata | KLRK1
30558329 | Negative_Correlation | HLA-B | IRF1
30558329 | Negative_Correlation | epigallocatechin gallate | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | IRF1
30558329 | Negative_Correlation | ruxolitinib | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | CD8A
30558329 | Association | Alopecia Areata | STAT1
30558329 | Association | Alopecia Areata | HLA-B
30558329 | Association | Alopecia Areata | CD8A
30558329 | Association | Alopecia Areata | IFNG
30558329 | Negative_Correlation | tofacitinib | JAK1
30558329 | Association | Alopecia Areata | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | JAK1
30558329 | Negative_Correlation | epigallocatechin gallate | Alopecia Areata
30558329 | Negative_Correlation | ruxolitinib | JAK1
30558329 | Association | KLRK1 | CD8A
30558329 | Negative_Correlation | epigallocatechin gallate | IFNG
30558329 | Association | Alopecia Areata | IRF1
30558329 | Negative_Correlation | epigallocatechin gallate | HLA-B
30859354 | Association | Breast Neoplasms | MIR221
30859354 | Association | Breast Neoplasms | PLAAT4
30859354 | Association | Breast Neoplasms | MIR210
30859354 | Association | Breast Neoplasms | MIR222
30859354 | Association | Breast Neoplasms | HLA-C
30859354 | Association | Breast Neoplasms | MIR22
30859354 | Association | Breast Neoplasms | PSMB9
30859354 | Association | Breast Neoplasms | MIR21
30859354 | Association | Breast Neoplasms | UBE2L6
31103287 | Association | Infertility Male | NMNAT3
31103287 | Association | Infertility Male | HLA-C
31103287 | Association | Infertility Male | HLA-DRB6
31103287 | Association | Infertility Male | WWP2
31103287 | Association | Infertility Male | NFATC1
31103287 | Association | Infertility Male | GAA
31103287 | Association | Infertility Male | RNF39
31103287 | Association | Infertility Male | TRIM27
31103287 | Association | Infertility Male | WDR36
31103287 | Association | Infertility Male | HDAC4
31103287 | Association | Infertility Male | SRPK2
31103287 | Association | Infertility Male | FNDC3B
31103287 | Association | Infertility Male | AGPAT3
31103287 | Association | Infertility Male | PIAS2
31103287 | Association | Infertility Male | RPH3AL
31103287 | Association | Infertility Male | PTPRN2
31103287 | Association | Infertility Male | HLA-A
31103287 | Association | Infertility Male | IRS2
31103287 | Association | Infertility Male | TALDO1
31103287 | Association | Infertility Male | KDM4C
31177636 | Association | Hepatitis C | KIR3DS1
31177636 | Association | Hepatitis C | MRPL58
31177636 | Negative_Correlation | Hepatitis C | IFNG
31177636 | Association | Hepatitis C | KIR3DL1
31177636 | Association | HLA-A | KIR3DL1
31177636 | Association | IFNG | KIR3DL1
31177636 | Association | Hepatitis C | STAT1
31177636 | Association | Virus Diseases | HLA-A
33349924 | Positive_Correlation | c.130A>C | Behcet Syndrome
33349924 | Positive_Correlation | Behcet Syndrome | p.N44H
33349924 | Positive_Correlation | Behcet Syndrome | c.130A>C
33349924 | Positive_Correlation | CSF2 | STAT5A
33349924 | Association | Behcet Syndrome | CSF2
33349924 | Association | Tetradecanoylphorbol Acetate | TNF
33349924 | Positive_Correlation | CSF2 | TNF
33349924 | Positive_Correlation | CSF2 | IL1R1
33397652 | Association | Axial Spondyloarthritis | IL17A
33397652 | Association | Axial Spondyloarthritis | IL23A
33397652 | Association | Axial Spondyloarthritis | HLA-B
33747936 | Association | Neoplasms | MUC16
33747936 | Association | Hemorrhage | ETV6
33747936 | Association | Neoplasms | ETV6
33747936 | Association | Lymphoma Large B-Cell Diffuse | B2M
33747936 | Negative_Correlation | Lymphoma Large B-Cell Diffuse | EZH2
33747936 | Association | Lymphoma Large B-Cell Diffuse | TP53
33747936 | Negative_Correlation | Lymphoma Large B-Cell Diffuse | PIM1
33747936 | Association | Hemorrhage | MUC16
33747936 | Negative_Correlation | Lymphoma Large B-Cell Diffuse | CREBBP
33747936 | Association | Lymphoma Large B-Cell Diffuse | MYD88
33747936 | Negative_Correlation | Lymphoma Large B-Cell Diffuse | KMT2D
33747936 | Association | Hemorrhage | NAV3
33747936 | Association | Lymphoma Large B-Cell Diffuse | H1-2
33747936 | Association | Lymphoma Large B-Cell Diffuse | MUC16
33747936 | Association | Lymphoma Large B-Cell Diffuse | NEB
33747936 | Association | Lymphoma Large B-Cell Diffuse | CCND3
33747936 | Association | Lymphoma Large B-Cell Diffuse | ID3
33747936 | Association | Hemorrhage | MEF2A
33747936 | Association | Lymphoma Large B-Cell Diffuse | NFKB1
33747936 | Association | Lymphoma Large B-Cell Diffuse | CD79B
33747936 | Association | Hemorrhage | RHOA
33747936 | Association | Lymphoma Large B-Cell Diffuse | HLA-B
33747936 | Negative_Correlation | Lymphoma Large B-Cell Diffuse | BCL2
33747936 | Association | Hemorrhage | HLA-B
33806292 | Negative_Correlation | Hydrogen | Chronic Disease
33806292 | Negative_Correlation | Hydrogen | Reactive Oxygen Species
33806292 | Negative_Correlation | Hydrogen | DFNA34
33806292 | Positive_Correlation | Reactive Oxygen Species | DFNA34
33806292 | Negative_Correlation | Hydrogen | COVID-19
33806292 | Negative_Correlation | Hydrogen | Inflammation
35356004 | Negative_Correlation | Daclizumab | Multiple Sclerosis
35356004 | Association | Glatiramer Acetate | HLA-A
35356004 | Association | Daclizumab | HLA-A
35356004 | Association | Multiple Sclerosis | HLA-A
35356004 | Association | Glatiramer Acetate | IL2RA
35356004 | Negative_Correlation | Daclizumab | Sjogren's Syndrome
35356004 | Negative_Correlation | Glatiramer Acetate | Sjogren's Syndrome
35356004 | Association | Daclizumab | HLA-DRB1
35356004 | Negative_Correlation | Glatiramer Acetate | Multiple Sclerosis
35356004 | Association | Sjogren's Syndrome | HLA-A
35356004 | Association | Daclizumab | IL2RA
35356004 | Association | Glatiramer Acetate | HLA-DRB1
35356004 | Association | Multiple Sclerosis | HLA-DRB1
35356004 | Association | Multiple Sclerosis | IL2RA
35379174 | Association | Colorectal Neoplasms | SMCO1
35379174 | Negative_Correlation | Colorectal Neoplasms | HLA-C
35379174 | Association | Neoplasms | EGFR
35379174 | Association | EGFR | HLA-C
35379174 | Association | Colorectal Neoplasms | NUTM1
35926164 | Association | Pulmonary Atelectasis | CD79A
35926164 | Association | COVID-19 | CD79A
36043467 | Association | 2-oxindole | Carbamates
36043467 | Association | Alcohols | Carbamates
36043467 | Association | Alcohols | Copper
36043467 | Association | 2-oxindole | Copper
36043467 | Association | 2-oxindole | Alcohols
36043467 | Association | Carbamates | Copper
38287674 | Association | Breast Neoplasms | TNFRSF8
38287674 | Association | IL18R1 | TNFRSF8
38287674 | Association | Neoplasms | TNFRSF8
38287674 | Association | Breast Neoplasms | IL18R1
38293201 | Negative_Correlation | ruxolitinib | Steroids
38293201 | Negative_Correlation | ruxolitinib | Post-Infectious Disorders
38293201 | Negative_Correlation | ruxolitinib | Inflammation
38293201 | Negative_Correlation | Steroids | Post-Infectious Disorders
38293201 | Negative_Correlation | ruxolitinib | CD8A
38298716 | Association | HIF1A | TNF
38298716 | Association | HIF1A | TGFB1
38298716 | Association | EDN1 | HIF1A
38298716 | Association | Uterine Cervical Neoplasms | EDN1
38298716 | Association | Uterine Cervical Neoplasms | STRN3
38298716 | Association | HIF1A | NFKB1
38298716 | Association | MTOR | HIF1A
38298716 | Association | AKT1 | HIF1A
38298716 | Association | Uterine Cervical Neoplasms | HIF1A
38317912 | Association | Melanoma | CD274
38339367 | Negative_Correlation | tofacitinib | Colitis
38360696 | Negative_Correlation | ginsenoside M1 | Lung Neoplasms
38360696 | Negative_Correlation | Paclitaxel | Lung Neoplasms
38360696 | Negative_Correlation | ginsenoside M1 | Neoplasms
38360696 | Negative_Correlation | Paclitaxel | Neoplasms
38360696 | Comparison | ginsenoside M1 | Paclitaxel
38360696 | Positive_Correlation | ginsenoside M1 | Carcinoma Non-Small-Cell Lung
38360696 | Positive_Correlation | Paclitaxel | Carcinoma Non-Small-Cell Lung
38370415 | Negative_Correlation | Cytomegalovirus Infections | IL7R
38370415 | Association | Chronic Disease | CD8A
38370415 | Association | Cytomegalovirus Infections | CD8A
38370415 | Association | Drug-Related Side Effects and Adverse Reactions | CMC1
38433280 | Association | Metabolic Diseases | NFKB1
38433280 | Association | Inflammation | NFKB1
38433280 | Association | COVID-19 | NFKB1
38433280 | Association | AKT1 | NFKB1
38433280 | Association | Autoimmune Diseases | NFKB1
38433280 | Association | Heredodegenerative Disorders Nervous System | NFKB1
38433280 | Association | NFKB1 | TGFB1
38433280 | Association | Neoplasms | NFKB1
38433280 | Association | Carney Complex | NFKB1
38433280 | Association | Cardiovascular Diseases | NFKB1
38471258 | Association | COVID-19 | CRP
38515283 | Negative_Correlation | Hydroxychloroquine | COVID-19
38515283 | Positive_Correlation | Meropenem | Fatigue
38515283 | Positive_Correlation | Ceftriaxone | Dyspnea
38515283 | Positive_Correlation | Ceftriaxone | Fatigue
38515283 | Negative_Correlation | Methylprednisolone | COVID-19
38542436 | Association | IFNG | IRF1
38542436 | Negative_Correlation | baricitinib | TNF
38542436 | Association | Inflammation | IFNG
38542436 | Association | Inflammation | IRF1
38542436 | Association | Inflammation | TNF
38542436 | Association | IRF1 | TNF
38542436 | Negative_Correlation | baricitinib | IFNG
15697418 | Association | Lipids | Silicon
15697418 | Association | mica | Lipids
15783332 | Association | Aluminum | Silicon
16689660 | Association | Irf1 | Tnfrsf1b
16689660 | Association | Lung Diseases | Tnf
16689660 | Association | Lung Diseases | Gbp2
16689660 | Association | Irf1 | Stat1
16689660 | Association | Lung Diseases | Jun
16689660 | Association | Lung Diseases | Irf1
16689660 | Positive_Correlation | Ccl2 | Tnf
16689660 | Positive_Correlation | Cxcl2 | Tnf
16689660 | Association | Lung Diseases | Stat1
16689660 | Association | Gbp2 | Stat1
16689660 | Association | Lung Diseases | Nfkb1
17726064 | Negative_Correlation | PIAS3 | STAT3
17726064 | Negative_Correlation | STAT3 | SOCS3
17726064 | Negative_Correlation | PIAS3 | SOCS3
17726064 | Association | Neoplasms | STAT3
17726064 | Association | Neoplasm Metastasis | STAT3
17726064 | Negative_Correlation | Neoplasms | PIAS3
17726064 | Association | STAT3 | XPO1
19089914 | Negative_Correlation | IFNG | ULBP2
19089914 | Association | Neoplasms | Klrk1
19089914 | Association | Melanoma | IFNG
19089914 | Association | Neoplasm Metastasis | ULBP2
19089914 | Association | Melanoma | KLRC1
19089914 | Association | IFNG | STAT1
19089914 | Association | Melanoma | KLRK1
19089914 | Negative_Correlation | MICA | IFNG
19089914 | Association | KLRK1 | CD8A
19089914 | Association | Neoplasms | KLRK1
19089914 | Negative_Correlation | KLRK1 | IFNG
19391757 | Association | mica | Water
20534857 | Positive_Correlation | Infections | MICA
20534857 | Negative_Correlation | Infections | HLA-DRA
20534857 | Negative_Correlation | Infections | HSPA5
25008924 | Negative_Correlation | PIAS3 | STAT3
25008924 | Positive_Correlation | IL6 | STAT3
25008924 | Association | CCR5 | NFKB1
25008924 | Association | CCR5 | IL6
25008924 | Positive_Correlation | IL6 | ITIH4
25008924 | Association | CCR5 | CCL4
25008924 | Association | NFKB1 | STAT3
25008924 | Association | ITIH4 | NFKB1
25008924 | Positive_Correlation | ITIH4 | STAT3
25008924 | Association | IL6 | NFKB1
25220254 | Positive_Correlation | Glucose | p.H152C
25220254 | Positive_Correlation | Glucose | Lung Diseases
25220254 | Bind | 6-bromoacetyl-2-dimethylaminonaphthalene | p.H152C
25220254 | Association | Glucose | Infections
25220254 | Association | 6-bromoacetyl-2-dimethylaminonaphthalene | Glucose
25220254 | Positive_Correlation | Glucose | p.A213R
25220254 | Association | Glucose | TMEM132A
25475418 | Association | c.1896G>A | Liver Diseases
25475418 | Positive_Correlation | #4297# | Virus Diseases
25475418 | Positive_Correlation | #4297# | Carcinoma Hepatocellular
25475418 | Positive_Correlation | Hepatitis B | p.M204V
25475418 | Association | c.1896G>A | Carcinogenesis
25475418 | Association | Carcinogenesis | #4297#
25475418 | Association | Hepatitis B | HLA-A
25475418 | Association | Carcinogenesis | p.M204I
25475418 | Association | Carcinogenesis | p.M204V
25475418 | Association | Hepatitis B | KIF1B
25475418 | Association | Hepatitis B | HLA-DPB1
25475418 | Association | Hepatitis B | MICA
25475418 | Association | Liver Diseases | p.M204V
25475418 | Positive_Correlation | Virus Diseases | #4297#
25475418 | Positive_Correlation | Carcinoma Hepatocellular | #4297#
25475418 | Association | Carcinoma Hepatocellular | p.M204V
25475418 | Association | Hepatitis B | PNPLA3
25475418 | Association | Hepatitis B | DEPDC5
25475418 | Association | Carcinoma Hepatocellular | KMT2A
25475418 | Association | Liver Diseases | KIF1B
25475418 | Association | Virus Diseases | KMT2A
25475418 | Association | Hepatitis B | TP53
25475418 | Association | Carcinogenesis | KIF1B
25475418 | Association | Carcinogenesis | KMT2A
25475418 | Association | Carcinogenesis | TP53
25475418 | Association | Liver Diseases | TP53
25475418 | Association | Carcinoma Hepatocellular | TP53
26565253 | Association | mica | Water
30451821 | Association | Sumo3 | Pias4
30742113 | Association | Neoplasms | MICB
30742113 | Association | Neoplasms | IGH
30742113 | Association | Neoplasms | MICA
31173242 | Association | Neoplasms | IFNG
31173242 | Negative_Correlation | Platinum | Neoplasms
31173242 | Association | Carcinoma Non-Small-Cell Lung | CD274
31173242 | Association | KLRK1 | CD274
31173242 | Positive_Correlation | CD274 | IFNG
31173242 | Association | Platinum | CD274
31173242 | Association | Platinum | KLRK1
31173242 | Association | Neoplasms | CD274
31173242 | Negative_Correlation | Platinum | Carcinoma Non-Small-Cell Lung
31173242 | Positive_Correlation | Cisplatin | CD274
31173242 | Association | Carcinoma Non-Small-Cell Lung | IFNG
31173242 | Negative_Correlation | tofacitinib | CD274
31173242 | Association | Carcinoma Non-Small-Cell Lung | KLRK1
31173242 | Negative_Correlation | tofacitinib | KLRK1
31173242 | Negative_Correlation | tofacitinib | IFNG
31173242 | Negative_Correlation | Cisplatin | Carcinoma Non-Small-Cell Lung
31173242 | Negative_Correlation | KLRK1 | IFNG
31173242 | Association | Neoplasms | KLRK1
31173242 | Positive_Correlation | Cisplatin | KLRK1
31432181 | Association | Carcinoma Pancreatic Ductal | NFKB1
31432181 | Association | CCR9 | NFKB1
31432181 | Association | Carcinoma Pancreatic Ductal | NDUFA9
31432181 | Association | NDUFA9 | NFKB1
31432181 | Association | Carcinoma Pancreatic Ductal | CCR5
31432181 | Association | Carcinoma Pancreatic Ductal | CCR9
31432181 | Association | CCR5 | TP53
31432181 | Association | CCR5 | NFKB1
31432181 | Association | CCR9 | TP53
31432181 | Association | Carcinoma Pancreatic Ductal | CCR6
31714156 | Association | Small Cell Lung Carcinoma | PDCD1
31714156 | Association | PDCD1 | TNF
31714156 | Association | Phosphorus | Small Cell Lung Carcinoma
31714156 | Association | Carcinoma Non-Small-Cell Lung | PDCD1
31714156 | Association | Lung Neoplasms | PDCD1
31714156 | Association | Phosphatidylserines | PDCD1
31714156 | Association | Lung Neoplasms | MTOR
31714156 | Association | Carcinoma Small Cell | TNF
31714156 | Association | Carcinoma Non-Small-Cell Lung | TNF
31714156 | Association | Phosphatidylserines | Small Cell Lung Carcinoma
31714156 | Association | Phosphorus | PDCD1
31714156 | Association | Phosphatidylserines | TNF
31714156 | Association | Carcinoma Small Cell | PDCD1
31714156 | Association | Phosphorus | Carcinoma Small Cell
31714156 | Association | Small Cell Lung Carcinoma | TNF
31714156 | Association | Phosphorus | TNF
31714156 | Association | Phosphatidylserines | Carcinoma Small Cell
31743425 | Positive_Correlation | IFNG | MICB
31743425 | Positive_Correlation | MICA | IFNG
31743425 | Positive_Correlation | MICB | TNF
31743425 | Positive_Correlation | MICA | TNF
33687107 | Association | KLRK1 | IFNA1
33687107 | Association | Lupus Erythematosus Cutaneous | MICA
33687107 | Association | Lupus Erythematosus Cutaneous | KLRK1
33687107 | Association | KLRK1 | ULBP2
33687107 | Association | Lupus Erythematosus Cutaneous | IFNA1
33687107 | Association | Lupus Erythematosus Cutaneous | MICB
33687107 | Association | Lupus Erythematosus Discoid | KLRK1
33687107 | Association | MICA | KLRK1
33687107 | Positive_Correlation | KLRK1 | DDX58
33687107 | Bind | KLRK1 | MICB
33687107 | Association | Skin Diseases | KLRK1
33687107 | Association | Skin Diseases | IFNA1
33958760 | Positive_Correlation | IFNG | TMEM132A
33958760 | Positive_Correlation | Neoplasms | IFNG
33958760 | Association | Neoplasms | TMEM132A
33958760 | Association | Hsf1 | TMEM132A
33958760 | Bind | Hsf1 | HSP90AA1
33958760 | Positive_Correlation | Hsf1 | IFNG
33958760 | Association | Neoplasms | Hsf1
33958760 | Association | Neoplasms | CD8A
35395970 | Negative_Correlation | MICB | SOCS3
35395970 | Positive_Correlation | IFNG | SOCS3
35395970 | Association | KLRK1 | MICB
35395970 | Positive_Correlation | STAT3 | SOCS3
35395970 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | SOCS3
35395970 | Negative_Correlation | MICA | SOCS3
35395970 | Association | MICA | KLRK1
35395970 | Positive_Correlation | TNF | SOCS3
36195449 | Association | Myositis Inclusion Body | GBP6
36195449 | Association | Myositis Inclusion Body | KLRG1
36195449 | Association | Polymyositis | KLRG1
36195449 | Association | Inflammation | IFNA1
36195449 | Association | Myositis Inclusion Body | B3GAT1
36195449 | Association | Polymyositis | GBP6
36451838 | Association | Intracranial Aneurysm | CSF2RB
36451838 | Association | Intracranial Aneurysm | IL6
36451838 | Association | Acetaminophen | STAT2
36451838 | Association | Intracranial Aneurysm | PTPN1
36451838 | Association | Intracranial Aneurysm | STAT2
36451838 | Association | Intracranial Aneurysm | ALDH3A2
36451838 | Association | Intracranial Aneurysm | COX6C
36451838 | Association | Intracranial Aneurysm | NPY1R
36451838 | Association | Intracranial Aneurysm | TGFB1
36451838 | Association | Intracranial Aneurysm | KRT18
36451838 | Association | Intracranial Aneurysm | IGSF1
36451838 | Association | Acetaminophen | Intracranial Aneurysm
36451838 | Association | Intracranial Aneurysm | MICB
36451838 | Association | Intracranial Aneurysm | FAS
37551111 | Association | Carcinoma Hepatocellular | GBP3
37551111 | Positive_Correlation | GBP5 | CD8A
37551111 | Positive_Correlation | GBP1 | CD8A
37551111 | Association | Carcinoma Hepatocellular | GBP2
37551111 | Positive_Correlation | GBP4 | CD8A
37551111 | Positive_Correlation | GBP3 | CD8A
37551111 | Association | Carcinoma Hepatocellular | GBP5
37551111 | Positive_Correlation | GBP2 | CD8A
37551111 | Association | Carcinoma Hepatocellular | TMEM132A
37551111 | Association | Carcinoma Hepatocellular | GBP1
37551111 | Association | Carcinoma Hepatocellular | GBP4
37762054 | Association | Neoplasms | CD8A
38336025 | Cotreatment | tocilizumab | Dexamethasone
38336025 | Association | Inflammation | NEFL
38336025 | Negative_Correlation | tocilizumab | COVID-19
38336025 | Association | COVID-19 | NEFL
38336025 | Association | Inflammation | IL1RN
24625024 | Association | IL6 | STAT3
