38346596 | Association | Neoplasms | CREB1
37800814 | Association | Ovarian Neoplasms | TNF
37800814 | Association | Ovarian Neoplasms | IL10RA
37800814 | Association | Ovarian Neoplasms | ITGAL
37800814 | Association | Ovarian Neoplasms | PTPRC
37800814 | Association | CD274 | PTPRC
38377177 | Association | IL6 | STAT3
38377177 | Association | Autoimmune Diseases | Il6st
38377177 | Association | Autoimmune Diseases | STAT3
38377177 | Association | Disease | Stat3
38377177 | Association | Inflammation | IL6
38377177 | Association | Organizing Pneumonia | Il6st
38377177 | Association | Organizing Pneumonia | STAT3
38377177 | Association | Autoimmune Diseases | Stat3
38377177 | Association | Inflammation | STAT3
38377177 | Positive_Correlation | Disease | Il6st
38377177 | Association | Organizing Pneumonia | IL6ST
38377177 | Association | Il6st | Stat3
38377177 | Association | IL6 | IL6ST
38377177 | Association | IL6ST | STAT3
38377177 | Association | Disease | STAT3
38377177 | Association | Inflammation | IL6ST
38384415 | Positive_Correlation | Sepsis | MASP1
38384415 | Positive_Correlation | Wounds and Injuries | MASP1
38384415 | Positive_Correlation | CRP | MASP1
38446698 | Positive_Correlation | Ifng | Stat1
38446698 | Association | Lymphohistiocytosis Hemophagocytic | Jak2
38446698 | Association | Lymphohistiocytosis Hemophagocytic | Jak1
38446698 | Bind | Jak1 | Jak2
38446698 | Negative_Correlation | ruxolitinib | Jak2
38446698 | Negative_Correlation | fedratinib | Jak2
38446698 | Negative_Correlation | fedratinib | Lymphohistiocytosis Hemophagocytic
38446698 | Negative_Correlation | itacitinib | Lymphohistiocytosis Hemophagocytic
38446698 | Positive_Correlation | ruxolitinib | Hematologic Diseases
38446698 | Association | ruxolitinib | Inflammation
38446698 | Association | Hematologic Diseases | Jak2
38446698 | Negative_Correlation | itacitinib | Jak1
38446698 | Negative_Correlation | ruxolitinib | Lymphohistiocytosis Hemophagocytic
38482051 | Association | AKT1 | MTOR
38482051 | Association | Stomach Neoplasms | MTOR
38482051 | Association | Stomach Neoplasms | AKT1
38482051 | Association | Stomach Neoplasms | PDCD1
38482051 | Association | Stomach Neoplasms | CD274
38500883 | Association | Myositis | CD4
38500883 | Negative_Correlation | Prednisone | von Willebrand Disease Type 2
38500883 | Association | COVID-19 | CD8A
38500883 | Negative_Correlation | Citrullinemia | CD4
38500883 | Association | Myositis | CD8A
38500883 | Association | Citrullinemia | CD8A
38520011 | Association | Lymphoma T-Cell | TRBV20OR9-2
38520011 | Association | Lymphoma T-Cell | JAK3
38520011 | Association | Lymphoma T-Cell | TP53
38520011 | Association | Lymphoma T-Cell | STAT5B
38520011 | Association | Lymphoma T-Cell | SETD2
38520011 | Negative_Correlation | Death | SETD2
38525693 | Negative_Correlation | Cyclosporine | Lymphoma T-Cell
38525693 | Comparison | Steroids | Cyclosporine
38533493 | Association | Neoplasms | SOCS3
38533493 | Association | Pulmonary Disease Chronic Obstructive | SOCS3
38533493 | Association | TNF | SOCS3
38533493 | Association | Inflammation | SOCS3
38533493 | Negative_Correlation | Triple Negative Breast Neoplasms | SOCS3
38533493 | Association | SOCS3 | CD8A
38559795 | Negative_Correlation | Cyclosporine | Lymphohistiocytosis Hemophagocytic
38559795 | Negative_Correlation | ruxolitinib | Lupus Erythematosus Systemic
38559795 | Association | Lymphohistiocytosis Hemophagocytic | CD8A
38559795 | Negative_Correlation | ruxolitinib | Lymphohistiocytosis Hemophagocytic
38567708 | Association | icaritin | NFKB1
38567708 | Association | icaritin | IL6
38567708 | Negative_Correlation | icaritin | Neoplasms
38567708 | Negative_Correlation | icaritin | Carcinoma Hepatocellular
38567708 | Association | icaritin | STAT3
38615319 | Positive_Correlation | CXCL10 | CD8A
38615319 | Association | Colorectal Neoplasms | CD8A
38615319 | Association | CXCL10 | STAT1
38615319 | Association | IL9 | STAT1
38615319 | Positive_Correlation | IL9 | CD8A
38615319 | Association | Colorectal Neoplasms | IL9
38615319 | Association | Colorectal Neoplasms | STAT1
38615319 | Association | Colorectal Neoplasms | CXCL10
14739298 | Association | MAGEA4 | PSMD10
14739298 | Association | MAGEA4 | TAT
14739298 | Positive_Correlation | MAGEA4 | TP53
14739298 | Negative_Correlation | CDKN1A | MAGEA4
14739298 | Association | Carcinoma Hepatocellular | PSMD10
14739298 | Association | PSMD10 | TAT
17027325 | Association | Azo Compounds | Drinking Water
17027325 | Positive_Correlation | Azo Compounds | Precancerous Conditions
17027325 | Positive_Correlation | benzidine | Precancerous Conditions
19127546 | Association | N-acetyl-4-benzoquinoneimine | Glutathione
19127546 | Association | N-acetyl-4-benzoquinoneimine | Acetaminophen
19127546 | Association | Acetaminophen | Glutathione
35566068 | Negative_Correlation | Silver | Hyperlipidemias
35566068 | Negative_Correlation | Flavonoids | Ulcer
35566068 | Negative_Correlation | Phenols | Hyperlipidemias
35566068 | Negative_Correlation | Silver | Ulcer
35566068 | Negative_Correlation | Flavonoids | Hyperlipidemias
35566068 | Negative_Correlation | Phenols | Ulcer
36823318 | Association | Multiple Sclerosis | CYP24A1
37893073 | Association | NFKB1 | STAT1
37893073 | Negative_Correlation | SMC2 | NFKB1
37893073 | Association | Inflammation | NOS2
37893073 | Positive_Correlation | IFNG | NOS2
37893073 | Positive_Correlation | IFNG | TNF
37893073 | Positive_Correlation | IFNG | IL1B
37893073 | Negative_Correlation | baricitinib | NOS2
37893073 | Positive_Correlation | COVID-19 | NOS2
38004823 | Association | tofacitinib | Viremia
38004823 | Association | Viremia | NFKB1
38004823 | Negative_Correlation | 4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole | IL10
38004823 | Association | 4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole | Viremia
38004823 | Negative_Correlation | Inflammation | IL10
38004823 | Negative_Correlation | tofacitinib | IL10
38004823 | Negative_Correlation | STA-21 | IL10
38004823 | Negative_Correlation | 3-(4-methylphenylsulfonyl)-2-propenenitrile | NFKB1
38004823 | Positive_Correlation | Viremia | IL10
38004823 | Association | 3-(4-methylphenylsulfonyl)-2-propenenitrile | Viremia
38004823 | Association | IL10 | NFKB1
38004823 | Negative_Correlation | 3-(4-methylphenylsulfonyl)-2-propenenitrile | IL10
38004823 | Negative_Correlation | STA-21 | Viremia
38107402 | Association | Death | ADM
38107402 | Association | COVID-19 | ADM
38214399 | Association | COVID-19 | CLEC4D
38214399 | Association | COVID-19 | CLEC6A
38214399 | Association | COVID-19 | IL17A
38214399 | Association | COVID-19 | MMP9
38214399 | Association | COVID-19 | CLEC1B
38214399 | Association | Inflammation | MMP9
38214399 | Association | COVID-19 | CARD9
38214399 | Association | COVID-19 | MTOR
38260287 | Association | Poly I-C | Arrhythmias Cardiac
38323709 | Negative_Correlation | ruxolitinib | Nerve Degeneration
38323709 | Positive_Correlation | Nerve Degeneration | SNCA
38323709 | Positive_Correlation | Nerve Degeneration | APP
38435118 | Negative_Correlation | Socs1 | IFNA1
38508140 | Association | Lymphoma Large-Cell Anaplastic | STAT3
38508140 | Association | Lymphoma Large-Cell Anaplastic | MYC
38508140 | Association | IRF4 | STAT3
38508140 | Positive_Correlation | MYC | STAT3
38508140 | Association | Lymphoma Large-Cell Anaplastic | IRF4
38508140 | Association | Lymphoma Large-Cell Anaplastic | IKZF1
38508140 | Association | IKZF1 | STAT3
38508140 | Association | BATF3 | STAT3
38508140 | Association | Carcinogenesis | STAT3
38508140 | Association | Lymphoma Large-Cell Anaplastic | BATF3
38508140 | Association | Lymphoma Large-Cell Anaplastic | ALK
38509096 | Association | Neoplasms | STAT1
38509096 | Association | Neoplasms Squamous Cell | STAT1
38509096 | Association | Neoplasms | TP63
38509096 | Negative_Correlation | IFNG | TP63
38509096 | Association | IFNG | STAT1
38509096 | Association | Neoplasms Squamous Cell | IFNG
38509096 | Positive_Correlation | TP63 | CD8A
38509096 | Association | STAT1 | TP63
38509096 | Association | Neoplasms Squamous Cell | TP63
38567833 | Association | Inflammation | IL6
38567833 | Positive_Correlation | dinitrophenyl-aminopropyl-methylamine | Inflammation
38567833 | Association | Inflammation | TNF
38567833 | Association | Inflammation | IL1B
38567833 | Association | Inflammation | IFNG
38575075 | Association | benzeneboronic acid | Polylysine
38575075 | Positive_Correlation | Chlorogenic Acid | EGF
38580172 | Association | CGAS | STING1
